run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-4-20251226-15:13:28-104457,config,,,*.host[*].mobility.constraintAreaMaxZ,0m,,
General-4-20251226-15:13:28-104457,config,,,*.host[*].mobility.initialX,"uniform(100m, 1150m)",,
General-4-20251226-15:13:28-104457,config,,,*.host[*].mobility.initialY,"uniform(100m, 1150m)",,
General-4-20251226-15:13:28-104457,config,,,*.host[*].wlan[0].radio.displayCommunicationRange,true,,
General-4-20251226-15:13:28-104457,config,,,*.configurator.config,"xml(""<config><interface hosts='**' address='10.0.0.x' netmask='255.255.255.0'/></config>"")",,
General-4-20251226-15:13:28-104457,config,,,*.configurator.addDefaultRoutes,false,,
General-4-20251226-15:13:28-104457,config,,,*.configurator.addStaticRoutes,false,,
General-4-20251226-15:13:28-104457,config,,,*.configurator.optimizeRoutes,false,,
General-4-20251226-15:13:28-104457,config,,,*.host*.ipv4.routingTable.netmaskRoutes,"""""",,
General-4-20251226-15:13:28-104457,config,,,*.linkVisualizer.*.displayLinks,false,,
General-3-20251226-15:13:28-104455,runattr,,,configname,General,,
General-3-20251226-15:13:28-104455,runattr,,,datetime,20251226-15:13:28,,
General-3-20251226-15:13:28-104455,runattr,,,datetimef,20251226-151328,,
General-3-20251226-15:13:28-104455,runattr,,,experiment,General,,
General-3-20251226-15:13:28-104455,runattr,,,inifile,omnetpp.ini,,
General-3-20251226-15:13:28-104455,runattr,,,iterationvars,,,
General-3-20251226-15:13:28-104455,runattr,,,iterationvarsd,,,
General-3-20251226-15:13:28-104455,runattr,,,iterationvarsf,,,
General-3-20251226-15:13:28-104455,runattr,,,measurement,,,
General-3-20251226-15:13:28-104455,runattr,,,network,src.AdhocNetwork1,,
General-3-20251226-15:13:28-104455,runattr,,,processid,104455,,
General-3-20251226-15:13:28-104455,runattr,,,repetition,3,,
General-3-20251226-15:13:28-104455,runattr,,,replication,#3,,
General-3-20251226-15:13:28-104455,runattr,,,resultdir,results,,
General-3-20251226-15:13:28-104455,runattr,,,runnumber,3,,
General-3-20251226-15:13:28-104455,runattr,,,seedset,3,,
General-3-20251226-15:13:28-104455,config,,,image-path,../../../inet4.5/images,,
General-3-20251226-15:13:28-104455,config,,,repeat,5,,
General-3-20251226-15:13:28-104455,config,,,network,src.AdhocNetwork1,,
General-3-20251226-15:13:28-104455,config,,,sim-time-limit,50s,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].ipv4.arp.typename,GlobalArp,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].numApps,3,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[0].typename,src.cluster.ClusterApp,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[0].localPort,4000,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[0].destPort,4000,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[0].helloInterval,1s,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[0].cfInterval,3s,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[0].hldTimeThreshold,1s,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[0].maxTrials,3,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[0].requestTimeout,1s,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[0].maxClusterSize,10,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[1].typename,src.tcp.RecordingTcpClientApp,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[1].delaySamplePeriod,1s,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[1].delayStaleWindow,3s,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[1].connectPort,1000,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[1].tOpen,"uniform(1s, 2s)",,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[1].tSend,"uniform(1s, 2s)",,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[1].thinkTime,"uniform(0s, 1s)",,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[1].idleInterval,"uniform(3s, 5s)",,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[1].sendBytes,200B,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[1].sendInterval,"uniform(1s, 2s)",,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[1].connectAddress,"""host["" + string((index + intuniform(1,24)) % 25) + ""]""",,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[2].typename,TcpEchoApp,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].app[2].localPort,1000,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].typename,RouterWithMetrics,,
General-3-20251226-15:13:28-104455,config,,,**.metrics.samplePeriod,0.5s,,
General-3-20251226-15:13:28-104455,config,,,**.metrics.recordPerUtility,true,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].typename,WirelessInterface,,
General-3-20251226-15:13:28-104455,config,,,*.radioMedium.typename,ApskScalarRadioMedium,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.typename,ApskScalarRadio,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.transmitter.power,20mW,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.transmitter.centerFrequency,2.412GHz,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.transmitter.bandwidth,20MHz,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.transmitter.bitrate,6Mbps,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.receiver.sensitivity,-82dBm,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.receiver.snirThreshold,4dB,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.centerFrequency,2.412GHz,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.bandwidth,5MHz,,
General-3-20251226-15:13:28-104455,config,,,*.radioMedium.backgroundNoise.power,-120dBm,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.transmitter.preambleDuration,16us,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.transmitter.headerLength,16b,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.receiver.energyDetection,-90dBm,,
General-3-20251226-15:13:28-104455,config,,,*.radioMedium.analogModel.ignorePartialInterference,true,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].mac.typename,CsmaCaMac,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].mac.ackTimeout,300us,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].mac.useAck,true,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].mac.fullDuplex,false,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].mac.headerLength,23B,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].mobility.typename,RandomWaypointMobility,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].mobility.speed,10mps,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].mobility.waitTime,100ms,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].queue.typename,DropTailQueue,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].queue.packetCapacity,10,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].hasStatus,true,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.energyConsumer.typename,StateBasedEpEnergyConsumer,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.energyConsumer.offPowerConsumption,0mW,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.energyConsumer.sleepPowerConsumption,1mW,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.energyConsumer.switchingPowerConsumption,1mW,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverIdlePowerConsumption,2mW,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverBusyPowerConsumption,5mW,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverReceivingPowerConsumption,10mW,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.energyConsumer.transmitterIdlePowerConsumption,2mW,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.energyConsumer.transmitterTransmittingPowerConsumption,100mW,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].energyStorage.typename,SimpleEpEnergyStorage,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].energyStorage.nominalCapacity,2J,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].energyStorage.initialCapacity,2J,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].energyManagement.typename,SimpleEpEnergyManagement,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].energyManagement.nodeStartCapacity,0.0001J,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].energyManagement.nodeShutdownCapacity,0.0001J,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].**.bitrate,1Mbps,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].forwarding,true,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].mobility.constraintAreaMinX,0m,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].mobility.constraintAreaMinY,0m,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].mobility.constraintAreaMinZ,0m,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].mobility.constraintAreaMaxX,1250m,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].mobility.constraintAreaMaxY,1250m,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].mobility.constraintAreaMaxZ,0m,,
General-3-20251226-15:13:28-104455,config,,,*.host[*].mobility.initialX,"uniform(100m, 1150m)",,
General-3-20251226-15:13:28-104455,config,,,*.host[*].mobility.initialY,"uniform(100m, 1150m)",,
General-3-20251226-15:13:28-104455,config,,,*.host[*].wlan[0].radio.displayCommunicationRange,true,,
General-3-20251226-15:13:28-104455,config,,,*.configurator.config,"xml(""<config><interface hosts='**' address='10.0.0.x' netmask='255.255.255.0'/></config>"")",,
General-3-20251226-15:13:28-104455,config,,,*.configurator.addDefaultRoutes,false,,
General-3-20251226-15:13:28-104455,config,,,*.configurator.addStaticRoutes,false,,
General-3-20251226-15:13:28-104455,config,,,*.configurator.optimizeRoutes,false,,
General-3-20251226-15:13:28-104455,config,,,*.host*.ipv4.routingTable.netmaskRoutes,"""""",,
General-3-20251226-15:13:28-104455,config,,,*.linkVisualizer.*.displayLinks,false,,
General-1-20251226-15:13:28-104456,runattr,,,configname,General,,
General-1-20251226-15:13:28-104456,runattr,,,datetime,20251226-15:13:28,,
General-1-20251226-15:13:28-104456,runattr,,,datetimef,20251226-151328,,
General-1-20251226-15:13:28-104456,runattr,,,experiment,General,,
General-1-20251226-15:13:28-104456,runattr,,,inifile,omnetpp.ini,,
General-1-20251226-15:13:28-104456,runattr,,,iterationvars,,,
General-1-20251226-15:13:28-104456,runattr,,,iterationvarsd,,,
General-1-20251226-15:13:28-104456,runattr,,,iterationvarsf,,,
General-1-20251226-15:13:28-104456,runattr,,,measurement,,,
General-1-20251226-15:13:28-104456,runattr,,,network,src.AdhocNetwork1,,
General-1-20251226-15:13:28-104456,runattr,,,processid,104456,,
General-1-20251226-15:13:28-104456,runattr,,,repetition,1,,
General-1-20251226-15:13:28-104456,runattr,,,replication,#1,,
General-1-20251226-15:13:28-104456,runattr,,,resultdir,results,,
General-1-20251226-15:13:28-104456,runattr,,,runnumber,1,,
General-1-20251226-15:13:28-104456,runattr,,,seedset,1,,
General-1-20251226-15:13:28-104456,config,,,image-path,../../../inet4.5/images,,
General-1-20251226-15:13:28-104456,config,,,repeat,5,,
General-1-20251226-15:13:28-104456,config,,,network,src.AdhocNetwork1,,
General-1-20251226-15:13:28-104456,config,,,sim-time-limit,50s,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].ipv4.arp.typename,GlobalArp,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].numApps,3,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[0].typename,src.cluster.ClusterApp,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[0].localPort,4000,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[0].destPort,4000,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[0].helloInterval,1s,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[0].cfInterval,3s,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[0].hldTimeThreshold,1s,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[0].maxTrials,3,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[0].requestTimeout,1s,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[0].maxClusterSize,10,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[1].typename,src.tcp.RecordingTcpClientApp,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[1].delaySamplePeriod,1s,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[1].delayStaleWindow,3s,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[1].connectPort,1000,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[1].tOpen,"uniform(1s, 2s)",,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[1].tSend,"uniform(1s, 2s)",,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[1].thinkTime,"uniform(0s, 1s)",,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[1].idleInterval,"uniform(3s, 5s)",,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[1].sendBytes,200B,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[1].sendInterval,"uniform(1s, 2s)",,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[1].connectAddress,"""host["" + string((index + intuniform(1,24)) % 25) + ""]""",,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[2].typename,TcpEchoApp,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].app[2].localPort,1000,,
General-1-20251226-15:13:28-104456,config,,,*.host[*].typename,RouterWithMetrics,,
