rep,t,mean_rlReward,n_hosts_used
0,5000.0,0.03297922710106513,49
0,6000.0,-0.04567637472184595,49
0,7000.0,-0.03925554165639457,49
0,8000.0,-0.02466493719763796,49
0,9000.0,-0.01723526148162896,49
0,10000.0,-0.1136381516595541,49
0,11000.0,-0.06383529382545625,49
0,12000.0,0.10048761136962801,49
0,13000.0,0.1527052353071879,49
0,14000.0,0.14667508397883558,49
0,15000.0,0.10943127474173361,49
0,16000.0,0.07703426212205206,49
0,17000.0,0.05613035180404028,49
0,18000.0,0.062375631424827285,49
0,19000.0,0.06836134303764851,49
0,20000.0,0.09186142568645231,49
0,21000.0,-0.02137121521754926,49
0,22000.0,0.15549536866451025,49
0,23000.0,0.21200092147779753,49
0,24000.0,0.23767867729939973,49
0,25000.0,0.241563563584331,49
0,26000.0,0.2192360140920582,49
0,27000.0,0.17632663849125219,49
0,28000.0,0.16418945078844696,49
0,29000.0,0.15516187501935202,49
0,30000.0,0.1633540753636627,49
0,31000.0,0.19193546853911328,49
0,32000.0,0.22955968158197682,49
0,33000.0,0.24398435445534958,49
0,34000.0,0.2472636145197553,49
0,35000.0,0.26023085656295475,49
0,36000.0,0.22827138548884868,49
0,37000.0,0.2576301650438475,49
0,38000.0,0.27265899814902667,49
0,39000.0,0.14404485012104346,49
0,40000.0,0.13263548758479374,49
0,41000.0,0.1272560779442284,49
0,42000.0,0.26413842386998704,49
0,43000.0,0.2615329993864409,49
0,44000.0,0.24000270261951917,49
0,45000.0,0.26090978755274247,49
0,46000.0,0.27658959869214955,49
0,47000.0,0.2132516033956274,49
0,48000.0,0.2481246263506305,49
0,49000.0,0.2406973177536236,49
0,50000.0,0.2928743869565461,49
1,5000.0,-0.03699934984026862,49
1,6000.0,-0.06319809611131522,49
1,7000.0,-0.0009894781894766733,49
1,8000.0,-0.032962810278962654,49
1,9000.0,-0.06941418476394001,49
1,10000.0,-0.1429252803047884,49
1,11000.0,-0.16317468136290142,49
1,12000.0,0.10420177614404338,49
1,13000.0,0.12290087478600906,49
1,14000.0,0.0983509353695385,49
1,15000.0,0.09972598038480693,49
1,16000.0,0.15519140026466008,49
1,17000.0,0.1248399273111057,49
1,18000.0,0.09942868375555834,49
1,19000.0,0.11091079821344546,49
1,20000.0,0.15414686434758135,49
1,21000.0,0.11109815286432201,49
1,22000.0,0.1772288719917263,49
1,23000.0,0.22117086061224328,49
1,24000.0,0.18925301860015661,49
1,25000.0,0.16773471078355143,49
1,26000.0,0.15768750226382444,49
1,27000.0,0.14627480460729678,49
1,28000.0,0.13653856497069078,49
1,29000.0,0.13562633528972154,49
1,30000.0,0.15772872818587097,49
1,31000.0,0.14708178180887024,49
1,32000.0,0.20468380902912622,49
1,33000.0,0.18943437329967203,49
1,34000.0,0.16070625667736177,49
1,35000.0,0.1556848375408823,49
1,36000.0,0.19575848064313214,49
1,37000.0,0.18834043508949266,49
1,38000.0,0.14965063183862848,49
1,39000.0,0.15315330213834175,49
1,40000.0,0.17687801184537064,49
1,41000.0,0.18267120027810266,49
1,42000.0,0.25370201332138853,49
1,43000.0,0.17992285140051423,49
1,44000.0,0.12572630961396827,49
1,45000.0,0.1840931907528489,49
1,46000.0,0.19645014230824875,49
1,47000.0,0.15395708750864615,49
1,48000.0,0.1267102971389675,49
1,49000.0,0.11992716626942686,49
1,50000.0,0.02218038143421113,49
2,5000.0,-0.004557828228642202,49
2,6000.0,0.002090349679673936,49
2,7000.0,-0.04246482279867249,49
2,8000.0,-0.06849668072928439,49
2,9000.0,-0.033884141231430166,49
2,10000.0,-0.03215511939718493,49
2,11000.0,-0.029600278179586784,49
2,12000.0,0.10508838590881481,49
2,13000.0,0.13270865637599288,49
2,14000.0,0.08591618026041167,49
2,15000.0,0.08525195413491785,49
2,16000.0,0.08880949409173322,49
2,17000.0,0.06442364250634416,49
2,18000.0,0.049956844906381165,49
2,19000.0,0.0091842477163733,49
2,20000.0,0.06031218548590024,49
2,21000.0,0.03198280580537447,49
2,22000.0,0.1682687149143592,49
2,23000.0,0.18418879850417047,49
2,24000.0,0.11720920835904725,49
2,25000.0,0.043961855932273,49
2,26000.0,0.12369111575653036,49
2,27000.0,0.07459223261043196,49
2,28000.0,0.038250995374291774,49
2,29000.0,0.06136744796311527,49
2,30000.0,0.009948761733217059,49
2,31000.0,-0.01587942428405382,49
2,32000.0,0.2176932748510653,49
2,33000.0,0.2017179423723218,49
2,34000.0,0.16427102740200705,49
2,35000.0,0.1583693797629984,49
2,36000.0,0.15633678769660894,49
2,37000.0,0.15496881491332437,49
2,38000.0,0.11817455287402558,49
2,39000.0,0.11700788431448722,49
2,40000.0,0.09011618408855047,49
2,41000.0,0.06425944815136417,49
