t,mean,sd_across_runs,n_runs_used,ci95_low,ci95_high
1000.0,12.8,1.4832396974191329,5,10.958314667008015,14.641685332991987
2000.0,17.8,1.6431676725154982,5,15.759737858025229,19.840262141974772
3000.0,22.0,1.8708286933869707,5,19.677059364614806,24.322940635385194
4000.0,14.4,2.701851217221259,5,11.045208615073339,17.754791384926662
5000.0,12.6,2.9664793948382653,5,8.91662933401603,16.28337066598397
6000.0,14.2,1.3038404810405297,5,12.581068215291292,15.818931784708706
7000.0,13.8,1.4832396974191326,5,11.958314667008016,15.641685332991985
8000.0,12.2,2.588435821108957,5,8.986032429268002,15.413967570731996
9000.0,11.6,2.1908902300206643,5,8.879650477366972,14.320349522633027
10000.0,11.0,2.23606797749979,5,8.223554894802202,13.776445105197798
11000.0,11.0,2.3452078799117144,5,8.088039807209842,13.911960192790158
12000.0,11.6,2.1908902300206647,5,8.879650477366972,14.320349522633027
13000.0,11.8,2.1679483388678804,5,9.108136597662094,14.491863402337907
14000.0,12.0,1.224744871391589,5,10.479278386208362,13.520721613791638
15000.0,12.0,0.7071067811865476,5,11.122010966914916,12.877989033085084
16000.0,12.4,1.51657508881031,5,10.516923311651558,14.283076688348443
17000.0,13.0,1.8708286933869707,5,10.677059364614806,15.322940635385194
18000.0,12.8,1.6431676725154982,5,10.759737858025229,14.840262141974772
19000.0,12.8,2.2803508501982757,5,9.968570446035452,15.63142955396455
20000.0,12.8,2.588435821108957,5,9.586032429268004,16.013967570731996
21000.0,13.0,2.9154759474226504,5,9.379958478456278,16.620041521543722
22000.0,13.6,3.0495901363953815,5,9.81343371836054,17.38656628163946
23000.0,13.4,2.6076809620810595,5,10.162136430582589,16.637863569417412
24000.0,13.8,2.8635642126552705,5,10.244415410601237,17.355584589398763
25000.0,14.2,2.04939015319192,5,11.65534602850829,16.744653971491708
26000.0,14.2,2.1679483388678804,5,11.508136597662093,16.891863402337904
27000.0,14.8,1.3038404810405297,5,13.181068215291294,16.418931784708708
28000.0,14.8,1.7888543819998315,5,12.578843915841762,17.02115608415824
29000.0,15.2,2.04939015319192,5,12.65534602850829,17.744653971491708
30000.0,15.2,2.04939015319192,5,12.65534602850829,17.744653971491708
31000.0,15.4,2.073644135332772,5,12.825230732070919,17.974769267929084
32000.0,15.6,2.073644135332772,5,13.025230732070918,18.174769267929083
33000.0,16.0,1.8708286933869709,5,13.677059364614806,18.322940635385194
34000.0,16.2,1.7888543819998317,5,13.978843915841761,18.421156084158238
35000.0,16.0,2.1213203435596424,5,13.366032900744747,18.63396709925525
36000.0,16.4,2.0736441353327724,5,13.825230732070917,18.97476926792908
37000.0,16.4,2.302172886644268,5,13.541474809012971,19.258525190987026
38000.0,17.2,3.2710854467592254,5,13.138410965710786,21.261589034289212
39000.0,18.2,1.9235384061671348,5,15.811611611900014,20.588388388099986
40000.0,18.6,2.302172886644268,5,15.741474809012974,21.45852519098703
41000.0,19.0,2.23606797749979,5,16.223554894802202,21.776445105197798
42000.0,18.8,2.4899799195977463,5,15.70828157758517,21.891718422414833
43000.0,19.4,2.8809720581775866,5,15.822800715529883,22.977199284470114
44000.0,20.0,2.9154759474226504,5,16.379958478456278,23.620041521543722
45000.0,19.4,3.2093613071762426,5,15.41505160765108,23.384948392348917
46000.0,19.0,4.0,5,14.033344007184933,23.966655992815067
47000.0,18.6,3.7815340802378072,5,13.904605274588123,23.29539472541188
48000.0,19.0,4.183300132670378,5,13.805746831582152,24.19425316841785
49000.0,19.6,3.3615472627943217,5,15.426087785527876,23.773912214472126
50000.0,21.2,4.324349662087931,5,15.830610708940792,26.569389291059206
