t,mean,sd_across_runs,n_runs_used,ci95_low,ci95_high
1000.0,36.4,10.014988766843425,5,23.964749005795383,48.835250994204614
2000.0,76.6,21.384573879317774,5,50.04754449712246,103.15245550287753
3000.0,100.8,17.21046193453273,5,79.43038902343436,122.16961097656564
4000.0,136.4,22.006817125609054,5,109.07492746007715,163.72507253992285
5000.0,176.0,30.174492539229224,5,138.53341894997092,213.46658105002908
6000.0,215.8,45.482963843619515,5,159.32544126377405,272.27455873622597
7000.0,270.4,76.67333304350348,5,175.1974827375945,365.60251726240546
8000.0,319.4,93.31827259438528,5,203.53006054498658,435.2699394550134
9000.0,374.2,103.26035057077814,5,245.985340254365,502.41465974563494
10000.0,423.6,114.39755242136957,5,281.5566776757573,565.6433223242427
11000.0,481.8,129.65993984265148,5,320.80592068811353,642.7940793118864
12000.0,543.6,131.84384703125133,5,379.8942417566107,707.3057582433894
13000.0,594.6,122.65316954730523,5,442.3059751075285,746.8940248924715
14000.0,660.4,124.91717255845971,5,505.29484407675307,815.5051559232469
15000.0,742.2,125.50776868385479,5,586.3615221303714,898.0384778696287
16000.0,810.2,128.45115803292705,5,650.706821542932,969.6931784570681
17000.0,884.4,118.34187762580076,5,737.4591510722073,1031.3408489277926
18000.0,988.8,117.55296678519008,5,842.8387132607863,1134.7612867392136
19000.0,1060.4,120.46285734615462,5,910.8256069125238,1209.9743930874765
20000.0,1129.4,146.3823759883682,5,947.6422737637158,1311.1577262362844
21000.0,1216.0,156.90761613127643,5,1021.1734620058176,1410.8265379941824
22000.0,1288.6,153.91653582380286,5,1097.4873787393435,1479.7126212606563
23000.0,1359.4,159.30411168579425,5,1161.5978197539175,1557.2021802460827
24000.0,1421.4,161.48777043479177,5,1220.8864493009246,1621.9135506990756
25000.0,1480.4,170.06410556022692,5,1269.2375227391412,1691.562477260859
26000.0,1550.8,197.61502979277662,5,1305.4285320023446,1796.1714679976553
27000.0,1639.0,239.66643486312387,5,1341.414816252611,1936.585183747389
28000.0,1742.2,254.1794641586924,5,1426.594510271427,2057.805489728573
29000.0,1834.0,285.08507502147495,5,1480.0201259206146,2187.9798740793854
30000.0,1929.2,329.1036310951309,5,1520.5638695910425,2337.8361304089576
31000.0,2006.6,356.49445998500454,5,1563.9536634775266,2449.2463365224735
32000.0,2091.2,383.83616296539856,5,1614.6044552371905,2567.795544762809
33000.0,2192.4,433.4960207429822,5,1654.143597678846,2730.656402321154
34000.0,2292.0,477.26722074745504,5,1699.3944744751154,2884.605525524885
35000.0,2385.4,519.0749464191082,5,1740.8833266618444,3029.9166733381558
36000.0,2481.0,569.9486819003971,5,1773.3152408605863,3188.6847591394135
37000.0,2587.0,620.4026918058947,5,1816.6683131959135,3357.3316868040865
38000.0,2665.8,657.974695562071,5,1848.816508791493,3482.7834912085073
39000.0,2778.4,713.5869253286526,5,1892.364805230493,3664.4351947695072
40000.0,2868.2,748.4248125229414,5,1938.9078549278602,3797.4921450721395
41000.0,3004.8,817.1062966346547,5,1990.228528763142,4019.3714712368583
42000.0,3095.2,834.4023010514771,5,2059.152702766,4131.247297234
43000.0,3169.2,867.0122259806951,5,2092.6621329972622,4245.737867002737
44000.0,3213.0,865.0263001782084,5,2138.9279855693144,4287.072014430685
45000.0,3288.4,911.5935497797251,5,2156.5071082437426,4420.292891756258
46000.0,3361.0,959.7200112532821,5,2169.350213671086,4552.649786328914
47000.0,3426.0,993.6948726847694,5,2192.164851387646,4659.835148612354
48000.0,3500.8,1030.6729355134926,5,2221.0505220499044,4780.549477950096
49000.0,3577.4,1073.6413740164824,5,2244.298158901709,4910.501841098291
50000.0,3664.0,1125.7759546197458,5,2266.164527105185,5061.835472894815
