rep,host,t,Ec
0,0,1000.0,1.0
0,0,2000.0,0.0
0,0,3000.0,0.24554663543362
0,0,4000.0,0.29785374694474
0,0,5000.0,0.27883639545512
0,0,6000.0,0.23412451026663
0,0,7000.0,0.24262078106699
0,0,8000.0,0.24672299336133
0,0,9000.0,0.21188724592149
0,0,10000.0,0.10613135198042
0,0,11000.0,0.15751783922338
0,0,12000.0,0.24547025620288
0,0,13000.0,0.27249272692987
0,0,14000.0,0.18631280270656
0,0,15000.0,0.10021529121027
0,0,16000.0,0.19211657868809
0,0,17000.0,0.1472589269054
0,0,18000.0,0.051417200530069
0,0,19000.0,0.081841569573129
0,0,20000.0,0.13285664566053
0,0,21000.0,0.069402225253788
0,0,22000.0,0.017496453963406
0,0,23000.0,0.11932976499865
0,0,24000.0,0.083434506406472
0,0,25000.0,0.16281776081399
0,0,26000.0,0.025455943492199
0,0,27000.0,0.06995116694238
0,0,28000.0,0.028788153983942
0,0,29000.0,0.071954171664229
0,0,30000.0,0.022802105783473
0,0,31000.0,0.12316895454836
0,0,32000.0,0.059314225711412
0,0,33000.0,0.065615160005076
0,0,34000.0,0.13561340393618
0,0,35000.0,0.097939444171931
0,0,36000.0,0.0
0,0,37000.0,0.070034354161073
0,0,38000.0,0.15547212829946
0,0,39000.0,0.029094240008197
0,0,40000.0,0.0
0,0,41000.0,0.20205060735723
0,0,42000.0,0.16630505618513
0,0,43000.0,0.20738937628074
0,0,44000.0,0.15657864468316
0,0,45000.0,0.20056414357491
0,0,46000.0,0.25058093668488
0,0,47000.0,0.078850144781008
0,0,48000.0,0.045441513007666
0,0,49000.0,0.1821403182829
0,0,50000.0,0.24925744379286
0,1,1000.0,1.0
0,1,2000.0,0.0
0,1,3000.0,0.12476290444374
0,1,4000.0,0.21895589617141
0,1,5000.0,0.085300632900112
0,1,6000.0,0.1493865087678
0,1,7000.0,0.025371217041195
0,1,8000.0,0.12636182160174
0,1,9000.0,0.20010639577935
0,1,10000.0,0.043275800001449
0,1,11000.0,0.10705722348823
0,1,12000.0,0.18950346971381
0,1,13000.0,0.18272635327867
0,1,14000.0,0.10461337926792
0,1,15000.0,0.14756985322138
0,1,16000.0,0.18199816676416
0,1,17000.0,0.077874207625395
0,1,18000.0,0.069798617036263
