rep,t,mean_TotalClusterMsgSent,n_hosts_used
0,1000.0,39.0,49
0,2000.0,66.0,49
0,3000.0,85.0,49
0,4000.0,118.0,49
0,5000.0,176.0,49
0,6000.0,219.0,49
0,7000.0,253.0,49
0,8000.0,317.0,49
0,9000.0,417.0,49
0,10000.0,450.0,49
0,11000.0,497.0,49
0,12000.0,570.0,49
0,13000.0,608.0,49
0,14000.0,684.0,49
0,15000.0,811.0,49
0,16000.0,892.0,49
0,17000.0,939.0,49
0,18000.0,1033.0,49
0,19000.0,1090.0,49
0,20000.0,1147.0,49
0,21000.0,1243.0,49
0,22000.0,1363.0,49
0,23000.0,1468.0,49
0,24000.0,1543.0,49
0,25000.0,1603.0,49
0,26000.0,1682.0,49
0,27000.0,1778.0,49
0,28000.0,1874.0,49
0,29000.0,1954.0,49
0,30000.0,2098.0,49
0,31000.0,2159.0,49
0,32000.0,2204.0,49
0,33000.0,2264.0,49
0,34000.0,2347.0,49
0,35000.0,2451.0,49
0,36000.0,2511.0,49
0,37000.0,2598.0,49
0,38000.0,2673.0,49
0,39000.0,2745.0,49
0,40000.0,2812.0,49
0,41000.0,2889.0,49
0,42000.0,2933.0,49
0,43000.0,2985.0,49
0,44000.0,3025.0,49
0,45000.0,3035.0,49
0,46000.0,3046.0,49
0,47000.0,3066.0,49
0,48000.0,3088.0,49
0,49000.0,3110.0,49
0,50000.0,3132.0,49
1,1000.0,52.0,49
1,2000.0,91.0,49
1,3000.0,109.0,49
1,4000.0,139.0,49
1,5000.0,185.0,49
1,6000.0,221.0,49
1,7000.0,293.0,49
1,8000.0,354.0,49
1,9000.0,411.0,49
1,10000.0,456.0,49
1,11000.0,561.0,49
1,12000.0,636.0,49
1,13000.0,666.0,49
1,14000.0,764.0,49
1,15000.0,862.0,49
1,16000.0,953.0,49
1,17000.0,1035.0,49
1,18000.0,1133.0,49
1,19000.0,1175.0,49
1,20000.0,1310.0,49
1,21000.0,1370.0,49
1,22000.0,1444.0,49
1,23000.0,1526.0,49
1,24000.0,1578.0,49
1,25000.0,1630.0,49
1,26000.0,1734.0,49
1,27000.0,1832.0,49
1,28000.0,1904.0,49
1,29000.0,2024.0,49
1,30000.0,2120.0,49
1,31000.0,2205.0,49
1,32000.0,2315.0,49
1,33000.0,2427.0,49
1,34000.0,2506.0,49
1,35000.0,2597.0,49
1,36000.0,2714.0,49
1,37000.0,2783.0,49
1,38000.0,2887.0,49
1,39000.0,3017.0,49
1,40000.0,3121.0,49
1,41000.0,3214.0,49
1,42000.0,3315.0,49
1,43000.0,3375.0,49
1,44000.0,3435.0,49
1,45000.0,3543.0,49
1,46000.0,3615.0,49
1,47000.0,3716.0,49
1,48000.0,3833.0,49
1,49000.0,3911.0,49
1,50000.0,4054.0,49
2,1000.0,26.0,49
2,2000.0,59.0,49
2,3000.0,80.0,49
2,4000.0,110.0,49
2,5000.0,130.0,49
2,6000.0,140.0,49
2,7000.0,161.0,49
2,8000.0,179.0,49
2,9000.0,215.0,49
2,10000.0,242.0,49
2,11000.0,269.0,49
2,12000.0,318.0,49
2,13000.0,380.0,49
2,14000.0,445.0,49
2,15000.0,536.0,49
2,16000.0,614.0,49
2,17000.0,712.0,49
2,18000.0,832.0,49
2,19000.0,922.0,49
2,20000.0,982.0,49
2,21000.0,1089.0,49
2,22000.0,1169.0,49
2,23000.0,1281.0,49
2,24000.0,1409.0,49
2,25000.0,1523.0,49
2,26000.0,1625.0,49
2,27000.0,1805.0,49
2,28000.0,1938.0,49
2,29000.0,2071.0,49
2,30000.0,2204.0,49
2,31000.0,2318.0,49
2,32000.0,2451.0,49
2,33000.0,2631.0,49
2,34000.0,2791.0,49
2,35000.0,2931.0,49
2,36000.0,3098.0,49
2,37000.0,3266.0,49
2,38000.0,3392.0,49
2,39000.0,3574.0,49
2,40000.0,3735.0,49
2,41000.0,3988.0,49
2,42000.0,4057.0,49
2,43000.0,4218.0,49
2,44000.0,4264.0,49
2,45000.0,4448.0,49
2,46000.0,4629.0,49
2,47000.0,4761.0,49
2,48000.0,4909.0,49
2,49000.0,5078.0,49
2,50000.0,5257.0,49
3,1000.0,30.0,49
3,2000.0,60.0,49
3,3000.0,111.0,49
3,4000.0,159.0,49
3,5000.0,175.0,49
3,6000.0,239.0,49
3,7000.0,271.0,49
3,8000.0,310.0,49
3,9000.0,340.0,49
3,10000.0,414.0,49
3,11000.0,476.0,49
3,12000.0,554.0,49
3,13000.0,645.0,49
3,14000.0,684.0,49
3,15000.0,726.0,49
3,16000.0,799.0,49
3,17000.0,875.0,49
3,18000.0,1034.0,49
3,19000.0,1169.0,49
3,20000.0,1226.0,49
3,21000.0,1357.0,49
3,22000.0,1383.0,49
3,23000.0,1396.0,49
3,24000.0,1410.0,49
3,25000.0,1439.0,49
3,26000.0,1467.0,49
3,27000.0,1494.0,49
3,28000.0,1666.0,49
3,29000.0,1746.0,49
3,30000.0,1826.0,49
3,31000.0,1930.0,49
3,32000.0,2021.0,49
3,33000.0,2153.0,49
3,34000.0,2307.0,49
3,35000.0,2417.0,49
3,36000.0,2529.0,49
3,37000.0,2713.0,49
3,38000.0,2780.0,49
3,39000.0,2928.0,49
3,40000.0,2991.0,49
3,41000.0,3197.0,49
3,42000.0,3381.0,49
3,43000.0,3427.0,49
3,44000.0,3450.0,49
3,45000.0,3475.0,49
3,46000.0,3527.0,49
3,47000.0,3553.0,49
3,48000.0,3580.0,49
3,49000.0,3634.0,49
3,50000.0,3661.0,49
4,1000.0,35.0,49
4,2000.0,107.0,49
4,3000.0,119.0,49
4,4000.0,156.0,49
4,5000.0,214.0,49
4,6000.0,260.0,49
4,7000.0,374.0,49
4,8000.0,437.0,49
4,9000.0,488.0,49
4,10000.0,556.0,49
4,11000.0,606.0,49
4,12000.0,640.0,49
4,13000.0,674.0,49
4,14000.0,725.0,49
4,15000.0,776.0,49
4,16000.0,793.0,49
4,17000.0,861.0,49
4,18000.0,912.0,49
4,19000.0,946.0,49
4,20000.0,982.0,49
4,21000.0,1021.0,49
4,22000.0,1084.0,49
4,23000.0,1126.0,49
4,24000.0,1167.0,49
4,25000.0,1207.0,49
4,26000.0,1246.0,49
4,27000.0,1286.0,49
4,28000.0,1329.0,49
4,29000.0,1375.0,49
4,30000.0,1398.0,49
4,31000.0,1421.0,49
4,32000.0,1465.0,49
4,33000.0,1487.0,49
4,34000.0,1509.0,49
4,35000.0,1531.0,49
4,36000.0,1553.0,49
4,37000.0,1575.0,49
4,38000.0,1597.0,49
4,39000.0,1628.0,49
4,40000.0,1682.0,49
4,41000.0,1736.0,49
4,42000.0,1790.0,49
4,43000.0,1841.0,49
4,44000.0,1891.0,49
4,45000.0,1941.0,49
4,46000.0,1988.0,49
4,47000.0,2034.0,49
4,48000.0,2094.0,49
4,49000.0,2154.0,49
4,50000.0,2216.0,49
