rep,host,t,TotalClusterMsgSent
0,5,10000.0,269.0
0,5,11000.0,288.0
0,5,12000.0,307.0
0,5,13000.0,367.0
0,5,14000.0,386.0
0,5,15000.0,405.0
0,5,16000.0,456.0
0,5,17000.0,502.0
0,5,18000.0,548.0
0,5,19000.0,581.0
0,5,20000.0,617.0
0,5,21000.0,652.0
0,5,22000.0,689.0
0,5,23000.0,729.0
0,5,24000.0,769.0
0,5,25000.0,809.0
0,5,26000.0,851.0
0,5,27000.0,893.0
0,5,28000.0,935.0
0,5,29000.0,978.0
0,5,30000.0,1019.0
0,5,31000.0,1061.0
0,5,32000.0,1121.0
0,5,33000.0,1163.0
0,5,34000.0,1204.0
0,5,35000.0,1262.0
0,5,36000.0,1299.0
0,5,37000.0,1356.0
0,5,38000.0,1390.0
0,5,39000.0,1441.0
0,5,40000.0,1475.0
0,5,41000.0,1523.0
0,5,42000.0,1555.0
0,5,43000.0,1601.0
0,5,44000.0,1631.0
0,5,45000.0,1661.0
0,5,46000.0,1691.0
0,5,47000.0,1736.0
0,5,48000.0,1781.0
0,5,49000.0,1826.0
0,5,50000.0,1855.0
0,6,1000.0,32.0
0,6,2000.0,48.0
0,6,3000.0,64.0
0,6,4000.0,98.0
0,6,5000.0,132.0
0,6,6000.0,166.0
0,6,7000.0,200.0
0,6,8000.0,234.0
0,6,9000.0,268.0
0,6,10000.0,302.0
0,6,11000.0,336.0
0,6,12000.0,352.0
0,6,13000.0,384.0
0,6,14000.0,416.0
0,6,15000.0,446.0
0,6,16000.0,476.0
0,6,17000.0,506.0
0,6,18000.0,538.0
0,6,19000.0,572.0
0,6,20000.0,610.0
0,6,21000.0,646.0
0,6,22000.0,684.0
0,6,23000.0,724.0
0,6,24000.0,762.0
0,6,25000.0,800.0
0,6,26000.0,842.0
0,6,27000.0,880.0
0,6,28000.0,918.0
0,6,29000.0,954.0
0,6,30000.0,990.0
0,6,31000.0,1024.0
0,6,32000.0,1058.0
0,6,33000.0,1092.0
0,6,34000.0,1126.0
0,6,35000.0,1160.0
0,6,36000.0,1196.0
0,6,37000.0,1232.0
0,6,38000.0,1266.0
0,6,39000.0,1298.0
0,6,40000.0,1330.0
0,6,41000.0,1362.0
0,6,42000.0,1394.0
0,6,43000.0,1426.0
0,6,44000.0,1458.0
0,6,45000.0,1494.0
0,6,46000.0,1529.0
0,6,47000.0,1563.0
0,6,48000.0,1597.0
0,6,49000.0,1631.0
0,6,50000.0,1663.0
0,7,1000.0,15.0
0,7,2000.0,44.0
0,7,3000.0,73.0
0,7,4000.0,88.0
0,7,5000.0,120.0
0,7,6000.0,136.0
0,7,7000.0,151.0
0,7,8000.0,183.0
0,7,9000.0,216.0
0,7,10000.0,232.0
0,7,11000.0,264.0
0,7,12000.0,281.0
0,7,13000.0,299.0
0,7,14000.0,333.0
0,7,15000.0,367.0
0,7,16000.0,384.0
0,7,17000.0,417.0
0,7,18000.0,465.0
0,7,19000.0,513.0
0,7,20000.0,578.0
0,7,21000.0,626.0
0,7,22000.0,658.0
0,7,23000.0,690.0
0,7,24000.0,706.0
0,7,25000.0,723.0
0,7,26000.0,774.0
0,7,27000.0,825.0
0,7,28000.0,842.0
0,7,29000.0,888.0
0,7,30000.0,933.0
0,7,31000.0,948.0
0,7,32000.0,984.0
0,7,33000.0,1040.0
0,7,34000.0,1059.0
0,7,35000.0,1116.0
0,7,36000.0,1186.0
0,7,37000.0,1202.0
0,7,38000.0,1250.0
0,7,39000.0,1282.0
0,7,40000.0,1327.0
0,7,41000.0,1402.0
0,7,42000.0,1417.0
0,7,43000.0,1462.0
0,7,44000.0,1522.0
0,7,45000.0,1569.0
0,7,46000.0,1617.0
0,7,47000.0,1648.0
0,7,48000.0,1663.0
0,7,49000.0,1677.0
0,7,50000.0,1705.0
0,8,1000.0,7.0
0,8,2000.0,14.0
0,8,3000.0,28.0
0,8,4000.0,35.0
0,8,5000.0,43.0
0,8,6000.0,59.0
0,8,7000.0,67.0
0,8,8000.0,75.0
0,8,9000.0,92.0
0,8,10000.0,101.0
0,8,11000.0,110.0
0,8,12000.0,129.0
0,8,13000.0,139.0
0,8,14000.0,149.0
0,8,15000.0,169.0
0,8,16000.0,179.0
0,8,17000.0,189.0
0,8,18000.0,212.0
0,8,19000.0,236.0
0,8,20000.0,248.0
0,8,21000.0,272.0
0,8,22000.0,284.0
0,8,23000.0,298.0
0,8,24000.0,328.0
0,8,25000.0,358.0
0,8,26000.0,373.0
0,8,27000.0,403.0
0,8,28000.0,433.0
0,8,29000.0,448.0
0,8,30000.0,478.0
0,8,31000.0,525.0
0,8,32000.0,557.0
0,8,33000.0,607.0
0,8,34000.0,641.0
0,8,35000.0,692.0
0,8,36000.0,726.0
0,8,37000.0,776.0
0,8,38000.0,811.0
0,8,39000.0,868.0
0,8,40000.0,886.0
0,8,41000.0,904.0
0,8,42000.0,943.0
0,8,43000.0,983.0
0,8,44000.0,1024.0
0,8,45000.0,1067.0
0,8,46000.0,1111.0
0,8,47000.0,1156.0
0,8,48000.0,1202.0
0,8,49000.0,1248.0
0,8,50000.0,1291.0
0,9,1000.0,14.0
0,9,2000.0,21.0
0,9,3000.0,29.0
0,9,4000.0,45.0
0,9,5000.0,53.0
0,9,6000.0,69.0
0,9,7000.0,83.0
0,9,8000.0,103.0
0,9,9000.0,109.0
0,9,10000.0,121.0
0,9,11000.0,127.0
0,9,12000.0,133.0
0,9,13000.0,145.0
0,9,14000.0,153.0
0,9,15000.0,161.0
0,9,16000.0,177.0
0,9,17000.0,193.0
0,9,18000.0,209.0
0,9,19000.0,225.0
0,9,20000.0,252.0
0,9,21000.0,261.0
0,9,22000.0,283.0
0,9,23000.0,293.0
0,9,24000.0,303.0
0,9,25000.0,323.0
0,9,26000.0,343.0
0,9,27000.0,353.0
0,9,28000.0,373.0
0,9,29000.0,393.0
0,9,30000.0,413.0
0,9,31000.0,433.0
0,9,32000.0,455.0
0,9,33000.0,475.0
0,9,34000.0,497.0
0,9,35000.0,519.0
0,9,36000.0,545.0
0,9,37000.0,584.0
0,9,38000.0,610.0
0,9,39000.0,636.0
0,9,40000.0,662.0
0,9,41000.0,688.0
0,9,42000.0,727.0
0,9,43000.0,751.0
0,9,44000.0,775.0
0,9,45000.0,799.0
0,9,46000.0,823.0
0,9,47000.0,835.0
0,9,48000.0,847.0
0,9,49000.0,871.0
0,9,50000.0,883.0
0,10,1000.0,10.0
0,10,2000.0,21.0
0,10,3000.0,43.0
0,10,4000.0,67.0
