rep,t,mean_rlReward,n_hosts_used
0,5000.0,-0.031283032643997975,24
0,6000.0,-0.00692541884912067,24
0,7000.0,-0.019710604108077692,24
0,8000.0,0.017416219773167547,24
0,9000.0,0.022983569439342603,24
0,10000.0,-0.003819829383522256,24
0,11000.0,-0.006892847305284985,24
0,12000.0,0.04262548657259007,24
0,13000.0,-0.018227997975950625,24
0,14000.0,-0.03607601979586891,24
0,15000.0,0.018753160778395575,24
0,16000.0,0.027472637860084793,24
0,17000.0,-0.09367678751753546,24
0,18000.0,0.011655219059475955,24
0,19000.0,-0.059137158558679376,24
0,20000.0,-0.10275833943740374,24
0,21000.0,-0.11973548557648017,24
0,22000.0,0.1854232107157553,24
0,23000.0,0.21639905472560442,24
0,24000.0,0.2716051546545271,24
0,25000.0,0.26189128228216063,24
0,26000.0,0.16378443707480855,24
0,27000.0,0.12165886994508951,24
0,28000.0,0.24644318318112082,24
0,29000.0,0.18454167954595177,24
0,30000.0,0.13774925076891378,24
0,31000.0,0.09810390857720892,24
0,32000.0,0.20984410481700563,24
0,33000.0,0.23260507129552954,24
0,34000.0,0.25761573129053034,24
0,35000.0,0.2551231641369844,24
0,36000.0,0.22244193399408266,24
0,37000.0,0.2314659121868522,24
0,38000.0,0.21550378017068283,24
0,39000.0,0.2858946414449057,24
0,40000.0,0.1710711982276091,24
0,41000.0,0.14850966585743886,24
0,42000.0,0.19954525601869688,24
0,43000.0,0.18343898278282142,24
0,44000.0,0.09092263696867213,24
0,45000.0,0.14180926352338613,24
0,46000.0,0.1422904987971679,24
0,47000.0,0.1564316659970627,24
0,48000.0,0.11703063312566547,24
0,49000.0,0.038277534035165324,24
0,50000.0,0.04170984183502933,24
1,5000.0,0.027937771816203664,24
1,6000.0,0.038112012238347384,24
1,7000.0,-0.007711699185479502,24
1,8000.0,0.05094710020342696,24
1,9000.0,0.07063773973446373,24
1,10000.0,0.03757782179751583,24
1,11000.0,0.002360918473658293,24
1,12000.0,0.07712548421930536,24
1,13000.0,0.144960100779258,24
1,14000.0,0.1418028541751394,24
1,15000.0,0.16346428789351627,24
1,16000.0,0.18086396233434668,24
1,17000.0,0.12477382435237067,24
1,18000.0,0.09826203429567164,24
1,19000.0,0.1464889479376231,24
1,20000.0,0.15101286310129872,24
1,21000.0,0.1863408561784239,24
1,22000.0,0.1400272272919577,24
1,23000.0,0.18035037214562702,24
1,24000.0,0.19709083040826994,24
1,25000.0,0.09105906532437925,24
1,26000.0,0.1331032841158847,24
1,27000.0,0.06096839810568771,24
1,28000.0,0.03346060056857836,24
1,29000.0,0.08900953316928234,24
1,30000.0,0.006855643924904678,24
1,31000.0,-0.0593147207213765,24
1,32000.0,0.157984625875235,24
1,33000.0,0.21856857852745884,24
1,34000.0,0.14034510874796666,24
1,35000.0,0.19326505124571422,24
1,36000.0,0.10471458173465625,24
1,37000.0,0.038734931745881586,24
1,38000.0,0.028402538309684967,24
1,39000.0,0.03679491500023283,24
1,40000.0,0.007444800971059251,24
1,41000.0,-0.029866470699533337,24
1,42000.0,0.15063438940377252,24
1,43000.0,0.23504441156184305,24
1,44000.0,0.2502208757858919,24
1,45000.0,0.23368064959171483,24
1,46000.0,0.211045544931081,24
1,47000.0,0.1830382830347639,24
1,48000.0,0.22944799501116683,24
1,49000.0,0.19617373692628093,24
1,50000.0,0.18435448207099092,24
2,5000.0,-0.013167576842845733,24
2,6000.0,-0.012032007583081416,24
2,7000.0,-0.023388289844225123,24
2,8000.0,0.028420865574242133,24
2,9000.0,-0.07359836863215467,24
2,10000.0,-0.0027885523007801275,24
2,11000.0,-0.043720701480967405,24
2,12000.0,0.06433501185550507,24
2,13000.0,0.10565291105495266,24
2,14000.0,0.09117221211231064,24
2,15000.0,0.10654629215840754,24
2,16000.0,0.07578843330147088,24
2,17000.0,0.05853759540064988,24
2,18000.0,0.12036433135330847,24
2,19000.0,0.1268590567608444,24
2,20000.0,0.11177630619232141,24
2,21000.0,0.030792532604011786,24
2,22000.0,0.17005773318366169,24
2,23000.0,0.169171014455645,24
2,24000.0,0.2258313580334309,24
2,25000.0,0.20263266938581134,24
2,26000.0,0.1821657007656404,24
2,27000.0,0.09655627658697508,24
2,28000.0,0.11652788334760424,24
2,29000.0,0.1599992843078818,24
2,30000.0,0.17020620519821447,24
2,31000.0,-0.08267786666974318,24
2,32000.0,0.15327709003930345,24
2,33000.0,0.16808547363070328,24
2,34000.0,0.21516049717489383,24
2,35000.0,0.2392381457101683,24
2,36000.0,0.20988894593685484,24
2,37000.0,0.20440422015029858,24
2,38000.0,0.22561469511516077,24
2,39000.0,0.1865116629491459,24
2,40000.0,0.23180024555371637,24
2,41000.0,0.13585082957652342,24
2,42000.0,0.2005650247889504,24
2,43000.0,0.23285805810102014,24
2,44000.0,0.25033419927865674,24
2,45000.0,0.21627351038086765,24
2,46000.0,0.23626656447837877,24
2,47000.0,0.18777601512907285,24
2,48000.0,0.2723440373579244,24
2,49000.0,0.30331903153862544,24
2,50000.0,0.22252055129608514,24
3,5000.0,-0.13825103125984878,24
3,6000.0,-0.1878127031442254,24
3,7000.0,-0.0799352385520317,24
3,8000.0,-0.09699684996984709,24
3,9000.0,-0.06532661621042483,24
3,10000.0,-0.185114251103127,24
3,11000.0,-0.1685644303010461,24
3,12000.0,0.13730803712027226,24
3,13000.0,0.1446924061904615,24
3,14000.0,0.24050838783778436,24
3,15000.0,0.293239770353226,24
3,16000.0,0.25307755191524384,24
3,17000.0,0.22007889204473166,24
3,18000.0,0.13857015863111155,24
3,19000.0,0.13162675848392993,24
3,20000.0,0.15633353207033593,24
3,21000.0,0.15698658937606938,24
3,22000.0,0.2823054900871002,24
3,23000.0,0.26047963660133744,24
3,24000.0,0.18977668516802526,24
3,25000.0,0.2051661702319609,24
3,26000.0,0.2938864145487166,24
3,27000.0,0.1786621553260255,24
3,28000.0,0.19966544866058775,24
3,29000.0,0.09735845622389157,24
3,30000.0,0.12202216990113772,24
3,31000.0,0.13535207839594496,24
3,32000.0,0.3067264097724653,24
3,33000.0,0.30225513484081795,24
3,34000.0,0.2904972737388412,24
3,35000.0,0.3214689253052105,24
3,36000.0,0.28390116132709076,24
3,37000.0,0.1889088665324784,24
3,38000.0,0.14019865441829574,24
3,39000.0,0.20878081162017917,24
3,40000.0,0.19241933919603457,24
3,41000.0,0.1945193825591304,24
3,42000.0,0.218665092394037,24
3,43000.0,0.2668028689947782,24
3,44000.0,0.26310371041980085,24
3,45000.0,0.2720203506895435,24
3,46000.0,0.2557056722534654,24
3,47000.0,0.2644722181096874,24
3,48000.0,0.2828825294677375,24
3,49000.0,0.16613816377987917,24
3,50000.0,0.1678284887924704,24
4,5000.0,-0.07105484781743128,24
4,6000.0,-0.03270781543705984,24
4,7000.0,-0.09940434039257119,24
4,8000.0,-0.03488112350708808,24
4,9000.0,0.006387385262444085,24
4,10000.0,-0.008611044533737127,24
4,11000.0,-0.021230335117734877,24
4,12000.0,0.1174843123541952,24
4,13000.0,0.1383153781060501,24
4,14000.0,0.08469052765566158,24
4,15000.0,0.021433396832642837,24
4,16000.0,-0.021793220003864796,24
4,17000.0,-0.04830095240743776,24
4,18000.0,-0.08863105717747966,24
4,19000.0,0.005722058346722499,24
4,20000.0,0.000505498188878494,24
4,21000.0,-0.06571833421016024,24
4,22000.0,0.10113549325255593,24
4,23000.0,0.17488351587354778,24
4,24000.0,0.1062450568126333,24
4,25000.0,0.014058699005738912,24
4,26000.0,-0.013905254847641199,24
4,27000.0,-0.04235770446187246,24
4,28000.0,-0.05851945567587071,24
4,29000.0,-0.028824067796863338,24
4,30000.0,-0.08771642019270716,24
4,31000.0,-0.09549154747224446,24
4,32000.0,0.2178903479887719,24
4,33000.0,0.16214022876467912,24
4,34000.0,0.14545162293305372,24
4,35000.0,0.1535689493494003,24
4,36000.0,0.10021160625695529,24
4,37000.0,0.06536708915340046,24
4,38000.0,0.12047793199620475,24
4,39000.0,0.09520606287718868,24
4,40000.0,0.08491059926179312,24
4,41000.0,0.0784177398752043,24
4,42000.0,0.2821721697638394,24
4,43000.0,0.1694450972394883,24
4,44000.0,0.06851761786354078,24
4,45000.0,-0.07299563886313888,24
4,46000.0,-0.05342160337806332,24
4,47000.0,-0.11249470819252266,24
4,48000.0,-0.041287736629344755,24
4,49000.0,-0.054040223679924365,24
4,50000.0,-0.07600176504249104,24
