t,mean,sd_across_runs,n_runs_used,ci95_low,ci95_high
1000.0,0.0,0.0,5,0.0,0.0
2000.0,0.525,0.047507309379130794,5,0.4660118842924052,0.5839881157075949
3000.0,0.525,0.047507309379130794,5,0.4660118842924052,0.5839881157075949
4000.0,0.525,0.047507309379130794,5,0.4660118842924052,0.5839881157075949
5000.0,0.475,0.08640183897219883,5,0.3677179471696216,0.5822820528303784
6000.0,0.7,0.06846531968814575,5,0.6149890774177178,0.7850109225822821
7000.0,0.7166666666666666,0.06846531968814573,5,0.6316557440843845,0.8016775892489486
8000.0,0.45,0.11180339887498951,5,0.31117774474011006,0.58882225525989
9000.0,0.525,0.12004050242406612,5,0.37595002981374515,0.6740499701862549
10000.0,0.6666666666666667,0.11023963796102465,5,0.5297860770354452,0.8035472562978883
11000.0,0.7166666666666667,0.05432668671002208,5,0.6492111756371373,0.7841221576961961
12000.0,0.5833333333333334,0.029462782549439483,5,0.5467504569547882,0.6199162097118786
13000.0,0.6916666666666667,0.07569125885243727,5,0.5976835555708732,0.7856497777624601
14000.0,0.65,0.04750730937913073,5,0.5910118842924053,0.7089881157075948
15000.0,0.6583333333333333,0.054326686710022075,5,0.5908778423038039,0.7257888243628627
16000.0,0.5583333333333333,0.0631906287004296,5,0.47987180465214824,0.6367948620145184
17000.0,0.5833333333333333,0.05892556509887898,5,0.5101675805762429,0.6564990860904236
18000.0,0.6416666666666666,0.06319062870042959,5,0.5632051379854816,0.7201281953478517
19000.0,0.7083333333333333,0.08333333333333331,5,0.6048613334830194,0.8118053331836471
20000.0,0.625,0.09771699499632147,5,0.5036683253004101,0.7463316746995899
21000.0,0.5833333333333334,0.0779511955577905,5,0.48654414019228354,0.6801225264743832
22000.0,0.575,0.034860834438919866,5,0.5317145569298511,0.6182854430701488
23000.0,0.675,0.12977009585331203,5,0.5138691439354905,0.8361308560645095
24000.0,0.6916666666666667,0.09592387027684449,5,0.5725614503755405,0.8107718829577928
25000.0,0.65,0.0864018389721988,5,0.5427179471696216,0.7572820528303784
26000.0,0.55,0.10785149254620657,5,0.4160846845528335,0.6839153154471667
27000.0,0.5583333333333333,0.10458250331675946,5,0.42847700412288714,0.6881896625437796
28000.0,0.65,0.14006446928309674,5,0.4760869910636615,0.8239130089363386
29000.0,0.6916666666666667,0.055901699437494755,5,0.6222555390367217,0.7610777942966116
30000.0,0.6916666666666667,0.06319062870042955,5,0.6132051379854816,0.7701281953478517
31000.0,0.6583333333333333,0.09501461875826149,5,0.5403571019181438,0.7763095647485229
32000.0,0.7,0.1228990100312719,5,0.5474007238292861,0.8525992761707138
33000.0,0.7083333333333333,0.06588078458684118,5,0.6265315349384349,0.7901351317282316
34000.0,0.6416666666666667,0.06319062870042957,5,0.5632051379854817,0.7201281953478518
35000.0,0.65,0.09592387027684447,5,0.5308947837088739,0.7691052162911262
36000.0,0.6333333333333334,0.09947780321927767,5,0.5098153264555576,0.7568513402111092
37000.0,0.65,0.14312970031098057,5,0.47228100405016105,0.827718995949839
38000.0,0.5833333333333333,0.14129854131510977,5,0.407888021583654,0.7587786450830125
39000.0,0.55,0.09947780321927768,5,0.4264819931222242,0.6735180068777759
40000.0,0.5833333333333333,0.09771699499632143,5,0.4620016586337433,0.7046650080329232
41000.0,0.575,0.17027347284752128,5,0.3635775589161062,0.7864224410838937
42000.0,0.65,0.13043729868748774,5,0.4880407021967951,0.811959297803205
43000.0,0.5833333333333333,0.11785113019775788,5,0.43700182781915253,0.729664838847514
44000.0,0.6333333333333333,0.08014743359029726,5,0.533817150495834,0.7328495161708326
45000.0,0.575,0.13629522694830104,5,0.40576712357128275,0.7442328764287172
46000.0,0.7,0.12977009585331198,5,0.5388691439354906,0.8611308560645093
47000.0,0.7083333333333333,0.04166666666666668,5,0.6565973334081763,0.7600693332584902
48000.0,0.6833333333333333,0.08122328620674138,5,0.582481303034622,0.7841853636320447
49000.0,0.5833333333333333,0.12147816447594374,5,0.4324982699356782,0.7341683967309883
50000.0,0.5916666666666667,0.06846531968814579,5,0.5066557440843845,0.6766775892489488
