rep,host,t,rlReward
0,0,5000.0,0.32568737945545
0,0,6000.0,-0.58344128116979
0,0,7000.0,-0.58424686440963
0,0,8000.0,-0.62783604344268
0,0,9000.0,-0.35262268061385
0,0,10000.0,-0.20746190053649
0,0,11000.0,-0.7
0,0,12000.0,0.3
0,0,13000.0,-0.068948216122402
0,0,14000.0,0.17904927739217
0,0,15000.0,0.40785052364235
0,0,16000.0,0.37623627937635
0,0,17000.0,0.76960820383012
0,0,18000.0,-0.65067855703645
0,0,19000.0,-0.7
0,0,20000.0,-0.39282290325127
0,0,21000.0,-0.50167342713178
0,0,22000.0,0.45361306494907
0,0,23000.0,0.40421822171581
0,0,24000.0,0.80801293605342
0,0,25000.0,0.77740734091583
0,0,26000.0,0.893233351673
0,0,27000.0,0.23487540578718
0,0,28000.0,-0.41342100295261
0,0,29000.0,-0.42458881845534
0,0,30000.0,-0.11650588493997
0,0,31000.0,-0.10993449818701
0,0,32000.0,0.10429196563612
0,0,33000.0,0.25804258389861
0,0,34000.0,0.53545274000239
0,0,35000.0,0.11381840837833
0,0,36000.0,0.25410325932019
0,0,37000.0,0.25226179302833
0,0,38000.0,0.52717761825176
0,0,39000.0,0.53041696743101
0,0,40000.0,0.53198869548693
0,0,41000.0,0.5327473022264
0,0,42000.0,0.5148953854973
0,0,43000.0,0.53094852945286
0,0,44000.0,0.52871876702583
0,0,45000.0,0.52658753318743
0,0,46000.0,0.5289112922459
0,0,47000.0,0.51913715384947
0,0,48000.0,0.49317828240064
0,0,49000.0,0.52158944331379
0,0,50000.0,0.5061411173267
0,1,5000.0,0.0
0,1,6000.0,0.040851972422916
0,1,7000.0,0.3
0,1,8000.0,0.3424070147327
0,1,9000.0,0.39904157463971
0,1,10000.0,0.16234003275566
0,1,11000.0,0.11072299620593
0,1,12000.0,0.10971851154949
0,1,13000.0,0.087970806245813
0,1,14000.0,0.16428591553252
0,1,15000.0,0.16689267571425
0,1,16000.0,0.13697495770738
0,1,17000.0,0.12201426123204
0,1,18000.0,0.18712556915673
0,1,19000.0,0.1304568322717
0,1,20000.0,0.14766659439257
0,1,21000.0,0.12302119584795
0,1,22000.0,0.097165926227877
0,1,23000.0,0.35290656889691
0,1,24000.0,0.42364911424538
0,1,25000.0,0.40479644171243
0,1,26000.0,-0.60227214250219
0,1,27000.0,-0.61803622107976
0,1,28000.0,-0.60638722364282
0,1,29000.0,-0.56989541887937
0,1,30000.0,-0.51967298899529
0,1,31000.0,-0.58834634925051
0,1,32000.0,0.12940636371704
0,1,33000.0,0.11702400381818
0,1,34000.0,0.39255650456358
0,1,35000.0,0.4085428341607
0,1,36000.0,0.002544032795122
0,1,37000.0,0.0
0,1,38000.0,0.077026884167316
0,1,39000.0,0.034801866444524
0,1,40000.0,0.0
0,1,41000.0,0.20534436147991
0,1,42000.0,0.09644522716121
0,1,43000.0,0.10024322835146
0,1,44000.0,0.17640420925111
0,1,45000.0,0.12184252249032
0,1,46000.0,0.15395583106753
0,1,47000.0,0.13249060284174
0,1,48000.0,0.16191291015393
0,1,49000.0,0.15120316072218
0,1,50000.0,0.1115809807637
0,2,5000.0,0.3
0,2,6000.0,0.37141576672229
0,2,7000.0,0.84342125000701
0,2,8000.0,0.18849516248161
0,2,9000.0,0.41035209370182
0,2,10000.0,0.022591036690215
0,2,11000.0,0.44383079151182
0,2,12000.0,0.41136104226362
0,2,13000.0,0.39535830961289
0,2,14000.0,0.41384968918826
0,2,15000.0,0.13708125463279
0,2,16000.0,0.098540481306242
0,2,17000.0,0.0
0,2,18000.0,0.0
0,2,19000.0,0.0
0,2,20000.0,0.1158862905565
0,2,21000.0,0.020734278416457
0,2,22000.0,-0.56096349114145
0,2,23000.0,-0.60673083785995
0,2,24000.0,-0.49788374373937
0,2,25000.0,-0.46920756922342
0,2,26000.0,-0.57405174533224
0,2,27000.0,-0.23414150103533
0,2,28000.0,-0.3531000866278
0,2,29000.0,-0.51024238890647
0,2,30000.0,-0.23905808324424
0,2,31000.0,-0.47845919359809
0,2,32000.0,-0.13586663626788
0,2,33000.0,0.16642452849575
0,2,34000.0,0.47000845690136
0,2,35000.0,0.30305771441844
0,2,36000.0,0.19166063980851
0,2,37000.0,0.0043656548648658
0,2,38000.0,0.42518342986984
0,2,39000.0,0.45651207841636
0,2,40000.0,0.46556728535761
0,2,41000.0,0.44677543878561
0,2,42000.0,0.3
0,2,43000.0,0.47723933191988
0,2,44000.0,0.42129372610576
0,2,45000.0,-0.0033736376000471
0,2,46000.0,0.47682279280841
0,2,47000.0,0.48091577759535
0,2,48000.0,0.50599636460729
0,2,49000.0,0.5103523959048
0,2,50000.0,0.50151631986098
0,4,5000.0,0.40503901027021
0,4,6000.0,0.18112642604364
0,4,7000.0,0.12675773569869
0,4,8000.0,0.13434161489273
0,4,9000.0,0.44286276176323
0,4,10000.0,0.47697395310637
0,4,11000.0,0.17447530136639
0,4,12000.0,0.13032917131033
0,4,13000.0,0.46927692442531
0,4,14000.0,0.093740977282965
0,4,15000.0,0.20759849148293
0,4,16000.0,0.40089690731668
0,4,17000.0,0.16309786706078
0,4,18000.0,0.15513743232555
0,4,19000.0,0.18885631506211
0,4,20000.0,0.067681223416204
0,4,21000.0,0.15255292238112
0,4,22000.0,0.43841626918013
0,4,23000.0,0.41669877585903
0,4,24000.0,0.43165285749724
0,4,25000.0,-0.54303529200432
0,4,26000.0,-0.52841435003403
0,4,27000.0,-0.57711784751413
0,4,28000.0,-0.54417183293127
0,4,29000.0,-0.38783440385118
0,4,30000.0,-0.49488810468309
0,4,31000.0,-0.52075739349085
0,4,32000.0,0.30717295726145
0,4,33000.0,0.21073907790335
0,4,34000.0,0.17577291034244
0,4,35000.0,0.14407658752963
0,4,36000.0,0.17250090480442
0,4,37000.0,0.14658252590884
0,4,38000.0,0.16306288702907
0,4,39000.0,0.18051185220056
0,4,40000.0,0.17302983213941
0,4,41000.0,0.20077456048291
0,4,42000.0,0.1317020995161
0,4,43000.0,0.79398139379471
0,4,44000.0,0.1800383541982
0,4,45000.0,0.17302513473834
0,4,46000.0,0.18247630523816
0,4,47000.0,0.14424134132844
0,4,48000.0,0.15385222345469
0,4,49000.0,0.16278761933961
0,4,50000.0,0.4433668599292
0,5,5000.0,0.0
0,5,6000.0,0.11503993997062
0,5,7000.0,0.094177752613864
0,5,8000.0,0.11042503275271
0,5,9000.0,0.15881048226077
0,5,10000.0,0.080075218853113
0,5,11000.0,0.019594773347672
0,5,12000.0,0.0
0,5,13000.0,0.059332288008984
0,5,14000.0,-0.1000903030612
0,5,15000.0,0.13611683423279
0,5,16000.0,0.070205496185681
0,5,17000.0,0.04284037700299
0,5,18000.0,0.068726456322151
0,5,19000.0,0.0
0,5,20000.0,0.12580315199595
0,5,21000.0,-0.54138244148097
0,5,22000.0,0.053956664840306
0,5,23000.0,0.35580132929461
0,5,24000.0,0.16177188263194
0,5,25000.0,0.1436790079232
0,5,26000.0,0.097432508446459
0,5,27000.0,0.42669996334508
0,5,28000.0,0.44298321317135
0,5,29000.0,0.45900843667499
0,5,30000.0,-0.028468883782653
0,5,31000.0,0.45243010227975
0,5,32000.0,0.41994349549722
0,5,33000.0,-0.6484239801541
0,5,34000.0,-0.54057992596158
0,5,35000.0,-0.54478284135794
0,5,36000.0,-0.53450267192812
0,5,37000.0,-0.55597643553412
0,5,38000.0,-0.5881865917341
0,5,39000.0,-0.52473472307048
0,5,40000.0,-0.56996446619134
0,5,41000.0,-0.47280911581142
0,5,42000.0,0.13124850156059
0,5,43000.0,0.41989869585144
0,5,44000.0,0.43155559552448
0,5,45000.0,0.43330226461907
0,5,46000.0,0.43282185725181
0,5,47000.0,0.42479731252734
0,5,48000.0,0.46665384010941
0,5,49000.0,0.39590781742662
0,5,50000.0,0.33831187645223
0,6,5000.0,0.030911712885216
0,6,6000.0,-0.59766508081107
0,6,7000.0,-0.66666666666667
0,6,8000.0,-0.65629522030119
0,6,9000.0,-0.41662840586776
0,6,10000.0,-0.48855421686582
0,6,11000.0,-0.58023423740832
0,6,12000.0,0.1697494398431
0,6,13000.0,0.046096089504555
0,6,14000.0,-0.11575420696247
0,6,15000.0,0.1877397853347
0,6,16000.0,0.36270482058826
0,6,17000.0,-0.6
0,6,18000.0,-0.46588618860948
0,6,19000.0,-0.59907790085419
0,6,20000.0,-0.55149334858444
0,6,21000.0,0.01470823918355
0,6,22000.0,0.3
0,6,23000.0,-0.2
0,6,24000.0,0.24733128600978
0,6,25000.0,0.35900589948379
0,6,26000.0,0.35019850691195
0,6,27000.0,0.30844674544771
0,6,28000.0,0.34882274428084
0,6,29000.0,0.37098159670243
0,6,30000.0,-0.7
0,6,31000.0,-0.62689094290359
0,6,32000.0,0.34827514998618
0,6,33000.0,0.3
0,6,34000.0,0.43579142529764
0,6,35000.0,0.39242997859865
0,6,36000.0,0.40752511419576
0,6,37000.0,0.3
0,6,38000.0,0.38548664744245
0,6,39000.0,0.31688606607249
0,6,40000.0,0.3
0,6,41000.0,0.4633694585382
0,6,42000.0,0.36760026609643
0,6,43000.0,0.32740128229902
0,6,44000.0,0.40309228883134
0,6,45000.0,0.38845944628235
0,6,46000.0,0.40253299622934
0,6,47000.0,0.82140761815582
0,6,48000.0,0.44179428142513
0,6,49000.0,0.44581615234575
0,6,50000.0,0.44825456904674
0,7,5000.0,0.013778420681495
0,7,6000.0,0.087538296057176
0,7,7000.0,0.071498831645721
0,7,8000.0,0.030089388375739
0,7,9000.0,0.098922146804655
0,7,10000.0,0.13103223174208
0,7,11000.0,0.0
0,7,12000.0,0.090173910142587
0,7,13000.0,0.097722007778152
0,7,14000.0,0.092903903368224
0,7,15000.0,0.1359868809465
0,7,16000.0,0.12390515137926
0,7,17000.0,0.01360447722261
0,7,18000.0,0.0
0,7,19000.0,0.3499177384432
0,7,20000.0,0.3
0,7,21000.0,0.42697135973595
0,7,22000.0,0.42545637788661
0,7,23000.0,0.35977494813435
0,7,24000.0,0.39967074445001
0,7,25000.0,0.33339556367064
0,7,26000.0,0.45618130772411
0,7,27000.0,0.3464847301958
0,7,28000.0,0.43349460893414
0,7,29000.0,0.45938377817953
0,7,30000.0,0.36594486575179
0,7,31000.0,0.4278908908424
0,7,32000.0,0.39473102572333
0,7,33000.0,-0.7
0,7,34000.0,-0.51754889865958
0,7,35000.0,-0.62100801322222
0,7,36000.0,-0.17535995736351
0,7,37000.0,-0.56217931522108
0,7,38000.0,-0.5440115156135
0,7,39000.0,-0.5518924511537
0,7,40000.0,-0.58442473195364
0,7,41000.0,-0.53864984553607
0,7,42000.0,0.39340133526211
0,7,43000.0,0.3983317713058
0,7,44000.0,0.42811593696068
0,7,45000.0,0.34758303656821
0,7,46000.0,0.40270256551022
0,7,47000.0,0.41235138467366
0,7,48000.0,0.36106322063285
0,7,49000.0,0.37724220019188
0,7,50000.0,0.38651145170584
0,8,5000.0,0.0
0,8,6000.0,0.02331315042242
0,8,7000.0,0.0
0,8,8000.0,0.0
0,8,9000.0,0.059812466621052
0,8,10000.0,0.16560188877997
0,8,11000.0,-0.095285504548679
0,8,12000.0,0.0
0,8,13000.0,0.15153237876234
0,8,14000.0,0.13824306993259
0,8,15000.0,0.071368049717868
0,8,16000.0,0.11929473194948
0,8,17000.0,0.12527078149514
0,8,18000.0,0.11604963574957
0,8,19000.0,0.16909383576935
0,8,20000.0,0.13791037661963
0,8,21000.0,0.36892671512149
0,8,22000.0,0.36996331232042
0,8,23000.0,0.37191182849319
0,8,24000.0,0.43942217435708
0,8,25000.0,0.41673615792773
0,8,26000.0,0.4206417106725
0,8,27000.0,0.37632634499679
0,8,28000.0,0.38105205649578
0,8,29000.0,0.45370950314826
0,8,30000.0,0.36575451107996
0,8,31000.0,0.46290370955282
0,8,32000.0,0.44133762247733
0,8,33000.0,0.41123284543988
0,8,34000.0,0.47700248185351
0,8,35000.0,0.480455998355
0,8,36000.0,0.46300681523976
0,8,37000.0,0.41541880281239
0,8,38000.0,0.46324531812053
0,8,39000.0,0.45312762054001
0,8,40000.0,0.43795352551567
0,8,41000.0,0.45535143428797
0,8,42000.0,0.77706622295242
0,8,43000.0,0.13091938745986
0,8,44000.0,0.1023011414618
0,8,45000.0,0.11974487350062
0,8,46000.0,0.15267388232444
0,8,47000.0,0.16691550145731
0,8,48000.0,0.42727727868518
0,8,49000.0,0.46555533288803
0,8,50000.0,0.4526173241612
0,9,5000.0,0.042132737537856
0,9,6000.0,0.083972626423195
0,9,7000.0,0.0
0,9,8000.0,0.058251451336702
0,9,9000.0,0.11097660882584
0,9,10000.0,0.10590498507061
0,9,11000.0,0.091756146300687
0,9,12000.0,0.34223654813224
0,9,13000.0,0.34069096738636
0,9,14000.0,0.26316712387509
0,9,15000.0,0.43954503208758
0,9,16000.0,0.38810522154392
0,9,17000.0,0.047828513882879
0,9,18000.0,0.34470246576006
0,9,19000.0,0.3848347665171
0,9,20000.0,0.39279048761866
0,9,21000.0,0.34693216117375
0,9,22000.0,0.3
0,9,23000.0,0.33688968814471
0,9,24000.0,0.55665102821414
0,9,25000.0,0.38988487662308
0,9,26000.0,0.34225618101848
0,9,27000.0,0.3
0,9,28000.0,0.34248373255729
0,9,29000.0,0.36197469413016
0,9,30000.0,0.3
0,9,31000.0,0.37059519575494
0,9,32000.0,0.3
0,9,33000.0,0.3
0,9,34000.0,0.45275850773764
0,9,35000.0,0.45504478622818
0,9,36000.0,0.32169527286754
0,9,37000.0,0.24980802067515
0,9,38000.0,0.39804655348008
0,9,39000.0,0.3963609821678
0,9,40000.0,0.40428349680054
0,9,41000.0,0.45064422244357
0,9,42000.0,0.3913548168101
0,9,43000.0,0.38854659474513
0,9,44000.0,0.37986343304399
0,9,45000.0,0.38908975372869
0,9,46000.0,0.40714255391211
0,9,47000.0,0.37684954667533
0,9,48000.0,0.38463857695513
0,9,49000.0,0.43399385159119
0,9,50000.0,-0.023109255712571
0,10,5000.0,-0.66067622578045
0,10,6000.0,-0.63333471263954
0,10,7000.0,-0.5246842974675
0,10,8000.0,-0.52848069161821
0,10,9000.0,-0.57174999726586
0,10,10000.0,-0.28797332980647
0,10,11000.0,-0.50393082763218
0,10,12000.0,0.075098793528346
0,10,13000.0,0.1
0,10,14000.0,0.035123178997148
0,10,15000.0,0.19452473943639
0,10,16000.0,-0.14961470260004
0,10,17000.0,0.7440708074783
0,10,18000.0,0.10396536362323
0,10,19000.0,0.35034876191273
0,10,20000.0,0.39126544294543
0,10,21000.0,0.35866984455265
0,10,22000.0,0.33656184738561
0,10,23000.0,0.3
0,10,24000.0,0.42431887746974
0,10,25000.0,0.41121551257113
0,10,26000.0,0.40632591945951
0,10,27000.0,0.37922930586226
0,10,28000.0,0.7805710230115
0,10,29000.0,0.41670014817402
0,10,30000.0,-0.62028034959448
0,10,31000.0,-0.6217272618196
0,10,32000.0,0.81641758563603
0,10,33000.0,0.4490524635963
0,10,34000.0,0.45607600451718
0,10,35000.0,0.45607600451718
0,10,36000.0,0.44469902914126
0,10,37000.0,0.4517225700621
0,10,38000.0,0.45607600451718
0,10,39000.0,0.45607600451718
0,10,40000.0,0.45607600451716
