t,mean,sd_across_runs,n_runs_used,ci95_low,ci95_high
5000.0,383.28163880203607,0.2958163212178316,5,15.977162664773614,750.5861149392985
6000.0,277.7266338170117,0.18960520287117705,5,42.30067953974972,513.1525880942737
7000.0,274.2190015812006,0.19387507064399884,5,33.49130621333532,514.9466969490659
8000.0,100.91117204721498,0.16661911168421056,5,0.0,307.7961244381918
9000.0,93.73203244683921,0.1528596648027085,5,0.0,283.5323750098578
10000.0,75.80880540676667,0.11362873550391922,5,0.0,216.89751544340123
11000.0,290.5079865798301,0.5675126048957253,5,0.0,995.1679566056908
12000.0,377.2292028111492,0.5519903512734429,5,0.0,1062.6157493432338
13000.0,458.57773729086335,0.642331141806797,5,0.0,1256.1371909974812
14000.0,276.82032652627566,0.34765718157061204,5,0.0,708.4937325994946
15000.0,144.19474286585216,0.2709813593731062,5,0.0,480.66254098375487
16000.0,174.39775652970667,0.34037843202822576,5,0.0,597.0334013442025
17000.0,318.31378961707463,0.6718519423994355,5,0.0,1152.5281586177243
18000.0,271.5580725101091,0.5382507817559479,5,0.0,939.8846902215022
19000.0,203.46589838325428,0.3883340462089438,5,0.0,685.6463028376977
20000.0,35.97686327389048,0.019312665014420603,5,11.997022416114989,59.95670413166597
21000.0,26.367432730010556,0.016205598650077577,5,6.2455243168696715,46.489341143151435
22000.0,22.84509064005389,0.00898786856725175,5,11.685177819510125,34.005003460597656
23000.0,553.9197033762591,1.1836027028899263,5,0.0,2023.5565677313496
24000.0,686.9160489074305,1.3282180986387893,5,0.0,2336.1166437498746
25000.0,805.0969664869167,1.5472243797760648,5,0.0,2726.229775998008
26000.0,102.62158941900526,0.19278413588195667,5,0.0,341.9947103684538
27000.0,19.456859393170795,0.004898621218497279,5,13.374417785325656,25.539301001015932
28000.0,22.685878155327618,0.00874728146072974,5,11.824693683384247,33.54706262727099
29000.0,22.010541292565605,0.005012359249337922,5,15.78687526659905,28.23420731853216
30000.0,30.613707794050647,0.006441141171398323,5,22.615974694177318,38.611440893923984
31000.0,31.69561940920889,0.019181716965804684,5,7.8783720290348285,55.512866789382954
32000.0,234.73329540019168,0.4647508377982472,5,0.0,811.7976788293136
33000.0,291.18576694977907,0.5928480952902766,5,0.0,1027.3039032753913
34000.0,285.96340590963024,0.4396596529359407,5,0.0,831.8729684229506
35000.0,80.95271903766617,0.12477906101251503,5,0.0,235.8863868265773
36000.0,88.91506867351222,0.14804911625758876,5,0.0,272.7423262964441
37000.0,24.064655826843335,0.006183119834520369,5,16.387298531739763,31.74201312194691
38000.0,32.87090101485334,0.019613732475977575,5,8.517235529031959,57.22456650067471
39000.0,29.617606350908332,0.01455078043874635,5,11.550426134349381,47.684786567467285
40000.0,27.09336391870714,0.017064256157627886,5,5.905291391653657,48.28143644576062
41000.0,114.35000936947048,0.20719135299959968,5,0.0,371.61205312820135
42000.0,179.8039483025133,0.2860186971800354,5,0.0,534.9430674041084
43000.0,126.06299886225952,0.20863397178321513,5,0.0,385.1162904277382
44000.0,520.6424183159306,1.0849026930627734,5,0.0,1867.7270338462874
45000.0,429.18344333681,0.911060531455769,5,0.0,1560.4145054298285
46000.0,508.8548155873542,1.0896686474461792,5,0.0,1861.8571450926675
47000.0,124.24105690102857,0.21455399751769597,5,0.0,390.64503128945194
48000.0,108.9796166168607,0.18809863451810238,5,0.0,342.5349192092767
49000.0,308.67681276691667,0.4326073328748064,5,0.0,845.8297633565164
50000.0,259.2874951870784,0.337370998039359,5,0.0,678.1889174906239
