t,mean,sd_across_runs,n_runs_used,ci95_low,ci95_high
1000.0,0.0,0.0,5,0.0,0.0
2000.0,0.20833333333333334,0.06588078458684124,5,0.126531534938435,0.2901351317282317
3000.0,0.20833333333333334,0.06588078458684124,5,0.126531534938435,0.2901351317282317
4000.0,0.20833333333333334,0.06588078458684124,5,0.126531534938435,0.2901351317282317
5000.0,0.19166666666666668,0.06972166887783963,5,0.10509578052636921,0.27823755280696416
6000.0,0.25833333333333336,0.07453559924999298,5,0.1657851631600734,0.3508815035065933
7000.0,0.275,0.07569125885243727,5,0.18101688890420653,0.3689831110957935
8000.0,0.175,0.034860834438919824,5,0.13171455692985123,0.21828544307014874
9000.0,0.20833333333333334,0.10622957319984967,5,0.07643189674652834,0.34023476992013835
10000.0,0.2916666666666667,0.07795119555779045,5,0.1948774735256169,0.38845585980771646
11000.0,0.3,0.0348608344389198,5,0.2567145569298513,0.3432854430701487
12000.0,0.225,0.06972166887783963,5,0.13842911385970252,0.3115708861402975
13000.0,0.225,0.06972166887783963,5,0.13842911385970252,0.3115708861402975
14000.0,0.2,0.12977009585331198,5,0.03886914393549065,0.36113085606450934
15000.0,0.2,0.08539125638299666,5,0.09397275118784548,0.30602724881215454
16000.0,0.16666666666666666,0.06588078458684123,5,0.08486486827176831,0.248468465061565
17000.0,0.2,0.11562030771259672,5,0.056438426452027374,0.3435615735479727
18000.0,0.2,0.13629522694830104,5,0.030767123571282806,0.3692328764287172
19000.0,0.18333333333333332,0.12360330811826105,5,0.02985955558400122,0.3368071110826654
20000.0,0.13333333333333333,0.06846531968814576,5,0.04832241075105122,0.21834425591561546
21000.0,0.175,0.034860834438919824,5,0.13171455692985123,0.21828544307014874
22000.0,0.19166666666666665,0.08122328620674138,5,0.09081463636795532,0.29251869696537797
23000.0,0.2333333333333333,0.10865337342004416,5,0.09842235127427443,0.3682443153923922
24000.0,0.2,0.11180339887498951,5,0.061177744740110035,0.33882225525988996
25000.0,0.225,0.12004050242406612,5,0.07595002981374513,0.37404997018625485
26000.0,0.175,0.09033118078616166,5,0.06283902490258725,0.28716097509741273
27000.0,0.225,0.09592387027684447,5,0.10589478370887385,0.34410521629112617
28000.0,0.19166666666666668,0.06319062870042959,5,0.1132051379854816,0.27012819534785176
29000.0,0.20833333333333331,0.11785113019775792,5,0.06200182781915256,0.3546648388475141
30000.0,0.15833333333333333,0.11562030771259672,5,0.014771759785360689,0.30189490688130594
31000.0,0.14166666666666666,0.05590169943749475,5,0.07225553903672169,0.21107779429661164
32000.0,0.14166666666666666,0.08640183897219884,5,0.03438461383628824,0.24894871949704508
33000.0,0.18333333333333335,0.0372677996249965,5,0.13705924824670335,0.22960741841996335
34000.0,0.2,0.08014743359029729,5,0.10048381716250063,0.29951618283749937
35000.0,0.19166666666666668,0.0631906287004296,5,0.11320513798548158,0.27012819534785176
36000.0,0.16666666666666669,0.09771699499632146,5,0.04533499196707673,0.2879983413662566
37000.0,0.16666666666666669,0.051031036307982884,5,0.10330326609201508,0.2300300672413183
38000.0,0.14166666666666666,0.06319062870042959,5,0.06320513798548158,0.22012819534785175
39000.0,0.14166666666666666,0.1003466214899358,5,0.01706987942123299,0.2662634539121003
40000.0,0.15833333333333333,0.03486083443891982,5,0.1150478902631846,0.20161877640348205
41000.0,0.15,0.02282177322938192,5,0.12166302580590596,0.17833697419409403
42000.0,0.14166666666666666,0.0756912588524373,5,0.04768355557087313,0.2356497777624602
43000.0,0.125,0.07216878364870322,5,0.03539061954924856,0.21460938045075145
44000.0,0.15,0.0372677996249965,5,0.10372591491337001,0.19627408508662997
45000.0,0.11666666666666665,0.018633899812498248,5,0.09352962412335167,0.13980370920998164
46000.0,0.075,0.054326686710022075,5,0.00754450897047057,0.14245549102952942
47000.0,0.08333333333333333,0.02946278254943948,5,0.04675045695478814,0.11991620971187852
48000.0,0.09166666666666666,0.05432668671002207,5,0.024211175637137233,0.1591221576961961
49000.0,0.11666666666666665,0.04564354645876384,5,0.05999271827847858,0.17334061505485474
50000.0,0.10833333333333332,0.047507309379130745,5,0.049345217625738555,0.1673214490409281
