run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-3-20251226-15:19:05-107425,config,,,*.host[*].wlan[0].mac.typename,CsmaCaMac,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].wlan[0].mac.ackTimeout,300us,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].wlan[0].mac.useAck,true,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].wlan[0].mac.fullDuplex,false,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].wlan[0].mac.headerLength,23B,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].mobility.typename,RandomWaypointMobility,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].mobility.speed,10mps,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].mobility.waitTime,100ms,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].wlan[0].queue.typename,DropTailQueue,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].wlan[0].queue.packetCapacity,10,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].hasStatus,true,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].wlan[0].radio.energyConsumer.typename,StateBasedEpEnergyConsumer,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].wlan[0].radio.energyConsumer.offPowerConsumption,0mW,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].wlan[0].radio.energyConsumer.sleepPowerConsumption,1mW,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].wlan[0].radio.energyConsumer.switchingPowerConsumption,1mW,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverIdlePowerConsumption,2mW,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverBusyPowerConsumption,5mW,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverReceivingPowerConsumption,10mW,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].wlan[0].radio.energyConsumer.transmitterIdlePowerConsumption,2mW,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].wlan[0].radio.energyConsumer.transmitterTransmittingPowerConsumption,100mW,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].energyStorage.typename,SimpleEpEnergyStorage,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].energyStorage.nominalCapacity,2J,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].energyStorage.initialCapacity,2J,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].energyManagement.typename,SimpleEpEnergyManagement,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].energyManagement.nodeStartCapacity,0.0001J,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].energyManagement.nodeShutdownCapacity,0.0001J,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].**.bitrate,1Mbps,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].forwarding,true,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].mobility.constraintAreaMinX,0m,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].mobility.constraintAreaMinY,0m,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].mobility.constraintAreaMinZ,0m,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].mobility.constraintAreaMaxX,1250m,,
