rep,t,mean_delay_sec,n_hosts_used
0,5000.0,0.005263301632500001,12
0,6000.0,0.005441593406318182,22
0,7000.0,0.005441593406318182,22
0,8000.0,0.0053929265785,12
0,9000.0,0.004687171749142857,14
0,10000.0,0.0047313486272272725,22
0,11000.0,0.004656237718181818,22
0,12000.0,0.0080481061424,15
0,13000.0,0.00836114079376923,13
0,14000.0,0.007126009955611111,18
0,15000.0,0.0037858489600555555,18
0,16000.0,0.0035500353281333334,15
0,17000.0,0.004056052304928571,14
0,18000.0,0.004223232815263159,19
0,19000.0,0.00404366676475,20
0,20000.0,0.003929731527588236,17
0,21000.0,0.004163138915384616,13
0,22000.0,0.4786196361179474,19
0,23000.0,0.43324532513371433,21
0,24000.0,0.4783981648946316,19
0,25000.0,0.004211246776692308,13
0,26000.0,0.004057002215357143,14
0,27000.0,0.0036161284137222224,18
0,28000.0,0.0038132502519411765,17
0,29000.0,0.003629512299,17
0,30000.0,0.0038310823029375,16
0,31000.0,0.0034250939858,20
0,32000.0,0.0039471780937058824,17
0,33000.0,0.0037320654636875,16
0,34000.0,0.003950754938692308,13
0,35000.0,0.0034972342061666667,18
0,36000.0,0.0037380216036470588,17
0,37000.0,0.003789012549631579,19
0,38000.0,0.0035732444466,15
0,39000.0,0.0034858640270588235,17
0,40000.0,0.003298017928,14
0,41000.0,0.004286373717125,16
0,42000.0,0.004512912642333333,12
0,43000.0,0.004320892627647059,17
0,44000.0,0.004487833278117647,17
0,45000.0,0.004657298537052631,19
0,46000.0,0.00489991451025,16
0,47000.0,0.0039956791096875,16
0,48000.0,0.0037309336867857143,14
0,49000.0,0.004201510889533333,15
0,50000.0,0.004254143181857143,14
1,5000.0,0.009745969875,12
1,6000.0,0.00808098647555,20
1,7000.0,0.007675050084652174,23
1,8000.0,0.005166517780769231,13
1,9000.0,0.006557335050714285,14
1,10000.0,0.00639068603605,20
1,11000.0,0.0064804602343333335,21
1,12000.0,0.005377285122733333,15
1,13000.0,0.004330298521857143,14
1,14000.0,0.005842775656411765,17
1,15000.0,0.0060716152386,20
1,16000.0,0.0066291345058125,16
1,17000.0,0.0051369490132,15
1,18000.0,0.004441735953157895,19
1,19000.0,0.004658841246555555,18
1,20000.0,0.004368945945176471,17
1,21000.0,0.004458641856666667,12
1,22000.0,0.0041762543141428575,14
1,23000.0,0.004194064833789473,19
1,24000.0,0.003886718345,18
1,25000.0,0.004100705760941176,17
1,26000.0,0.004031776124882353,17
1,27000.0,0.004050220999684211,19
1,28000.0,0.003983079138736842,19
1,29000.0,0.004713657355055555,18
1,30000.0,0.0049320429778823525,17
1,31000.0,0.004827327730999999,18
1,32000.0,0.004362253798705883,17
1,33000.0,0.004511259555736842,19
1,34000.0,0.0041901518738,20
1,35000.0,0.003890923299647059,17
1,36000.0,0.004552517833666666,18
1,37000.0,0.00448452988815,20
1,38000.0,0.0048395262776111106,18
1,39000.0,0.0037580721505263157,19
1,40000.0,0.0041337509164,20
1,41000.0,0.0037643433464761905,21
1,42000.0,0.0035716188610625,16
1,43000.0,0.0033944156030833333,12
1,44000.0,0.003950634671888889,18
1,45000.0,0.0041904000843125,16
1,46000.0,0.0075935091858421065,19
1,47000.0,0.00916663702576923,13
1,48000.0,0.007724086156095237,21
1,49000.0,0.004342517548333333,18
1,50000.0,0.004585810947950001,20
2,5000.0,0.282014002259,11
2,6000.0,0.1572765218942,20
2,7000.0,0.13192431387920833,24
2,8000.0,0.0045228653420625,16
2,9000.0,0.005555089653124999,16
2,10000.0,0.007600586745,18
2,11000.0,0.007639047782,19
2,12000.0,0.007318951908214286,14
2,13000.0,0.00438928155217647,17
2,14000.0,0.0074220307894,20
2,15000.0,0.007715798691833333,18
2,16000.0,0.007624160661562501,16
2,17000.0,0.004361152090470589,17
2,18000.0,0.004450995425,22
2,19000.0,0.004945202409705883,17
2,20000.0,0.004471895827588235,17
2,21000.0,0.005103794416705882,17
2,22000.0,0.0047328696089,20
2,23000.0,0.0047708854746875,16
2,24000.0,0.003967681742,15
2,25000.0,0.0043843984302857145,21
2,26000.0,0.004526219504210526,19
2,27000.0,0.004719955591625,16
2,28000.0,0.004712117812,11
2,29000.0,0.003965650596190477,21
2,30000.0,0.004731734605952381,21
2,31000.0,0.004798388972777778,18
2,32000.0,0.0060470996421,10
2,33000.0,0.0040930560969999995,18
2,34000.0,0.004345643454363637,22
2,35000.0,0.0044047135669,20
2,36000.0,0.004304643471538461,13
2,37000.0,0.003788788531,13
2,38000.0,0.0039836402478,20
2,39000.0,0.004125214560411765,17
2,40000.0,0.0040483936169375,16
2,41000.0,0.004291071206785714,14
2,42000.0,0.16191014775594734,19
2,43000.0,0.18045900489535294,17
2,44000.0,0.20380602326333333,15
2,45000.0,0.004145301674466666,15
2,46000.0,0.0037254627698421056,19
2,47000.0,0.003427591852235294,17
2,48000.0,0.003179535035625,16
2,49000.0,0.0032660569502857145,14
2,50000.0,0.003443803193157895,19
3,5000.0,0.382216302698375,8
3,6000.0,0.15580540700235002,20
3,7000.0,0.1364246015702174,23
3,8000.0,0.00556751973625,16
3,9000.0,0.006058040893583333,12
3,10000.0,0.005760400900476191,21
3,11000.0,0.005417963305782609,23
3,12000.0,0.0053398206340625,16
3,13000.0,0.004866758313384615,13
3,14000.0,0.0045209159379473686,19
3,15000.0,0.00499191781755,20
3,16000.0,0.00936344859792857,14
3,17000.0,0.008918505059933333,15
3,18000.0,0.008013804838578947,19
3,19000.0,0.004489314612857143,21
3,20000.0,0.004636779007052632,19
3,21000.0,0.00387454936875,16
3,22000.0,0.0040103059129444445,18
3,23000.0,0.004442856986466666,15
