t,mean,sd_across_runs,n_runs_used,ci95_low,ci95_high
1000.0,0.0,0.0,5,0.0,0.0
2000.0,0.9416666666666667,0.022821773229381965,5,0.9133296924725726,0.9700036408607607
3000.0,0.9416666666666667,0.022821773229381965,5,0.9133296924725726,0.9700036408607607
4000.0,0.9416666666666667,0.022821773229381965,5,0.9133296924725726,0.9700036408607607
5000.0,0.475,0.0912870929175277,5,0.3616521032236238,0.5883478967763762
6000.0,0.8583333333333334,0.03726779962499647,5,0.8120592482467035,0.9046074184199633
7000.0,0.9583333333333334,0.029462782549439483,5,0.9217504569547882,0.9949162097118786
8000.0,0.575,0.08539125638299665,5,0.4689727511878454,0.6810272488121545
9000.0,0.5916666666666667,0.06180165405913051,5,0.5149297777920007,0.6684035555413327
10000.0,0.8416666666666666,0.06180165405913052,5,0.7649297777920006,0.9184035555413326
11000.0,0.8666666666666666,0.07453559924999299,5,0.7741184964934066,0.9592148368399266
12000.0,0.625,0.029462782549439452,5,0.5884171236214548,0.6615828763785452
13000.0,0.5833333333333333,0.07216878364870326,5,0.49372395288258175,0.6729427137840848
14000.0,0.7666666666666667,0.04750730937913073,5,0.707678550959072,0.8256547823742615
15000.0,0.8,0.04564354645876384,5,0.743326051611812,0.8566739483881881
16000.0,0.6583333333333333,0.06180165405913051,5,0.5815964444586673,0.7350702222079993
17000.0,0.65,0.05590169943749473,5,0.5805888723700551,0.719411127629945
18000.0,0.8083333333333332,0.06319062870042959,5,0.7298718046521482,0.8867948620145183
19000.0,0.8,0.06846531968814576,5,0.7149890774177179,0.8850109225822822
20000.0,0.7416666666666667,0.04564354645876378,5,0.6849927182784787,0.7983406150548547
21000.0,0.6166666666666666,0.09033118078616172,5,0.5045056915692537,0.7288276417640794
22000.0,0.7333333333333334,0.09592387027684446,5,0.6142281170422073,0.8524385496244595
23000.0,0.7416666666666666,0.09947780321927763,5,0.6181486597888908,0.8651846735444424
24000.0,0.725,0.06319062870042956,5,0.6465384713188149,0.803461528681185
25000.0,0.7333333333333333,0.12360330811826103,5,0.5798595555840012,0.8868071110826654
26000.0,0.7333333333333334,0.09592387027684451,5,0.6142281170422073,0.8524385496244595
27000.0,0.7583333333333333,0.054326686710022054,5,0.6908778423038039,0.8257888243628627
28000.0,0.6666666666666666,0.13176156917368248,5,0.5030630698768699,0.8302702634564634
29000.0,0.7333333333333334,0.09128709291752769,5,0.6199854365569573,0.8466812301097095
30000.0,0.75,0.08333333333333333,5,0.6465280001496861,0.8534719998503139
31000.0,0.7333333333333334,0.0912870929175277,5,0.6199854365569573,0.8466812301097095
32000.0,0.675,0.1542229626943479,5,0.4835068995261057,0.8664931004738944
33000.0,0.725,0.04750730937913073,5,0.6660118842924052,0.7839881157075947
34000.0,0.75,0.14129854131510977,5,0.5745546882503207,0.9254453117496793
35000.0,0.7166666666666667,0.09033118078616166,5,0.6045056915692539,0.8288276417640794
36000.0,0.7,0.09501461875826152,5,0.5820237685848104,0.8179762314151895
37000.0,0.7583333333333333,0.129770095853312,5,0.5972024772688239,0.9194641893978427
38000.0,0.7583333333333333,0.08014743359029726,5,0.658817150495834,0.8578495161708326
39000.0,0.6916666666666667,0.09128709291752769,5,0.5783187698902905,0.8050145634430428
40000.0,0.7166666666666667,0.09947780321927768,5,0.5931486597888909,0.8401846735444425
41000.0,0.7083333333333333,0.1102396379610246,5,0.5714527437021117,0.8452139229645548
42000.0,0.6833333333333333,0.11257713405088583,5,0.543550358961389,0.8231163077052777
43000.0,0.6166666666666667,0.10785149254620656,5,0.4827513512195002,0.7505819821138332
44000.0,0.725,0.06319062870042959,5,0.6465384713188149,0.803461528681185
45000.0,0.725,0.10458250331675945,5,0.5951436707895538,0.8548563292104462
46000.0,0.7416666666666666,0.11562030771259671,5,0.598105093118694,0.8852282402146392
47000.0,0.6083333333333333,0.08640183897219884,5,0.5010512805029549,0.7156153861637117
48000.0,0.7,0.11562030771259671,5,0.5564384264520273,0.8435615735479726
49000.0,0.725,0.12004050242406608,5,0.5759500298137452,0.8740499701862547
50000.0,0.7583333333333334,0.1156203077125967,5,0.6147717597853608,0.901894906881306
