rep,t,mean_globalNumCH,n_hosts_used
0,1000.0,23.0,99
0,2000.0,43.0,99
0,3000.0,55.0,99
0,4000.0,55.0,99
0,5000.0,55.0,99
0,6000.0,54.0,99
0,7000.0,56.0,99
0,8000.0,56.0,99
0,9000.0,55.0,99
0,10000.0,54.0,99
0,11000.0,56.0,99
0,12000.0,59.0,99
0,13000.0,60.0,99
0,14000.0,61.0,99
0,15000.0,60.0,99
0,16000.0,60.0,99
0,17000.0,62.0,99
0,18000.0,63.0,99
0,19000.0,65.0,99
0,20000.0,65.0,99
0,21000.0,67.0,99
0,22000.0,68.0,99
0,23000.0,69.0,99
0,24000.0,69.0,99
0,25000.0,70.0,99
0,26000.0,70.0,99
0,27000.0,70.0,99
0,28000.0,71.0,99
0,29000.0,71.0,99
0,30000.0,71.0,99
0,31000.0,74.0,99
0,32000.0,74.0,99
0,33000.0,74.0,99
0,34000.0,73.0,99
0,35000.0,73.0,99
0,36000.0,73.0,99
0,37000.0,72.0,99
0,38000.0,72.0,99
0,39000.0,72.0,99
0,40000.0,71.0,99
0,41000.0,71.0,99
0,42000.0,70.0,99
0,43000.0,70.0,99
0,44000.0,71.0,99
0,45000.0,71.0,99
0,46000.0,72.0,99
0,47000.0,72.0,99
0,48000.0,72.0,99
0,49000.0,71.0,99
0,50000.0,70.0,99
1,1000.0,31.0,99
1,2000.0,41.0,99
1,3000.0,55.0,99
1,4000.0,56.0,99
1,5000.0,53.0,99
1,6000.0,53.0,99
1,7000.0,51.0,99
1,8000.0,50.0,99
1,9000.0,51.0,99
1,10000.0,52.0,99
1,11000.0,52.0,99
1,12000.0,55.0,99
1,13000.0,58.0,99
1,14000.0,59.0,99
1,15000.0,58.0,99
1,16000.0,60.0,99
1,17000.0,61.0,99
1,18000.0,63.0,99
1,19000.0,65.0,99
1,20000.0,66.0,99
1,21000.0,67.0,99
1,22000.0,67.0,99
1,23000.0,69.0,99
1,24000.0,69.0,99
1,25000.0,68.0,99
1,26000.0,69.0,99
1,27000.0,70.0,99
1,28000.0,71.0,99
1,29000.0,72.0,99
1,30000.0,72.0,99
1,31000.0,73.0,99
1,32000.0,74.0,99
1,33000.0,74.0,99
1,34000.0,74.0,99
1,35000.0,74.0,99
1,36000.0,75.0,99
1,37000.0,75.0,99
1,38000.0,74.0,99
1,39000.0,75.0,99
1,40000.0,75.0,99
1,41000.0,76.0,99
1,42000.0,75.0,99
1,43000.0,74.0,99
1,44000.0,73.0,99
1,45000.0,75.0,99
1,46000.0,73.0,99
1,47000.0,73.0,99
1,48000.0,74.0,99
1,49000.0,73.0,99
1,50000.0,72.0,99
2,1000.0,38.0,99
