rep,host,t,TotalClusterMsgSent
0,0,1000.0,15.0
0,0,2000.0,30.0
0,0,3000.0,66.0
0,0,4000.0,84.0
0,0,5000.0,103.0
0,0,6000.0,141.0
0,0,7000.0,162.0
0,0,8000.0,184.0
0,0,9000.0,229.0
0,0,10000.0,252.0
0,0,11000.0,275.0
0,0,12000.0,323.0
0,0,13000.0,373.0
0,0,14000.0,423.0
0,0,15000.0,473.0
0,0,16000.0,524.0
0,0,17000.0,550.0
0,0,18000.0,604.0
0,0,19000.0,662.0
0,0,20000.0,725.0
0,0,21000.0,791.0
0,0,22000.0,825.0
0,0,23000.0,861.0
0,0,24000.0,933.0
0,0,25000.0,1012.0
0,0,26000.0,1094.0
0,0,27000.0,1174.0
0,0,28000.0,1258.0
0,0,29000.0,1342.0
0,0,30000.0,1425.0
0,0,31000.0,1510.0
0,0,32000.0,1599.0
0,0,33000.0,1689.0
0,0,34000.0,1735.0
0,0,35000.0,1782.0
0,0,36000.0,1876.0
0,0,37000.0,1974.0
0,0,38000.0,2074.0
0,0,39000.0,2174.0
0,0,40000.0,2276.0
0,0,41000.0,2378.0
0,0,42000.0,2482.0
0,0,43000.0,2584.0
0,0,44000.0,2686.0
0,0,45000.0,2788.0
0,0,46000.0,2894.0
0,0,47000.0,3006.0
0,0,48000.0,3118.0
0,0,49000.0,3173.0
0,0,50000.0,3284.0
0,1,1000.0,14.0
0,1,2000.0,42.0
0,1,3000.0,56.0
0,1,4000.0,70.0
0,1,5000.0,98.0
0,1,6000.0,113.0
0,1,7000.0,128.0
0,1,8000.0,158.0
0,1,9000.0,175.0
0,1,10000.0,190.0
0,1,11000.0,220.0
0,1,12000.0,251.0
0,1,13000.0,283.0
0,1,14000.0,315.0
0,1,15000.0,345.0
0,1,16000.0,361.0
0,1,17000.0,393.0
0,1,18000.0,410.0
0,1,19000.0,428.0
0,1,20000.0,464.0
0,1,21000.0,482.0
0,1,22000.0,500.0
0,1,23000.0,538.0
0,1,24000.0,576.0
0,1,25000.0,614.0
0,1,26000.0,651.0
0,1,27000.0,691.0
0,1,28000.0,729.0
0,1,29000.0,767.0
0,1,30000.0,803.0
0,1,31000.0,839.0
0,1,32000.0,873.0
0,1,33000.0,909.0
0,1,34000.0,945.0
0,1,35000.0,983.0
0,1,36000.0,1022.0
0,1,37000.0,1062.0
0,1,38000.0,1103.0
0,1,39000.0,1146.0
0,1,40000.0,1192.0
0,1,41000.0,1238.0
0,1,42000.0,1284.0
0,1,43000.0,1330.0
0,1,44000.0,1376.0
0,1,45000.0,1424.0
0,1,46000.0,1472.0
0,1,47000.0,1520.0
0,1,48000.0,1568.0
0,1,49000.0,1616.0
0,1,50000.0,1665.0
0,2,1000.0,22.0
0,2,2000.0,44.0
0,2,3000.0,90.0
0,2,4000.0,136.0
0,2,5000.0,184.0
0,2,6000.0,234.0
0,2,7000.0,284.0
0,2,8000.0,338.0
0,2,9000.0,393.0
0,2,10000.0,453.0
0,2,11000.0,517.0
0,2,12000.0,583.0
0,2,13000.0,651.0
0,2,14000.0,721.0
0,2,15000.0,793.0
0,2,16000.0,869.0
0,2,17000.0,947.0
0,2,18000.0,1029.0
0,2,19000.0,1113.0
0,2,20000.0,1200.0
0,2,21000.0,1288.0
0,2,22000.0,1382.0
0,2,23000.0,1480.0
0,2,24000.0,1582.0
0,2,25000.0,1684.0
0,2,26000.0,1787.0
0,2,27000.0,1895.0
0,2,28000.0,1999.0
0,2,29000.0,2103.0
0,2,30000.0,2205.0
0,2,31000.0,2307.0
0,2,32000.0,2414.0
0,2,33000.0,2520.0
0,2,34000.0,2626.0
0,2,35000.0,2728.0
0,2,36000.0,2830.0
0,2,37000.0,2932.0
0,2,38000.0,3037.0
0,2,39000.0,3139.0
0,2,40000.0,3241.0
0,2,41000.0,3346.0
0,2,42000.0,3448.0
0,2,43000.0,3550.0
0,2,44000.0,3652.0
0,2,45000.0,3756.0
0,2,46000.0,3856.0
0,2,47000.0,3956.0
0,2,48000.0,4054.0
0,2,49000.0,4152.0
0,2,50000.0,4252.0
0,4,1000.0,26.0
0,4,2000.0,78.0
0,4,3000.0,132.0
0,4,4000.0,187.0
0,4,5000.0,247.0
0,4,6000.0,312.0
0,4,7000.0,380.0
0,4,8000.0,450.0
0,4,9000.0,523.0
0,4,10000.0,596.0
0,4,11000.0,669.0
0,4,12000.0,744.0
0,4,13000.0,820.0
0,4,14000.0,896.0
0,4,15000.0,974.0
0,4,16000.0,1052.0
0,4,17000.0,1130.0
0,4,18000.0,1210.0
0,4,19000.0,1291.0
0,4,20000.0,1372.0
0,4,21000.0,1454.0
0,4,22000.0,1541.0
0,4,23000.0,1632.0
0,4,24000.0,1724.0
0,4,25000.0,1818.0
0,4,26000.0,1914.0
0,4,27000.0,2010.0
0,4,28000.0,2109.0
0,4,29000.0,2206.0
0,4,30000.0,2298.0
0,4,31000.0,2388.0
0,4,32000.0,2480.0
0,4,33000.0,2576.0
0,4,34000.0,2671.0
0,4,35000.0,2765.0
0,4,36000.0,2858.0
0,4,37000.0,2947.0
0,4,38000.0,3034.0
0,4,39000.0,3119.0
0,4,40000.0,3205.0
0,4,41000.0,3291.0
0,4,42000.0,3376.0
0,4,43000.0,3458.0
0,4,44000.0,3577.0
0,4,45000.0,3655.0
0,4,46000.0,3731.0
0,4,47000.0,3801.0
0,4,48000.0,3863.0
0,4,49000.0,3917.0
0,4,50000.0,3969.0
0,5,1000.0,25.0
0,5,2000.0,50.0
0,5,3000.0,101.0
0,5,4000.0,127.0
0,5,5000.0,153.0
0,5,6000.0,206.0
0,5,7000.0,261.0
0,5,8000.0,317.0
0,5,9000.0,372.0
0,5,10000.0,428.0
0,5,11000.0,517.0
0,5,12000.0,575.0
0,5,13000.0,630.0
0,5,14000.0,684.0
0,5,15000.0,738.0
0,5,16000.0,794.0
0,5,17000.0,850.0
0,5,18000.0,904.0
0,5,19000.0,956.0
0,5,20000.0,1008.0
0,5,21000.0,1063.0
0,5,22000.0,1119.0
0,5,23000.0,1175.0
0,5,24000.0,1231.0
0,5,25000.0,1287.0
0,5,26000.0,1345.0
0,5,27000.0,1401.0
0,5,28000.0,1457.0
0,5,29000.0,1513.0
0,5,30000.0,1567.0
0,5,31000.0,1620.0
0,5,32000.0,1672.0
0,5,33000.0,1724.0
0,5,34000.0,1778.0
0,5,35000.0,1832.0
0,5,36000.0,1886.0
0,5,37000.0,1939.0
0,5,38000.0,1991.0
0,5,39000.0,2066.0
0,5,40000.0,2115.0
0,5,41000.0,2163.0
0,5,42000.0,2211.0
0,5,43000.0,2259.0
0,5,44000.0,2303.0
0,5,45000.0,2347.0
0,5,46000.0,2392.0
0,5,47000.0,2436.0
0,5,48000.0,2520.0
0,5,49000.0,2562.0
0,5,50000.0,2602.0
0,6,1000.0,20.0
0,6,2000.0,41.0
0,6,3000.0,85.0
0,6,4000.0,129.0
0,6,5000.0,173.0
0,6,6000.0,219.0
0,6,7000.0,266.0
0,6,8000.0,318.0
0,6,9000.0,370.0
0,6,10000.0,425.0
0,6,11000.0,481.0
0,6,12000.0,539.0
0,6,13000.0,603.0
0,6,14000.0,669.0
0,6,15000.0,737.0
0,6,16000.0,808.0
0,6,17000.0,882.0
0,6,18000.0,956.0
0,6,19000.0,1028.0
0,6,20000.0,1104.0
0,6,21000.0,1180.0
0,6,22000.0,1219.0
0,6,23000.0,1258.0
0,6,24000.0,1334.0
0,6,25000.0,1412.0
0,6,26000.0,1492.0
0,6,27000.0,1578.0
0,6,28000.0,1668.0
0,6,29000.0,1762.0
0,6,30000.0,1859.0
0,6,31000.0,1958.0
0,6,32000.0,2058.0
0,6,33000.0,2166.0
0,6,34000.0,2274.0
0,6,35000.0,2381.0
0,6,36000.0,2487.0
0,6,37000.0,2593.0
0,6,38000.0,2699.0
0,6,39000.0,2803.0
0,6,40000.0,2910.0
0,6,41000.0,3018.0
0,6,42000.0,3120.0
0,6,43000.0,3222.0
0,6,44000.0,3324.0
0,6,45000.0,3474.0
0,6,46000.0,3619.0
0,6,47000.0,3771.0
0,6,48000.0,3873.0
0,6,49000.0,3974.0
0,6,50000.0,4074.0
0,7,1000.0,13.0
0,7,2000.0,26.0
0,7,3000.0,53.0
0,7,4000.0,68.0
0,7,5000.0,83.0
0,7,6000.0,113.0
0,7,7000.0,143.0
0,7,8000.0,173.0
0,7,9000.0,204.0
0,7,10000.0,236.0
0,7,11000.0,270.0
0,7,12000.0,304.0
0,7,13000.0,340.0
0,7,14000.0,376.0
0,7,15000.0,412.0
0,7,16000.0,448.0
0,7,17000.0,484.0
0,7,18000.0,538.0
0,7,19000.0,579.0
0,7,20000.0,624.0
0,7,21000.0,670.0
0,7,22000.0,717.0
0,7,23000.0,765.0
0,7,24000.0,812.0
0,7,25000.0,858.0
0,7,26000.0,904.0
0,7,27000.0,949.0
0,7,28000.0,997.0
0,7,29000.0,1043.0
0,7,30000.0,1089.0
0,7,31000.0,1137.0
0,7,32000.0,1187.0
0,7,33000.0,1238.0
0,7,34000.0,1289.0
0,7,35000.0,1337.0
0,7,36000.0,1384.0
0,7,37000.0,1430.0
0,7,38000.0,1476.0
0,7,39000.0,1523.0
0,7,40000.0,1571.0
0,7,41000.0,1620.0
0,7,42000.0,1671.0
0,7,43000.0,1724.0
0,7,44000.0,1751.0
0,7,45000.0,1806.0
0,7,46000.0,1862.0
0,7,47000.0,1920.0
0,7,48000.0,1982.0
0,7,49000.0,2046.0
0,7,50000.0,2114.0
0,8,1000.0,62.0
0,8,2000.0,93.0
0,8,3000.0,125.0
0,8,4000.0,188.0
0,8,5000.0,219.0
0,8,6000.0,250.0
0,8,7000.0,318.0
0,8,8000.0,386.0
0,8,9000.0,459.0
0,8,10000.0,535.0
0,8,11000.0,574.0
0,8,12000.0,615.0
0,8,13000.0,698.0
0,8,14000.0,780.0
0,8,15000.0,861.0
0,8,16000.0,943.0
0,8,17000.0,1026.0
0,8,18000.0,1069.0
0,8,19000.0,1156.0
0,8,20000.0,1245.0
