rep,t,mean_availability,n_hosts_used
0,5000.0,0.1111111111111111,99
0,6000.0,0.12121212121212122,99
0,7000.0,0.10101010101010101,99
0,8000.0,0.0707070707070707,99
0,9000.0,0.09090909090909091,99
0,10000.0,0.12121212121212122,99
0,11000.0,0.1111111111111111,99
0,12000.0,0.09090909090909091,99
0,13000.0,0.0707070707070707,99
0,14000.0,0.050505050505050504,99
0,15000.0,0.050505050505050504,99
0,16000.0,0.0707070707070707,99
0,17000.0,0.06060606060606061,99
0,18000.0,0.04040404040404041,99
0,19000.0,0.030303030303030304,99
0,20000.0,0.04040404040404041,99
0,21000.0,0.04040404040404041,99
0,22000.0,0.020202020202020204,99
0,23000.0,0.020202020202020204,99
0,24000.0,0.020202020202020204,99
0,25000.0,0.020202020202020204,99
0,26000.0,0.010101010101010102,99
0,27000.0,0.020202020202020204,99
0,28000.0,0.020202020202020204,99
0,29000.0,0.030303030303030304,99
0,30000.0,0.020202020202020204,99
0,31000.0,0.020202020202020204,99
0,32000.0,0.030303030303030304,99
0,33000.0,0.04040404040404041,99
0,34000.0,0.04040404040404041,99
0,35000.0,0.020202020202020204,99
0,36000.0,0.030303030303030304,99
0,37000.0,0.020202020202020204,99
0,38000.0,0.020202020202020204,99
0,39000.0,0.0,99
0,40000.0,0.020202020202020204,99
0,41000.0,0.030303030303030304,99
0,42000.0,0.030303030303030304,99
0,43000.0,0.020202020202020204,99
0,44000.0,0.06060606060606061,99
0,45000.0,0.06060606060606061,99
0,46000.0,0.0707070707070707,99
0,47000.0,0.020202020202020204,99
0,48000.0,0.04040404040404041,99
0,49000.0,0.020202020202020204,99
0,50000.0,0.04040404040404041,99
1,5000.0,0.020202020202020204,99
1,6000.0,0.04040404040404041,99
1,7000.0,0.04040404040404041,99
1,8000.0,0.04040404040404041,99
1,9000.0,0.030303030303030304,99
1,10000.0,0.050505050505050504,99
1,11000.0,0.04040404040404041,99
1,12000.0,0.050505050505050504,99
1,13000.0,0.030303030303030304,99
1,14000.0,0.04040404040404041,99
1,15000.0,0.030303030303030304,99
1,16000.0,0.030303030303030304,99
1,17000.0,0.010101010101010102,99
1,18000.0,0.010101010101010102,99
1,19000.0,0.020202020202020204,99
1,20000.0,0.030303030303030304,99
1,21000.0,0.020202020202020204,99
1,22000.0,0.020202020202020204,99
1,23000.0,0.010101010101010102,99
1,24000.0,0.020202020202020204,99
1,25000.0,0.030303030303030304,99
1,26000.0,0.0707070707070707,99
1,27000.0,0.06060606060606061,99
1,28000.0,0.04040404040404041,99
1,29000.0,0.030303030303030304,99
1,30000.0,0.04040404040404041,99
1,31000.0,0.04040404040404041,99
1,32000.0,0.010101010101010102,99
1,33000.0,0.010101010101010102,99
1,34000.0,0.010101010101010102,99
1,35000.0,0.020202020202020204,99
1,36000.0,0.010101010101010102,99
1,37000.0,0.020202020202020204,99
1,38000.0,0.010101010101010102,99
1,39000.0,0.010101010101010102,99
1,40000.0,0.010101010101010102,99
1,41000.0,0.010101010101010102,99
1,42000.0,0.010101010101010102,99
1,43000.0,0.0,99
1,44000.0,0.010101010101010102,99
1,45000.0,0.010101010101010102,99
1,46000.0,0.010101010101010102,99
1,47000.0,0.010101010101010102,99
1,48000.0,0.050505050505050504,99
1,49000.0,0.050505050505050504,99
1,50000.0,0.06060606060606061,99
2,5000.0,0.050505050505050504,99
2,6000.0,0.050505050505050504,99
2,7000.0,0.050505050505050504,99
2,8000.0,0.030303030303030304,99
2,9000.0,0.030303030303030304,99
2,10000.0,0.030303030303030304,99
2,11000.0,0.010101010101010102,99
2,12000.0,0.010101010101010102,99
2,13000.0,0.010101010101010102,99
2,14000.0,0.030303030303030304,99
2,15000.0,0.030303030303030304,99
2,16000.0,0.04040404040404041,99
2,17000.0,0.030303030303030304,99
2,18000.0,0.020202020202020204,99
2,19000.0,0.010101010101010102,99
2,20000.0,0.010101010101010102,99
2,21000.0,0.010101010101010102,99
2,22000.0,0.020202020202020204,99
2,23000.0,0.030303030303030304,99
2,24000.0,0.030303030303030304,99
2,25000.0,0.030303030303030304,99
2,26000.0,0.010101010101010102,99
2,27000.0,0.020202020202020204,99
2,28000.0,0.010101010101010102,99
2,29000.0,0.010101010101010102,99
2,30000.0,0.010101010101010102,99
2,31000.0,0.010101010101010102,99
2,32000.0,0.020202020202020204,99
2,33000.0,0.020202020202020204,99
2,34000.0,0.030303030303030304,99
2,35000.0,0.020202020202020204,99
2,36000.0,0.020202020202020204,99
2,37000.0,0.010101010101010102,99
2,38000.0,0.020202020202020204,99
2,39000.0,0.010101010101010102,99
2,40000.0,0.010101010101010102,99
2,41000.0,0.0,99
2,42000.0,0.0,99
2,43000.0,0.0,99
2,44000.0,0.010101010101010102,99
2,45000.0,0.030303030303030304,99
2,46000.0,0.030303030303030304,99
2,47000.0,0.030303030303030304,99
2,48000.0,0.020202020202020204,99
2,49000.0,0.020202020202020204,99
2,50000.0,0.020202020202020204,99
3,5000.0,0.08080808080808081,99
3,6000.0,0.08080808080808081,99
3,7000.0,0.09090909090909091,99
3,8000.0,0.050505050505050504,99
3,9000.0,0.06060606060606061,99
3,10000.0,0.06060606060606061,99
3,11000.0,0.0707070707070707,99
3,12000.0,0.0707070707070707,99
3,13000.0,0.06060606060606061,99
3,14000.0,0.04040404040404041,99
3,15000.0,0.010101010101010102,99
3,16000.0,0.010101010101010102,99
3,17000.0,0.010101010101010102,99
3,18000.0,0.020202020202020204,99
3,19000.0,0.030303030303030304,99
3,20000.0,0.020202020202020204,99
3,21000.0,0.020202020202020204,99
3,22000.0,0.010101010101010102,99
3,23000.0,0.010101010101010102,99
3,24000.0,0.010101010101010102,99
3,25000.0,0.010101010101010102,99
3,26000.0,0.020202020202020204,99
3,27000.0,0.020202020202020204,99
3,28000.0,0.04040404040404041,99
3,29000.0,0.04040404040404041,99
3,30000.0,0.04040404040404041,99
3,31000.0,0.030303030303030304,99
3,32000.0,0.04040404040404041,99
3,33000.0,0.04040404040404041,99
3,34000.0,0.030303030303030304,99
3,35000.0,0.010101010101010102,99
3,36000.0,0.010101010101010102,99
3,37000.0,0.010101010101010102,99
3,38000.0,0.020202020202020204,99
3,39000.0,0.010101010101010102,99
3,40000.0,0.020202020202020204,99
3,41000.0,0.010101010101010102,99
3,42000.0,0.020202020202020204,99
3,43000.0,0.030303030303030304,99
3,44000.0,0.04040404040404041,99
3,45000.0,0.04040404040404041,99
3,46000.0,0.020202020202020204,99
3,47000.0,0.030303030303030304,99
3,48000.0,0.020202020202020204,99
3,49000.0,0.020202020202020204,99
3,50000.0,0.010101010101010102,99
4,5000.0,0.050505050505050504,99
4,6000.0,0.0707070707070707,99
4,7000.0,0.06060606060606061,99
4,8000.0,0.050505050505050504,99
4,9000.0,0.030303030303030304,99
4,10000.0,0.04040404040404041,99
4,11000.0,0.06060606060606061,99
4,12000.0,0.050505050505050504,99
4,13000.0,0.04040404040404041,99
4,14000.0,0.030303030303030304,99
4,15000.0,0.0707070707070707,99
4,16000.0,0.0707070707070707,99
4,17000.0,0.050505050505050504,99
4,18000.0,0.020202020202020204,99
4,19000.0,0.0707070707070707,99
4,20000.0,0.08080808080808081,99
4,21000.0,0.0707070707070707,99
4,22000.0,0.020202020202020204,99
4,23000.0,0.030303030303030304,99
4,24000.0,0.030303030303030304,99
4,25000.0,0.030303030303030304,99
4,26000.0,0.0,99
4,27000.0,0.020202020202020204,99
4,28000.0,0.020202020202020204,99
4,29000.0,0.030303030303030304,99
4,30000.0,0.010101010101010102,99
4,31000.0,0.020202020202020204,99
4,32000.0,0.030303030303030304,99
4,33000.0,0.030303030303030304,99
4,34000.0,0.04040404040404041,99
4,35000.0,0.050505050505050504,99
4,36000.0,0.06060606060606061,99
4,37000.0,0.04040404040404041,99
4,38000.0,0.010101010101010102,99
4,39000.0,0.0,99
4,40000.0,0.0,99
4,41000.0,0.010101010101010102,99
4,42000.0,0.010101010101010102,99
4,43000.0,0.010101010101010102,99
4,44000.0,0.0,99
4,45000.0,0.020202020202020204,99
4,46000.0,0.020202020202020204,99
4,47000.0,0.020202020202020204,99
4,48000.0,0.010101010101010102,99
4,49000.0,0.010101010101010102,99
4,50000.0,0.030303030303030304,99
