rep,host,t,Ec
0,0,1000.0,1.0
0,0,2000.0,0.0
0,0,3000.0,0.0
0,0,4000.0,0.16010421714843
0,0,5000.0,0.2717095168144
0,0,6000.0,0.094310464743851
0,0,7000.0,0.038847056403255
0,0,8000.0,0.072199986613722
0,0,9000.0,0.11735455729127
0,0,10000.0,0.23480132829989
0,0,11000.0,0.15818050685641
0,0,12000.0,0.11599825161478
0,0,13000.0,0.12471205874319
0,0,14000.0,0.11190634463121
0,0,15000.0,0.062632725843167
0,0,16000.0,0.0033546489598907
0,0,17000.0,0.055402777164047
0,0,18000.0,0.013792717769556
0,0,19000.0,0.011135433226366
0,0,20000.0,0.0
0,0,21000.0,0.0
0,0,22000.0,0.043918480650319
0,0,23000.0,0.0074946984270796
0,0,24000.0,0.014510339527141
0,0,25000.0,0.019780948092727
0,0,26000.0,0.058659946672513
0,0,27000.0,0.030593316735193
0,0,28000.0,0.0018490604368807
0,0,29000.0,0.013696605578173
0,0,30000.0,0.0
0,0,31000.0,0.0036444701263935
0,0,32000.0,0.02520939895945
0,0,33000.0,0.056500034304539
0,0,34000.0,0.018997714245661
0,0,35000.0,0.010008270721956
0,0,36000.0,0.078660739420003
0,0,37000.0,0.0
0,0,38000.0,0.019052211812916
0,0,39000.0,0.018284223713854
0,0,40000.0,0.0
0,0,41000.0,0.010985670209169
0,0,42000.0,0.041141369523662
0,0,43000.0,0.052348254011649
0,0,44000.0,0.10180305080633
0,0,45000.0,0.018253893246778
0,0,46000.0,0.04841411467776
0,0,47000.0,0.059881987946584
0,0,48000.0,0.065179305757706
0,0,49000.0,0.071115494281111
0,0,50000.0,0.079214957396768
0,1,1000.0,1.0
0,1,2000.0,0.0
0,1,3000.0,0.0
0,1,4000.0,0.00065745641895254
0,1,5000.0,0.1737551841161
0,1,6000.0,0.0
0,1,7000.0,0.0
0,1,8000.0,0.089908173298162
0,1,9000.0,0.1082757096412
0,1,10000.0,0.098503250726837
0,1,11000.0,0.13491740032223
0,1,12000.0,0.028483306335956
0,1,13000.0,0.094262515679839
0,1,14000.0,0.0
0,1,15000.0,0.11047727568566
0,1,16000.0,0.0070141070336405
0,1,17000.0,0.0
0,1,18000.0,0.042944952960859
0,1,19000.0,0.10845466313608
