rep,t,mean_delay_sec,n_hosts_used
0,5000.0,0.07151153323575,4
0,6000.0,0.46589472257657144,7
0,7000.0,0.33410276153249996,10
0,8000.0,0.35727429127466664,9
0,9000.0,0.050179286672166666,6
0,10000.0,0.10753646338399998,6
0,11000.0,0.09631228324257143,7
0,12000.0,0.060383209628666674,9
0,13000.0,0.022065161965,9
0,14000.0,0.023123873606857144,7
0,15000.0,0.5884899557858333,6
0,16000.0,0.5809008401908333,6
0,17000.0,0.39538732909766666,9
0,18000.0,0.02004297581375,8
0,19000.0,0.0209782261185,8
0,20000.0,1.1613788758624999,8
0,21000.0,1.039923839797889,9
0,22000.0,1.042126775667111,9
0,23000.0,0.0455484259147,10
0,24000.0,0.04055670949411111,9
0,25000.0,0.04655964847775,8
0,26000.0,0.068200751265,7
0,27000.0,0.07004594955957143,7
0,28000.0,0.07773924609416667,6
0,29000.0,0.041884456130799996,5
0,30000.0,0.09857468838614285,7
0,31000.0,0.09344227322342857,7
0,32000.0,0.08816338306642857,7
0,33000.0,0.0939160660652,5
0,34000.0,1.19350499363825,8
0,35000.0,1.194058391077375,8
0,36000.0,1.3255283058282858,7
0,37000.0,0.04502863112285715,7
0,38000.0,0.035914069031714284,7
0,39000.0,0.022240804755000003,7
0,40000.0,0.5822334816521667,6
0,41000.0,0.505450804365,7
0,42000.0,0.5114266490089999,7
0,43000.0,0.03456837194125,8
0,44000.0,1.5552107943711666,6
0,45000.0,4.017053635535,8
0,46000.0,6.81688266240525,8
0,47000.0,6.487338783168,7
0,48000.0,2.5616739305645555,9
0,49000.0,0.10680293250612499,8
0,50000.0,0.44762598468275,12
1,5000.0,0.04390250641066667,3
1,6000.0,0.6252159963218,5
1,7000.0,0.406595295307625,8
1,8000.0,0.5357828166405,6
1,9000.0,0.026239615359142855,7
1,10000.0,0.0131094711604,5
1,11000.0,0.020983292786833335,6
1,12000.0,0.03685186289566667,3
1,13000.0,0.024329921493833336,6
1,14000.0,1.3583342761305717,7
1,15000.0,1.1896504020110001,8
1,16000.0,1.5863279932136667,6
1,17000.0,0.019212497635142857,7
1,18000.0,0.015926746605,6
1,19000.0,0.014944685081833333,6
1,20000.0,0.016881726925666668,6
1,21000.0,0.01900622034616667,6
1,22000.0,0.01726685792257143,7
1,23000.0,3.101560896355,7
1,24000.0,2.712847316514125,8
1,25000.0,4.3314198210522,5
1,26000.0,0.015629130403999998,5
1,27000.0,0.02761848703125,4
1,28000.0,0.022345567157333334,6
1,29000.0,0.02673904317725,4
1,30000.0,0.019106867852800004,5
1,31000.0,0.027434014512799997,5
1,32000.0,0.0236110734096,5
1,33000.0,0.027048676868166668,6
1,34000.0,0.021034097927200002,5
1,35000.0,0.019130531571333334,6
1,36000.0,0.01041707976675,4
1,37000.0,0.0113702147162,5
1,38000.0,0.009756311269,4
1,39000.0,0.0095391322884,5
1,40000.0,0.01450636503475,4
1,41000.0,0.02100577414657143,7
1,42000.0,0.02581446525025,8
1,43000.0,0.02469850746357143,7
1,44000.0,0.021708253998125,8
1,45000.0,0.0194611540092,5
1,46000.0,0.0194611540092,5
1,47000.0,0.008307989338,2
1,48000.0,0.008307989338,2
1,49000.0,0.023905095982249998,4
