rep,t,mean_delay_sec,n_hosts_used
0,5000.0,0.07135912826225,8
0,6000.0,0.07135912826225,8
0,7000.0,0.07135912826225,8
0,8000.0,2.0110034499316667,3
0,9000.0,1.2107468440338,5
0,10000.0,0.6285698055922,10
0,11000.0,0.037067399367875,8
0,12000.0,0.033988400926444444,9
0,13000.0,0.015056985246142856,7
0,14000.0,0.013645441650599999,10
0,15000.0,0.013618025069444446,9
0,16000.0,0.0143804130725,8
0,17000.0,0.012542504780000002,7
0,18000.0,0.014425360748857143,7
0,19000.0,0.0147160177415,8
0,20000.0,0.013043188592999999,6
0,21000.0,0.012228800540428571,7
0,22000.0,0.017173913595125,8
0,23000.0,0.046933207018999994,11
0,24000.0,0.05359747850227273,11
0,25000.0,0.08044678863175,8
0,26000.0,0.040381058736,7
0,27000.0,0.03979920001466667,6
0,28000.0,0.018058019124375,8
0,29000.0,0.018551712429888886,9
0,30000.0,0.013372327328333333,9
0,31000.0,0.011365237126333333,6
0,32000.0,0.022605925082,8
0,33000.0,0.0187592380969,10
0,34000.0,0.041376146109166664,12
0,35000.0,0.046726516785,8
0,36000.0,0.0666493333555,8
0,37000.0,0.0331255797613,10
0,38000.0,0.033361204843,9
0,39000.0,0.3663961113776667,9
0,40000.0,1.5291377000664998,8
0,41000.0,1.5300205625544998,8
0,42000.0,1.6897517884569997,9
0,43000.0,0.88312739081,7
0,44000.0,0.6345118652868,10
0,45000.0,0.03928655316414286,7
0,46000.0,0.03275481112266667,9
0,47000.0,0.027330483435714287,7
0,48000.0,0.01809794717914286,7
0,49000.0,0.04545691046480001,10
0,50000.0,0.049926058156,11
1,5000.0,0.020224437401833332,6
1,6000.0,0.014494970568222222,9
1,7000.0,0.014494970568222222,9
1,8000.0,0.0030360369009999996,3
1,9000.0,0.011496847390666668,3
1,10000.0,0.008486064730000001,7
1,11000.0,0.066651289448,11
1,12000.0,0.06907600509227273,11
1,13000.0,0.0746300695922,10
1,14000.0,0.015027021835499999,8
1,15000.0,0.02047346183422222,9
1,16000.0,0.04661720696490909,11
1,17000.0,0.039174975585,13
1,18000.0,0.04267414294688889,9
1,19000.0,0.010050659116,6
1,20000.0,0.005380446375,3
1,21000.0,0.015154372821,7
1,22000.0,0.0185636274395,6
1,23000.0,0.071192052635,10
1,24000.0,0.07901757909988888,9
1,25000.0,0.0706664674666,10
1,26000.0,0.4609797951438571,7
1,27000.0,0.407291668816875,8
1,28000.0,0.3456058284169,10
1,29000.0,0.041915703889374996,8
1,30000.0,0.041960228232374996,8
1,31000.0,0.024876282463875,8
1,32000.0,0.0320631771654,10
1,33000.0,0.029313563017,8
1,34000.0,0.024728711076375,8
1,35000.0,0.014503167681125001,8
1,36000.0,0.013523445587333335,6
1,37000.0,0.016535394483,4
1,38000.0,0.411581866565,8
1,39000.0,0.24202693827792857,14
1,40000.0,0.26300982726376926,13
1,41000.0,0.02042758090911111,9
1,42000.0,0.0447742998938,10
1,43000.0,0.037794097911375,16
1,44000.0,0.04151011528425,16
1,45000.0,0.028430749488181816,11
1,46000.0,0.05843541273542857,7
1,47000.0,0.06982390548255556,9
1,48000.0,0.0706200100435,10
1,49000.0,0.04481410874733333,9
1,50000.0,0.35337246659044447,9
2,5000.0,0.5927294278426667,6
2,6000.0,0.5927294278426667,6
2,7000.0,0.4073247767772223,9
2,8000.0,0.03765786617725,4
2,9000.0,0.033664199427999995,5
2,10000.0,0.044750578403,6
2,11000.0,0.0587475092985,8
2,12000.0,0.058964957776124996,8
2,13000.0,0.5576190356241666,6
2,14000.0,0.815529365602625,8
2,15000.0,0.7261614634561111,9
2,16000.0,0.7222960808855556,9
2,17000.0,0.46782876063699996,7
2,18000.0,0.5435104419794999,6
2,19000.0,0.03934325308566666,6
2,20000.0,0.0141088697245,4
2,21000.0,0.013175594981333333,3
2,22000.0,0.0585191410535,6
2,23000.0,1.2322561421407272,11
2,24000.0,0.9141756004778666,15
2,25000.0,1.2193524426716362,11
2,26000.0,0.419945338572375,8
2,27000.0,2.0535759783948335,6
2,28000.0,1.3821749499455553,9
2,29000.0,1.5455985134005001,6
2,30000.0,0.038470368748249995,4
2,31000.0,0.01227235803,2
2,32000.0,0.015209198344333333,3
2,33000.0,0.03224918535516667,6
2,34000.0,0.034615903848,7
2,35000.0,3.057612660737875,8
2,36000.0,3.042765804671125,8
2,37000.0,3.476184151706429,7
2,38000.0,0.020439026720833333,6
2,39000.0,0.0219812901594,5
2,40000.0,0.043315272726000005,5
2,41000.0,0.0468896068275,4
2,42000.0,0.08480102562720002,5
2,43000.0,0.065225694641,4
2,44000.0,0.0537232852402,5
2,45000.0,0.00796808373975,4
2,46000.0,0.007927072085666667,3
2,47000.0,0.03438054603,5
2,48000.0,3.0383193740864294,7
2,49000.0,1.9455266130643638,11
2,50000.0,2.36294566359,9
3,5000.0,0.10699846915366668,3
3,6000.0,0.057691246632500005,6
3,7000.0,0.05907381484228572,7
3,8000.0,0.027787421633666667,6
3,9000.0,0.0348066901384,5
3,10000.0,0.02218413691275,8
3,11000.0,0.03512697707788889,9
3,12000.0,0.042886408204800004,10
3,13000.0,0.04924561916225,8
3,14000.0,0.06688937320477778,9
3,15000.0,0.059036970193375,8
3,16000.0,0.08779045661685714,7
3,17000.0,0.054090615590714285,7
3,18000.0,0.0530242511245,8
3,19000.0,0.03279153697825,8
3,20000.0,0.02022853901185714,7
3,21000.0,0.019034097085666665,6
3,22000.0,0.032091754175375,8
3,23000.0,0.0660451550418,10
3,24000.0,0.06945669705799999,10
3,25000.0,0.07653600830414287,7
3,26000.0,2.375846587111667,9
3,27000.0,1.9514217421054547,11
3,28000.0,1.7888032635966669,12
3,29000.0,0.041472833570899995,10
3,30000.0,0.038924116439999996,7
3,31000.0,0.038102779087,8
3,32000.0,0.04000447169828571,7
3,33000.0,0.062482704023625005,8
3,34000.0,0.05258874755463636,11
3,35000.0,0.043440122079625,8
3,36000.0,0.016469700868375,8
3,37000.0,0.025317542274,6
3,38000.0,0.0777771909404,10
3,39000.0,0.0810723982447,10
3,40000.0,0.09793920726511111,9
3,41000.0,0.0590539391115,6
3,42000.0,0.05292248100522222,9
3,43000.0,0.030638529124363635,11
3,44000.0,0.026041393039636363,11
3,45000.0,0.018204825326857143,7
3,46000.0,0.02257756340625,4
3,47000.0,0.08437824234333334,6
3,48000.0,0.075699558487,9
3,49000.0,0.06199723622292308,13
3,50000.0,0.034094816276166666,12
4,5000.0,0.56206442004975,8
4,6000.0,0.34845814542246156,13
4,7000.0,0.34845814542246156,13
4,8000.0,0.3363298804712,10
4,9000.0,0.428529295057625,8
4,10000.0,0.28811548111866664,12
4,11000.0,0.03131156601418182,11
4,12000.0,0.035436592966636364,11
4,13000.0,0.054730147502866665,15
4,14000.0,0.044267793910375,16
4,15000.0,0.0410044587148125,16
4,16000.0,0.03210152791858333,12
4,17000.0,0.03300680235825,12
4,18000.0,0.0356559342196,15
4,19000.0,0.03300104993241667,12
4,20000.0,0.04013101264857143,7
4,21000.0,0.027953303765333337,3
4,22000.0,0.022745908851222223,9
4,23000.0,0.022603130149666667,12
4,24000.0,0.024267251140272728,11
4,25000.0,0.02381502941816667,6
4,26000.0,0.04179594776757143,14
4,27000.0,0.04278483392746154,13
4,28000.0,0.04526142727816667,12
4,29000.0,4.225746667734599,5
4,30000.0,3.3529127036569997,9
4,31000.0,3.767731834993375,8
4,32000.0,0.9588256783989999,10
4,33000.0,0.059258220139899995,10
4,34000.0,0.050465531158857144,14
4,35000.0,0.0182288820606,10
4,36000.0,0.021852372964900002,10
4,37000.0,0.03701599645155555,9
4,38000.0,0.042008211743083335,12
4,39000.0,0.042998727280250004,12
4,40000.0,0.028682877467909092,11
4,41000.0,0.021731694277222224,9
4,42000.0,0.02511745677763636,11
4,43000.0,0.025496383689727273,11
4,44000.0,0.03158516751127272,11
4,45000.0,0.023795232084,8
4,46000.0,0.0227949326653,10
4,47000.0,0.01399529190575,8
4,48000.0,0.0380744406825,8
4,49000.0,0.052464454191300004,10
4,50000.0,0.29520044573483334,12
