rep,host,t,rlReward
0,0,5000.0,0.017105459927046
0,0,6000.0,-0.58469995200428
0,0,7000.0,-0.64023824133994
0,0,8000.0,-0.7
0,0,9000.0,-0.51535646508771
0,0,10000.0,-0.57293341453669
0,0,11000.0,-0.32684397264285
0,0,12000.0,0.17516377949332
0,0,13000.0,0.19316591920217
0,0,14000.0,0.036930460837322
0,0,15000.0,0.19560703891275
0,0,16000.0,0.36846907288137
0,0,17000.0,0.18484054289608
0,0,18000.0,0.021070469650951
0,0,19000.0,0.39078072801339
0,0,20000.0,0.39688089922583
0,0,21000.0,0.35136033385963
0,0,22000.0,0.31179999597435
0,0,23000.0,0.37067617466177
0,0,24000.0,0.2682827801456
0,0,25000.0,0.34310222909996
0,0,26000.0,0.365779490074
0,0,27000.0,0.35041249594624
0,0,28000.0,0.20965971553608
0,0,29000.0,0.3593467473446
0,0,30000.0,0.36623081057659
0,0,31000.0,0.32196522052456
0,0,32000.0,0.27215465173726
0,0,33000.0,0.32396595846904
0,0,34000.0,0.31926753978446
0,0,35000.0,0.37466549954047
0,0,36000.0,-0.24553941330011
0,0,37000.0,-0.2618926647593
0,0,38000.0,-0.28835713237844
0,0,39000.0,-0.27336618502508
0,0,40000.0,-0.23959314312934
0,0,41000.0,0.16150567035129
0,0,42000.0,0.33783304653894
0,0,43000.0,0.36665154992102
0,0,44000.0,0.3408815293085
0,0,45000.0,0.34636981372298
0,0,46000.0,0.33422643256763
0,0,47000.0,0.22298384960199
0,0,48000.0,-0.36132728079493
0,0,49000.0,-0.30398664415938
0,0,50000.0,-0.31610888507963
0,1,5000.0,0.35744569100883
0,1,6000.0,0.092373515460463
0,1,7000.0,0.022806188605147
0,1,8000.0,0.049460997590814
0,1,9000.0,0.12689590552627
0,1,10000.0,0.059980989514259
0,1,11000.0,0.037643381643333
0,1,12000.0,0.06292914511257
0,1,13000.0,0.069304576580812
0,1,14000.0,0.13735540188196
0,1,15000.0,0.13915653843961
0,1,16000.0,0.36741940780829
0,1,17000.0,0.065976908604463
0,1,18000.0,0.073470388289906
0,1,19000.0,0.096183132596657
0,1,20000.0,0.4152976613296
0,1,21000.0,0.39793635804771
0,1,22000.0,0.32347095702413
0,1,23000.0,0.3
0,1,24000.0,0.41510205622662
0,1,25000.0,0.39833639543961
0,1,26000.0,0.41605329203069
0,1,27000.0,0.37182001359262
0,1,28000.0,0.30305979915937
0,1,29000.0,0.40358470936073
0,1,30000.0,0.42595545251921
0,1,31000.0,0.26177455847839
0,1,32000.0,0.31892035587578
0,1,33000.0,-0.61225316493919
0,1,34000.0,-0.63269395030127
0,1,35000.0,-0.58343977298449
0,1,36000.0,-0.58215242996978
0,1,37000.0,-0.6512867252358
0,1,38000.0,-0.62188734804815
0,1,39000.0,-0.63404065889804
0,1,40000.0,-0.59043238617773
0,1,41000.0,-0.62908141007879
0,1,42000.0,0.12604656081309
0,1,43000.0,0.088749653333976
0,1,44000.0,0.083550407302018
0,1,45000.0,-0.011380346705349
0,1,46000.0,-0.045283517476255
0,1,47000.0,0.073572832389372
0,1,48000.0,0.065938053171837
0,1,49000.0,0.020140626311616
0,1,50000.0,0.43101324737261
0,2,5000.0,0.3
0,2,6000.0,0.25028003165653
0,2,7000.0,0.34650584522164
0,2,8000.0,0.035299958501186
0,2,9000.0,0.43821822640359
0,2,10000.0,0.3
0,2,11000.0,0.3
0,2,12000.0,-0.56239227775023
0,2,13000.0,-0.53989191650029
0,2,14000.0,-0.46460503896235
0,2,15000.0,0.21192198851731
0,2,16000.0,-0.47121756664267
0,2,17000.0,-0.56812479844254
0,2,18000.0,-0.47621197933398
0,2,19000.0,-0.19551963160367
0,2,20000.0,-0.18526634292067
0,2,21000.0,-0.35494824810507
0,2,22000.0,0.17619826607953
0,2,23000.0,-0.12363767275998
0,2,24000.0,0.13924354038879
0,2,25000.0,0.38567934666252
0,2,26000.0,0.18751932049079
0,2,27000.0,0.1786134063103
0,2,28000.0,0.40603793401167
0,2,29000.0,0.34264664938979
0,2,30000.0,0.40400257725304
0,2,31000.0,0.38387235036996
0,2,32000.0,-0.57851803987832
0,2,33000.0,-0.28545632029982
0,2,34000.0,-0.55285269284004
0,2,35000.0,-0.17585275421225
0,2,36000.0,-0.17660582748804
0,2,37000.0,-0.28452172850588
0,2,38000.0,-0.21300733687214
0,2,39000.0,-0.14613127224633
0,2,40000.0,-0.31190197738594
0,2,41000.0,-0.49169677139921
0,2,42000.0,0.41365874960557
0,2,43000.0,0.22046648733319
0,2,44000.0,0.43824445666723
