rep,host,t,rlReward
0,0,5000.0,0.038037987276678
0,0,6000.0,0.081724036891047
0,0,7000.0,0.053152769206677
0,0,8000.0,0.0
0,0,9000.0,0.030247853970413
0,0,10000.0,0.091203417352456
0,0,11000.0,0.07086208773101
0,0,12000.0,0.37782766734925
0,0,13000.0,0.3869902580897
0,0,14000.0,0.041105890965712
0,0,15000.0,0.10816046096323
0,0,16000.0,0.096260672694408
0,0,17000.0,0.090242299379391
0,0,18000.0,0.11658596019901
0,0,19000.0,0.112207491325
0,0,20000.0,0.092632852683589
0,0,21000.0,0.12049903990635
0,0,22000.0,0.11676155562704
0,0,23000.0,0.32724998485575
0,0,24000.0,0.073591513468299
0,0,25000.0,0.0965570722099
0,0,26000.0,0.38329943867138
0,0,27000.0,0.37091631257004
0,0,28000.0,0.39713467264951
0,0,29000.0,0.11845398188275
0,0,30000.0,0.0
0,0,31000.0,0.069310127854334
0,0,32000.0,0.14737696104663
0,0,33000.0,0.41451399271947
0,0,34000.0,0.4038672359905
0,0,35000.0,0.36567731808919
0,0,36000.0,0.40879888815506
0,0,37000.0,0.42650660299034
0,0,38000.0,0.40582506481191
0,0,39000.0,0.40151879208246
0,0,40000.0,0.38833852523556
0,0,41000.0,0.4105470297918
0,0,42000.0,0.39551957476475
0,0,43000.0,-0.069630849851126
0,0,44000.0,0.38021433799623
0,0,45000.0,0.40104546148754
0,0,46000.0,0.38156163749997
0,0,47000.0,0.77687193144075
0,0,48000.0,0.35946136678727
0,0,49000.0,0.3
0,0,50000.0,0.32891278427446
0,1,5000.0,0.097019267792371
0,1,6000.0,0.0
0,1,7000.0,-0.66666666666667
0,1,8000.0,-0.5587327355196
0,1,9000.0,-0.58663076189678
0,1,10000.0,-0.31236419010895
0,1,11000.0,-0.52707605468616
0,1,12000.0,0.12944414607976
0,1,13000.0,0.16000198304318
0,1,14000.0,0.31076472267112
0,1,15000.0,0.32996896559699
0,1,16000.0,0.35483011417892
0,1,17000.0,0.32107609637447
0,1,18000.0,0.32675886037286
0,1,19000.0,0.33330169941826
0,1,20000.0,0.15265890130205
