rep,t,mean_delay_sec,n_hosts_used
0,5000.0,0.055857712788666664,9
0,6000.0,0.026698325938666667,9
0,7000.0,0.028414388300750004,12
0,8000.0,0.0279280477387,10
0,9000.0,0.0386807920001,10
0,10000.0,0.033248006213500006,10
0,11000.0,0.0308550882089,10
0,12000.0,0.022590542454625,8
0,13000.0,0.02907469752625,8
0,14000.0,0.039887508542250004,12
0,15000.0,0.040044454229083336,12
0,16000.0,0.03453590744658334,12
0,17000.0,0.01908888128385714,7
0,18000.0,0.026006140946875,8
0,19000.0,0.033001633872,7
0,20000.0,0.026315799271099997,10
0,21000.0,0.064877702417,10
0,22000.0,0.074210520895375,8
0,23000.0,0.076769917010625,8
0,24000.0,0.0179042098155,8
0,25000.0,0.292016002968,14
0,26000.0,0.3977929590477,10
0,27000.0,0.33364368350246154,13
0,28000.0,0.060242816935099995,10
0,29000.0,0.053228954423384614,13
0,30000.0,0.04456444876755556,9
0,31000.0,0.041282000353785715,14
0,32000.0,0.042969572236916664,12
0,33000.0,0.03745713381633333,12
0,34000.0,0.4466097107341428,7
0,35000.0,1.6057454950012222,9
0,36000.0,1.1617091574613847,13
0,37000.0,1.095841915166091,11
0,38000.0,0.41957423899580004,10
0,39000.0,0.5148221896794285,7
0,40000.0,0.406038828829,9
0,41000.0,0.022509417916899997,10
0,42000.0,0.6922838646575,10
0,43000.0,0.6287764043484546,11
0,44000.0,0.7744533474831111,9
0,45000.0,0.025978588889300002,10
0,46000.0,0.4217076869103,10
0,47000.0,0.41434401134119997,10
0,48000.0,0.38305366508799993,11
0,49000.0,0.027752844714500003,10
0,50000.0,0.04603627927176923,13
1,5000.0,0.005313445502666666,3
1,6000.0,0.007214590939,5
1,7000.0,0.007214590939,5
1,8000.0,0.0116522782416,5
1,9000.0,0.03143341538344444,9
1,10000.0,0.03243479291736363,11
1,11000.0,0.040284529117699995,10
1,12000.0,0.033252812833399994,5
1,13000.0,0.019959155784666668,6
1,14000.0,0.02388317697575,8
1,15000.0,0.0244473801973,10
