rep,t,mean_TotalClusterMsgSent,n_hosts_used
0,1000.0,20.0,24
0,2000.0,56.0,24
0,3000.0,81.0,24
0,4000.0,99.0,24
0,5000.0,133.0,24
0,6000.0,160.0,24
0,7000.0,169.0,24
0,8000.0,221.0,24
0,9000.0,229.0,24
0,10000.0,253.0,24
0,11000.0,309.0,24
0,12000.0,317.0,24
0,13000.0,341.0,24
0,14000.0,403.0,24
0,15000.0,412.0,24
0,16000.0,450.0,24
0,17000.0,520.0,24
0,18000.0,540.0,24
0,19000.0,570.0,24
0,20000.0,630.0,24
0,21000.0,640.0,24
0,22000.0,680.0,24
0,23000.0,738.0,24
0,24000.0,756.0,24
0,25000.0,792.0,24
0,26000.0,837.0,24
0,27000.0,846.0,24
0,28000.0,876.0,24
0,29000.0,926.0,24
0,30000.0,936.0,24
0,31000.0,945.0,24
0,32000.0,972.0,24
0,33000.0,981.0,24
0,34000.0,990.0,24
0,35000.0,1017.0,24
0,36000.0,1026.0,24
0,37000.0,1035.0,24
0,38000.0,1059.0,24
0,39000.0,1067.0,24
0,40000.0,1075.0,24
0,41000.0,1109.0,24
0,42000.0,1118.0,24
0,43000.0,1158.0,24
0,44000.0,1230.0,24
0,45000.0,1278.0,24
0,46000.0,1314.0,24
0,47000.0,1398.0,24
0,48000.0,1410.0,24
0,49000.0,1456.0,24
0,50000.0,1528.0,24
1,1000.0,12.0,24
1,2000.0,35.0,24
1,3000.0,56.0,24
1,4000.0,66.0,24
1,5000.0,84.0,24
1,6000.0,102.0,24
1,7000.0,114.0,24
1,8000.0,132.0,24
1,9000.0,153.0,24
1,10000.0,167.0,24
1,11000.0,195.0,24
1,12000.0,216.0,24
1,13000.0,237.0,24
1,14000.0,265.0,24
1,15000.0,286.0,24
1,16000.0,300.0,24
1,17000.0,329.0,24
1,18000.0,353.0,24
1,19000.0,378.0,24
1,20000.0,423.0,24
1,21000.0,459.0,24
1,22000.0,486.0,24
1,23000.0,531.0,24
1,24000.0,567.0,24
1,25000.0,593.0,24
1,26000.0,625.0,24
1,27000.0,657.0,24
1,28000.0,674.0,24
1,29000.0,718.0,24
1,30000.0,781.0,24
1,31000.0,820.0,24
1,32000.0,859.0,24
1,33000.0,937.0,24
1,34000.0,963.0,24
1,35000.0,1002.0,24
1,36000.0,1080.0,24
1,37000.0,1106.0,24
1,38000.0,1119.0,24
1,39000.0,1158.0,24
1,40000.0,1171.0,24
1,41000.0,1184.0,24
1,42000.0,1223.0,24
1,43000.0,1236.0,24
1,44000.0,1260.0,24
1,45000.0,1271.0,24
1,46000.0,1282.0,24
1,47000.0,1306.0,24
1,48000.0,1318.0,24
1,49000.0,1330.0,24
1,50000.0,1354.0,24
2,1000.0,16.0,24
2,2000.0,33.0,24
2,3000.0,51.0,24
2,4000.0,69.0,24
2,5000.0,87.0,24
2,6000.0,100.0,24
2,7000.0,156.0,24
2,8000.0,172.0,24
2,9000.0,188.0,24
2,10000.0,237.0,24
2,11000.0,255.0,24
2,12000.0,272.0,24
2,13000.0,298.0,24
2,14000.0,318.0,24
2,15000.0,338.0,24
2,16000.0,348.0,24
2,17000.0,358.0,24
2,18000.0,368.0,24
2,19000.0,378.0,24
2,20000.0,389.0,24
2,21000.0,411.0,24
2,22000.0,422.0,24
2,23000.0,433.0,24
2,24000.0,455.0,24
2,25000.0,467.0,24
2,26000.0,478.0,24
2,27000.0,489.0,24
2,28000.0,500.0,24
2,29000.0,511.0,24
2,30000.0,532.0,24
2,31000.0,541.0,24
2,32000.0,550.0,24
2,33000.0,577.0,24
2,34000.0,620.0,24
2,35000.0,640.0,24
2,36000.0,671.0,24
2,37000.0,737.0,24
2,38000.0,781.0,24
2,39000.0,803.0,24
2,40000.0,902.0,24
2,41000.0,924.0,24
2,42000.0,935.0,24
2,43000.0,946.0,24
2,44000.0,957.0,24
2,45000.0,967.0,24
2,46000.0,977.0,24
2,47000.0,987.0,24
2,48000.0,997.0,24
2,49000.0,1007.0,24
2,50000.0,1027.0,24
3,1000.0,18.0,24
3,2000.0,24.0,24
3,3000.0,49.0,24
3,4000.0,70.0,24
3,5000.0,84.0,24
3,6000.0,91.0,24
3,7000.0,98.0,24
3,8000.0,121.0,24
3,9000.0,147.0,24
3,10000.0,183.0,24
3,11000.0,201.0,24
3,12000.0,210.0,24
3,13000.0,228.0,24
3,14000.0,237.0,24
3,15000.0,247.0,24
3,16000.0,269.0,24
3,17000.0,280.0,24
3,18000.0,291.0,24
3,19000.0,315.0,24
3,20000.0,328.0,24
3,21000.0,339.0,24
3,22000.0,363.0,24
3,23000.0,375.0,24
3,24000.0,387.0,24
3,25000.0,411.0,24
3,26000.0,423.0,24
3,27000.0,435.0,24
3,28000.0,488.0,24
3,29000.0,512.0,24
3,30000.0,558.0,24
3,31000.0,624.0,24
3,32000.0,657.0,24
3,33000.0,712.0,24
3,34000.0,767.0,24
3,35000.0,811.0,24
3,36000.0,855.0,24
3,37000.0,866.0,24
3,38000.0,877.0,24
3,39000.0,902.0,24
3,40000.0,928.0,24
3,41000.0,941.0,24
3,42000.0,969.0,24
