rep,host,t,Ec
0,0,1000.0,1.0
0,0,2000.0,0.0
0,0,3000.0,0.24631242781236
0,0,4000.0,0.33896467684098
0,0,5000.0,0.23984953928419
0,0,6000.0,0.17381329645712
0,0,7000.0,0.32536113151716
0,0,8000.0,0.31943618938554
0,0,9000.0,0.20351327097967
0,0,10000.0,0.28993807435092
0,0,11000.0,0.25429297843604
0,0,12000.0,0.2087997914396
0,0,13000.0,0.33929211715502
0,0,14000.0,0.26625378153435
0,0,15000.0,0.19940074898781
0,0,16000.0,0.29803576909202
0,0,17000.0,0.2468758169979
0,0,18000.0,0.26598313141248
0,0,19000.0,0.31976032081524
0,0,20000.0,0.2159262151343
0,0,21000.0,0.25677519075337
0,0,22000.0,0.22835365470381
0,0,23000.0,0.15437741530111
0,0,24000.0,0.27353755050647
0,0,25000.0,0.23068742345544
0,0,26000.0,0.21809712148002
0,0,27000.0,0.24193338302238
0,0,28000.0,0.29186745655634
0,0,29000.0,0.21937082651427
0,0,30000.0,0.21470042534156
0,0,31000.0,0.29241057726825
0,0,32000.0,0.20947907310533
0,0,33000.0,0.20141268230632
0,0,34000.0,0.2738744777697
0,0,35000.0,0.25996554106308
0,0,36000.0,0.25252358339997
0,0,37000.0,0.22655991962475
0,0,38000.0,0.17559152959082
0,0,39000.0,0.27908384678219
0,0,40000.0,0.23154134038011
0,0,41000.0,0.12419373250902
0,0,42000.0,0.12936534004879
0,0,43000.0,0.16010072425312
0,0,44000.0,0.22196627368157
0,0,45000.0,0.070908189560642
0,0,46000.0,0.10796415974817
0,0,47000.0,0.18535461796744
0,0,48000.0,0.17232880692763
0,0,49000.0,0.18401286381046
0,0,50000.0,0.14372525968061
0,1,1000.0,1.0
0,1,2000.0,0.0
0,1,3000.0,0.30660048110595
0,1,4000.0,0.38927481774938
0,1,5000.0,0.29039278912565
0,1,6000.0,0.29623960276726
0,1,7000.0,0.31732998971666
0,1,8000.0,0.3495404293969
0,1,9000.0,0.34744385961319
0,1,10000.0,0.32333881101715
0,1,11000.0,0.29700142640008
0,1,12000.0,0.29401621211845
0,1,13000.0,0.27195271720584
0,1,14000.0,0.31616706896308
0,1,15000.0,0.25603407544464
0,1,16000.0,0.22752217316989
0,1,17000.0,0.21141178661795
