rep,t,mean_delay_sec,n_hosts_used
0,5000.0,0.2337706348377857,14
0,6000.0,0.1825555128405,18
0,7000.0,0.1825555128405,18
0,8000.0,0.004385409546375001,8
0,9000.0,0.005648302840266667,15
0,10000.0,0.005269439126647059,17
0,11000.0,0.005872215438857143,14
0,12000.0,0.007583503541181818,11
0,13000.0,0.006274404748611111,18
0,14000.0,0.0060810968583333335,21
0,15000.0,0.005552794440588236,17
0,16000.0,0.0059467283742142855,14
0,17000.0,0.005482323454352941,17
0,18000.0,0.0045869437840588235,17
0,19000.0,0.00588144921175,16
0,20000.0,0.005015003014705883,17
0,21000.0,0.004980975635,16
0,22000.0,0.0046723843385625,16
0,23000.0,0.0064707571155,12
0,24000.0,0.00905290543075,16
0,25000.0,0.0085327416404,15
0,26000.0,0.007712993569428571,14
0,27000.0,0.005473807290105263,19
0,28000.0,0.0063864021905000005,18
0,29000.0,0.006424940004904763,21
0,30000.0,0.006712323308600001,10
0,31000.0,0.008703434008,14
0,32000.0,0.008730310098230769,13
0,33000.0,0.008204647486647058,17
0,34000.0,0.006382155734888889,18
0,35000.0,0.006784786002789474,19
0,36000.0,0.0072915756090625,16
0,37000.0,0.0071714039674166665,12
0,38000.0,0.006260116431428571,14
0,39000.0,0.005820397306263158,19
0,40000.0,0.005795726670875,16
0,41000.0,0.007070126839454546,11
0,42000.0,0.006291714348214286,14
0,43000.0,0.006315995080388889,18
0,44000.0,0.0060284426177,20
0,45000.0,0.008467032557642858,14
0,46000.0,0.008519135448444445,18
0,47000.0,0.008469502972058824,17
0,48000.0,0.007439709898533334,15
0,49000.0,0.006406362780285714,14
0,50000.0,0.006078243390066667,15
1,5000.0,0.052355404735727265,11
1,6000.0,0.03905528180033333,15
1,7000.0,0.036982917081375,16
1,8000.0,0.379484083316,8
1,9000.0,0.23729195543238457,13
1,10000.0,0.2058730224356,15
1,11000.0,0.020233565632,19
1,12000.0,0.026725333687846152,13
1,13000.0,0.020899690604388888,18
1,14000.0,0.15627880278385,20
1,15000.0,0.14272526688922726,22
1,16000.0,0.17308410479711112,18
1,17000.0,0.0064520738722,15
1,18000.0,0.005854040394,14
1,19000.0,0.011068174111470588,17
1,20000.0,0.0118712152203125,16
1,21000.0,0.011174409943210527,19
1,22000.0,0.007607721513944445,18
1,23000.0,0.007060340928764707,17
1,24000.0,0.1941132797685625,16
1,25000.0,0.21928843376671425,14
1,26000.0,0.23546606049884614,13
1,27000.0,0.0062653378554375005,16
1,28000.0,0.00747342755645,20
1,29000.0,0.0066145677380000005,20
1,30000.0,0.0058443559114000005,15
1,31000.0,0.005013083804111111,9
1,32000.0,0.006385496725833333,12
1,33000.0,0.004929769112466666,15
1,34000.0,0.005309366068066667,15
1,35000.0,0.0059160412304,15
1,36000.0,0.006941882529454545,11
1,37000.0,0.00558197893325,16
1,38000.0,0.004969606477272727,11
1,39000.0,0.005358360315076923,13
1,40000.0,0.005898594028000001,11
1,41000.0,0.006578904434,13
1,42000.0,0.006896299318846153,13
1,43000.0,0.0065701355973571424,14
1,44000.0,0.0057657470066,15
1,45000.0,0.005456936008769231,13
1,46000.0,0.0092709259459,10
1,47000.0,0.010232805846454545,11
1,48000.0,0.009134497200733335,15
1,49000.0,0.006016225379888889,18
1,50000.0,0.0049465730981875,16
2,5000.0,0.04649467080654546,11
2,6000.0,0.03809734248214286,14
2,7000.0,0.034141693050625,16
2,8000.0,0.2373736091430769,13
2,9000.0,0.18321973197705882,17
2,10000.0,0.17351598734844445,18
2,11000.0,0.009781690794928572,14
2,12000.0,0.011387166392636365,11
2,13000.0,0.009762090858764706,17
2,14000.0,0.007412952175866666,15
2,15000.0,0.007815640042,17
2,16000.0,0.007864198377666666,12
2,17000.0,0.6744728755080555,18
2,18000.0,0.712497368823,17
2,19000.0,0.6065240772723499,20
2,20000.0,0.0062680605311875,16
2,21000.0,0.0065917437693125,16
2,22000.0,0.007487656680117646,17
2,23000.0,0.0070032779424117645,17
2,24000.0,0.007157064319125,16
2,25000.0,0.006452352238307692,13
2,26000.0,0.007141184658416667,12
2,27000.0,0.00757170664682353,17
2,28000.0,0.008023428680307691,13
2,29000.0,0.0076388160602857145,14
2,30000.0,0.0069753184378999996,10
2,31000.0,0.0061702393153636355,11
2,32000.0,0.006585331936,15
2,33000.0,0.006550384471214287,14
2,34000.0,0.0069334735286,20
2,35000.0,0.0066421875145,16
2,36000.0,0.006336942929,14
2,37000.0,0.007365114482909091,11
2,38000.0,0.00790634354822222,9
