run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-2-20251226-16:19:21-135923,runattr,,,configname,General,,
General-2-20251226-16:19:21-135923,runattr,,,datetime,20251226-16:19:21,,
General-2-20251226-16:19:21-135923,runattr,,,datetimef,20251226-161921,,
General-2-20251226-16:19:21-135923,runattr,,,experiment,General,,
General-2-20251226-16:19:21-135923,runattr,,,inifile,omnetpp.ini,,
General-2-20251226-16:19:21-135923,runattr,,,iterationvars,,,
General-2-20251226-16:19:21-135923,runattr,,,iterationvarsd,,,
General-2-20251226-16:19:21-135923,runattr,,,iterationvarsf,,,
General-2-20251226-16:19:21-135923,runattr,,,measurement,,,
General-2-20251226-16:19:21-135923,runattr,,,network,src.AdhocNetwork1,,
General-2-20251226-16:19:21-135923,runattr,,,processid,135923,,
General-2-20251226-16:19:21-135923,runattr,,,repetition,2,,
General-2-20251226-16:19:21-135923,runattr,,,replication,#2,,
General-2-20251226-16:19:21-135923,runattr,,,resultdir,results,,
General-2-20251226-16:19:21-135923,runattr,,,runnumber,2,,
General-2-20251226-16:19:21-135923,runattr,,,seedset,2,,
General-2-20251226-16:19:21-135923,config,,,image-path,../../../inet4.5/images,,
General-2-20251226-16:19:21-135923,config,,,repeat,5,,
General-2-20251226-16:19:21-135923,config,,,network,src.AdhocNetwork1,,
General-2-20251226-16:19:21-135923,config,,,sim-time-limit,50s,,
General-2-20251226-16:19:21-135923,config,,,*.host[*].ipv4.arp.typename,GlobalArp,,
General-2-20251226-16:19:21-135923,config,,,*.host[*].numApps,3,,
General-2-20251226-16:19:21-135923,config,,,*.host[*].app[0].typename,src.cluster.ClusterApp,,
General-2-20251226-16:19:21-135923,config,,,*.host[*].app[0].localPort,4000,,
General-2-20251226-16:19:21-135923,config,,,*.host[*].app[0].destPort,4000,,
General-2-20251226-16:19:21-135923,config,,,*.host[*].app[0].helloInterval,1s,,
General-2-20251226-16:19:21-135923,config,,,*.host[*].app[0].cfInterval,3s,,
General-2-20251226-16:19:21-135923,config,,,*.host[*].app[0].hldTimeThreshold,1s,,
