rep,t,mean_availability,n_hosts_used
0,1000.0,0.0,24
0,2000.0,0.6666666666666666,24
0,3000.0,0.6666666666666666,24
0,4000.0,0.6666666666666666,24
0,5000.0,0.5833333333333334,24
0,6000.0,0.75,24
0,7000.0,0.75,24
0,8000.0,0.3333333333333333,24
0,9000.0,0.625,24
0,10000.0,0.7083333333333334,24
0,11000.0,0.5833333333333334,24
0,12000.0,0.4583333333333333,24
0,13000.0,0.75,24
0,14000.0,0.875,24
0,15000.0,0.7083333333333334,24
0,16000.0,0.5833333333333334,24
0,17000.0,0.7083333333333334,24
0,18000.0,0.7083333333333334,24
0,19000.0,0.6666666666666666,24
0,20000.0,0.7083333333333334,24
0,21000.0,0.6666666666666666,24
0,22000.0,0.6666666666666666,24
0,23000.0,0.5,24
0,24000.0,0.6666666666666666,24
0,25000.0,0.625,24
0,26000.0,0.5833333333333334,24
0,27000.0,0.7916666666666666,24
0,28000.0,0.75,24
0,29000.0,0.875,24
0,30000.0,0.4166666666666667,24
0,31000.0,0.5833333333333334,24
0,32000.0,0.5416666666666666,24
0,33000.0,0.7083333333333334,24
0,34000.0,0.75,24
0,35000.0,0.7916666666666666,24
0,36000.0,0.6666666666666666,24
0,37000.0,0.5,24
0,38000.0,0.5833333333333334,24
0,39000.0,0.7916666666666666,24
0,40000.0,0.6666666666666666,24
0,41000.0,0.4583333333333333,24
0,42000.0,0.5833333333333334,24
0,43000.0,0.75,24
0,44000.0,0.8333333333333334,24
0,45000.0,0.5833333333333334,24
0,46000.0,0.75,24
0,47000.0,0.7083333333333334,24
0,48000.0,0.625,24
0,49000.0,0.5833333333333334,24
0,50000.0,0.625,24
1,1000.0,0.0,24
1,2000.0,0.4583333333333333,24
1,3000.0,0.4583333333333333,24
1,4000.0,0.4583333333333333,24
1,5000.0,0.4583333333333333,24
1,6000.0,0.625,24
1,7000.0,0.6666666666666666,24
1,8000.0,0.3333333333333333,24
1,9000.0,0.5416666666666666,24
1,10000.0,0.625,24
1,11000.0,0.7916666666666666,24
1,12000.0,0.5416666666666666,24
1,13000.0,0.75,24
1,14000.0,0.8333333333333334,24
1,15000.0,0.9166666666666666,24
1,16000.0,0.75,24
1,17000.0,0.625,24
1,18000.0,0.5833333333333334,24
1,19000.0,0.7083333333333334,24
1,20000.0,0.6666666666666666,24
1,21000.0,0.7916666666666666,24
1,22000.0,0.75,24
1,23000.0,0.7083333333333334,24
1,24000.0,0.6666666666666666,24
1,25000.0,0.5833333333333334,24
1,26000.0,0.5416666666666666,24
1,27000.0,0.6666666666666666,24
1,28000.0,0.8333333333333334,24
1,29000.0,0.8333333333333334,24
1,30000.0,0.625,24
1,31000.0,0.375,24
1,32000.0,0.5,24
1,33000.0,0.625,24
1,34000.0,0.625,24
1,35000.0,0.625,24
