rep,host,t,delay_sec
0,5,21000.0,0.005866138727
0,5,22000.0,
0,5,23000.0,
0,5,24000.0,
0,5,25000.0,
0,5,26000.0,
0,5,27000.0,0.008874488606
0,5,28000.0,0.008874488606
0,5,29000.0,0.008874488606
0,5,30000.0,
0,5,31000.0,
0,5,32000.0,
0,5,33000.0,
0,5,34000.0,0.016404822229
0,5,35000.0,0.016404822229
0,5,36000.0,0.016404822229
0,5,37000.0,
0,5,38000.0,
0,5,39000.0,
0,5,40000.0,
0,5,41000.0,
0,5,42000.0,0.009804335758
0,5,43000.0,0.009804335758
0,5,44000.0,0.009804335758
0,5,45000.0,
0,5,46000.0,0.015773106459
0,5,47000.0,0.015773106459
0,5,48000.0,0.015773106459
0,5,49000.0,
0,5,50000.0,0.009059051339
0,6,5000.0,0.043951754197
0,6,6000.0,0.043951754197
0,6,7000.0,0.043951754197
0,6,8000.0,
0,6,9000.0,
0,6,10000.0,
0,6,11000.0,
0,6,12000.0,0.012548048173
0,6,13000.0,0.012548048173
0,6,14000.0,0.012548048173
0,6,15000.0,
0,6,16000.0,0.008228564647
0,6,17000.0,0.008228564647
0,6,18000.0,0.008228564647
0,6,19000.0,
0,6,20000.0,
0,6,21000.0,
0,6,22000.0,
0,6,23000.0,0.011243519894
0,6,24000.0,0.011243519894
0,6,25000.0,0.011243519894
0,6,26000.0,
0,6,27000.0,0.00904951222
0,6,28000.0,0.00904951222
0,6,29000.0,0.00904951222
0,6,30000.0,
0,6,31000.0,
0,6,32000.0,
0,6,33000.0,
0,6,34000.0,
0,6,35000.0,0.010799211399
0,6,36000.0,0.010799211399
0,6,37000.0,0.010799211399
0,6,38000.0,
0,6,39000.0,0.00975600434
0,6,40000.0,0.00975600434
0,6,41000.0,0.00975600434
0,6,42000.0,
0,6,43000.0,
0,6,44000.0,0.010416515247
0,6,45000.0,0.010416515247
0,6,46000.0,0.010416515247
0,6,47000.0,
0,6,48000.0,0.011181780475
0,6,49000.0,0.011181780475
0,6,50000.0,0.011181780475
0,7,5000.0,0.0
0,7,6000.0,0.0
0,7,7000.0,0.0
0,7,8000.0,
0,7,9000.0,0.0
0,7,10000.0,0.0
0,7,11000.0,0.0
0,7,12000.0,
0,7,13000.0,0.0
0,7,14000.0,0.0
0,7,15000.0,0.0
0,7,16000.0,0.0
0,7,17000.0,0.0
0,7,18000.0,0.0
0,7,19000.0,
0,7,20000.0,0.0
0,7,21000.0,0.0
0,7,22000.0,0.0
0,7,23000.0,
0,7,24000.0,0.0
0,7,25000.0,0.0
0,7,26000.0,0.0
0,7,27000.0,0.0
0,7,28000.0,0.0
0,7,29000.0,0.0
0,7,30000.0,
0,7,31000.0,
0,7,32000.0,0.0
0,7,33000.0,0.0
0,7,34000.0,0.0
0,7,35000.0,
0,7,36000.0,0.0
0,7,37000.0,0.0
0,7,38000.0,0.0
0,7,39000.0,0.0
0,7,40000.0,0.0
0,7,41000.0,0.0
0,7,42000.0,
0,7,43000.0,
0,7,44000.0,0.0
0,7,45000.0,0.0
0,7,46000.0,0.0
0,7,47000.0,
0,7,48000.0,
0,7,49000.0,0.0
0,7,50000.0,0.0
0,8,5000.0,
0,8,6000.0,
0,8,7000.0,
0,8,8000.0,
0,8,9000.0,0.012032995273
0,8,10000.0,0.012032995273
0,8,11000.0,0.012032995273
0,8,12000.0,
0,8,13000.0,
0,8,14000.0,0.008549956181
0,8,15000.0,0.008549956181
0,8,16000.0,0.008549956181
0,8,17000.0,
0,8,18000.0,
0,8,19000.0,0.012152326138
0,8,20000.0,0.012152326138
0,8,21000.0,0.012152326138
0,8,22000.0,
0,8,23000.0,
0,8,24000.0,0.020182880492
0,8,25000.0,0.020182880492
0,8,26000.0,0.020182880492
0,8,27000.0,
0,8,28000.0,0.015635106959
0,8,29000.0,0.015635106959
0,8,30000.0,0.015635106959
0,8,31000.0,0.011834777062
0,8,32000.0,0.011834777062
0,8,33000.0,0.011834777062
0,8,34000.0,
0,8,35000.0,
0,8,36000.0,
0,8,37000.0,
0,8,38000.0,
0,8,39000.0,0.014076823298
0,8,40000.0,0.014076823298
0,8,41000.0,0.014076823298
0,8,42000.0,0.009880711879
0,8,43000.0,0.009880711879
0,8,44000.0,0.009880711879
0,8,45000.0,
0,8,46000.0,
0,8,47000.0,
0,8,48000.0,
0,8,49000.0,
0,8,50000.0,
0,9,5000.0,
0,9,6000.0,0.004172033967
0,9,7000.0,0.004172033967
0,9,8000.0,0.004172033967
0,9,9000.0,
0,9,10000.0,
0,9,11000.0,
0,9,12000.0,
0,9,13000.0,0.00560358688
0,9,14000.0,0.00560358688
0,9,15000.0,0.00560358688
0,9,16000.0,
0,9,17000.0,
0,9,18000.0,
0,9,19000.0,0.005009011143
0,9,20000.0,0.005009011143
0,9,21000.0,0.005009011143
0,9,22000.0,
0,9,23000.0,0.005199171091
0,9,24000.0,0.005199171091
0,9,25000.0,0.005199171091
0,9,26000.0,
0,9,27000.0,0.005484828061
0,9,28000.0,0.005484828061
0,9,29000.0,0.005484828061
0,9,30000.0,
0,9,31000.0,
0,9,32000.0,
0,9,33000.0,
0,9,34000.0,0.005760057575
0,9,35000.0,0.005760057575
0,9,36000.0,0.005760057575
0,9,37000.0,0.007864543026
0,9,38000.0,0.007864543026
0,9,39000.0,0.007864543026
0,9,40000.0,
0,9,41000.0,0.010183345905
0,9,42000.0,0.010183345905
0,9,43000.0,0.010183345905
0,9,44000.0,
0,9,45000.0,0.035784595378
0,9,46000.0,0.035784595378
0,9,47000.0,0.035784595378
0,9,48000.0,
0,9,49000.0,0.006384301934
0,9,50000.0,0.006384301934
0,10,5000.0,0.002738457382
0,10,6000.0,0.002738457382
0,10,7000.0,0.002738457382
0,10,8000.0,0.003337910286
0,10,9000.0,0.003337910286
0,10,10000.0,0.003337910286
0,10,11000.0,
0,10,12000.0,0.003057428891
0,10,13000.0,0.003057428891
0,10,14000.0,0.003057428891
0,10,15000.0,
0,10,16000.0,0.003342216994
0,10,17000.0,0.003342216994
0,10,18000.0,0.003342216994
0,10,19000.0,
0,10,20000.0,0.002956383606
0,10,21000.0,0.002956383606
0,10,22000.0,0.002956383606
0,10,23000.0,
0,10,24000.0,0.006954399755
0,10,25000.0,0.006954399755
0,10,26000.0,0.006954399755
0,10,27000.0,0.00321537514
0,10,28000.0,0.00321537514
0,10,29000.0,0.00321537514
0,10,30000.0,
0,10,31000.0,0.002334868056
0,10,32000.0,0.002334868056
0,10,33000.0,0.002334868056
0,10,34000.0,
0,10,35000.0,0.002654268543
0,10,36000.0,0.002654268543
0,10,37000.0,0.002654268543
0,10,38000.0,
0,10,39000.0,0.002153779621
0,10,40000.0,0.002153779621
0,10,41000.0,0.002153779621
0,10,42000.0,0.003393335217
0,10,43000.0,0.003393335217
0,10,44000.0,0.003393335217
0,10,45000.0,
0,10,46000.0,0.002772954201
0,10,47000.0,0.002772954201
0,10,48000.0,0.002772954201
0,10,49000.0,
0,10,50000.0,0.0023528039
0,11,5000.0,0.005834599361
0,11,6000.0,0.005834599361
0,11,7000.0,0.005834599361
0,11,8000.0,
0,11,9000.0,0.005349021573
0,11,10000.0,0.005349021573
0,11,11000.0,0.005349021573
0,11,12000.0,
0,11,13000.0,
0,11,14000.0,
0,11,15000.0,
0,11,16000.0,
0,11,17000.0,0.004750776592
0,11,18000.0,0.004750776592
0,11,19000.0,0.004750776592
0,11,20000.0,0.002860418191
0,11,21000.0,0.002860418191
0,11,22000.0,0.002860418191
0,11,23000.0,
0,11,24000.0,0.002660185251
0,11,25000.0,0.002660185251
0,11,26000.0,0.002660185251
0,11,27000.0,0.004229948706
0,11,28000.0,0.004229948706
0,11,29000.0,0.004229948706
0,11,30000.0,
0,11,31000.0,0.004196925668
0,11,32000.0,0.004196925668
0,11,33000.0,0.004196925668
0,11,34000.0,
0,11,35000.0,0.003239633663
0,11,36000.0,0.003239633663
0,11,37000.0,0.003239633663
0,11,38000.0,0.002419701648
0,11,39000.0,0.002419701648
0,11,40000.0,0.002419701648
0,11,41000.0,
0,11,42000.0,0.003240002627
0,11,43000.0,0.003240002627
0,11,44000.0,0.003240002627
0,11,45000.0,
0,11,46000.0,0.002740427513
0,11,47000.0,0.002740427513
0,11,48000.0,0.002740427513
0,11,49000.0,
0,11,50000.0,
0,12,5000.0,0.017500689321
0,12,6000.0,0.017500689321
0,12,7000.0,0.017500689321
0,12,8000.0,
0,12,9000.0,
0,12,10000.0,
0,12,11000.0,
0,12,12000.0,0.006942719902
0,12,13000.0,0.006942719902
0,12,14000.0,0.006942719902
0,12,15000.0,0.008714802102
0,12,16000.0,0.008714802102
0,12,17000.0,0.008714802102
0,12,18000.0,
0,12,19000.0,
0,12,20000.0,0.007708286715
0,12,21000.0,0.007708286715
0,12,22000.0,0.007708286715
0,12,23000.0,
0,12,24000.0,
0,12,25000.0,
0,12,26000.0,
0,12,27000.0,0.009377829828
0,12,28000.0,0.009377829828
0,12,29000.0,0.009377829828
0,12,30000.0,
0,12,31000.0,
0,12,32000.0,0.008531332204
0,12,33000.0,0.008531332204
0,12,34000.0,0.008531332204
0,12,35000.0,0.010528282173
0,12,36000.0,0.010528282173
0,12,37000.0,0.010528282173
0,12,38000.0,
0,12,39000.0,
0,12,40000.0,
0,12,41000.0,
0,12,42000.0,
0,12,43000.0,0.009515812868
0,12,44000.0,0.009515812868
0,12,45000.0,0.009515812868
0,12,46000.0,
0,12,47000.0,0.006963969437
0,12,48000.0,0.006963969437
0,12,49000.0,0.006963969437
0,12,50000.0,
0,13,5000.0,0.079924766678
0,13,6000.0,0.079924766678
0,13,7000.0,0.079924766678
0,13,8000.0,
0,13,9000.0,
0,13,10000.0,
0,13,11000.0,
0,13,12000.0,0.008078103205
0,13,13000.0,0.008078103205
0,13,14000.0,0.008078103205
0,13,15000.0,
0,13,16000.0,
0,13,17000.0,
0,13,18000.0,
0,13,19000.0,0.008927023776
0,13,20000.0,0.008927023776
0,13,21000.0,0.008927023776
0,13,22000.0,
0,13,23000.0,0.006369437972
0,13,24000.0,0.006369437972
0,13,25000.0,0.006369437972
0,13,26000.0,
0,13,27000.0,0.00803478671
0,13,28000.0,0.00803478671
0,13,29000.0,0.00803478671
0,13,30000.0,
0,13,31000.0,0.007162721051
0,13,32000.0,0.007162721051
