rep,t,mean_globalNumCH,n_hosts_used
0,1000.0,3.0,9
0,2000.0,7.0,9
0,3000.0,8.0,9
0,4000.0,6.0,9
0,5000.0,5.0,9
0,6000.0,6.0,9
0,7000.0,6.0,9
0,8000.0,6.0,9
0,9000.0,6.0,9
0,10000.0,6.0,9
0,11000.0,5.0,9
0,12000.0,5.0,9
0,13000.0,4.0,9
0,14000.0,3.0,9
0,15000.0,4.0,9
0,16000.0,3.0,9
0,17000.0,3.0,9
0,18000.0,4.0,9
0,19000.0,5.0,9
0,20000.0,4.0,9
0,21000.0,4.0,9
0,22000.0,4.0,9
0,23000.0,4.0,9
0,24000.0,5.0,9
0,25000.0,5.0,9
0,26000.0,5.0,9
0,27000.0,5.0,9
0,28000.0,5.0,9
0,29000.0,5.0,9
0,30000.0,5.0,9
0,31000.0,5.0,9
0,32000.0,5.0,9
0,33000.0,5.0,9
0,34000.0,5.0,9
0,35000.0,6.0,9
0,36000.0,5.0,9
0,37000.0,5.0,9
0,38000.0,4.0,9
0,39000.0,4.0,9
0,40000.0,4.0,9
0,41000.0,4.0,9
0,42000.0,4.0,9
0,43000.0,4.0,9
0,44000.0,4.0,9
0,45000.0,4.0,9
0,46000.0,4.0,9
0,47000.0,4.0,9
0,48000.0,4.0,9
0,49000.0,4.0,9
0,50000.0,4.0,9
1,1000.0,3.0,9
1,2000.0,7.0,9
1,3000.0,8.0,9
1,4000.0,6.0,9
1,5000.0,6.0,9
1,6000.0,6.0,9
1,7000.0,6.0,9
1,8000.0,6.0,9
1,9000.0,6.0,9
1,10000.0,7.0,9
1,11000.0,7.0,9
1,12000.0,6.0,9
1,13000.0,6.0,9
1,14000.0,6.0,9
1,15000.0,6.0,9
1,16000.0,6.0,9
1,17000.0,6.0,9
1,18000.0,6.0,9
1,19000.0,6.0,9
1,20000.0,6.0,9
1,21000.0,6.0,9
1,22000.0,6.0,9
1,23000.0,6.0,9
1,24000.0,6.0,9
1,25000.0,6.0,9
1,26000.0,6.0,9
1,27000.0,6.0,9
1,28000.0,5.0,9
1,29000.0,5.0,9
1,30000.0,5.0,9
1,31000.0,5.0,9
1,32000.0,5.0,9
1,33000.0,5.0,9
1,34000.0,5.0,9
1,35000.0,5.0,9
1,36000.0,5.0,9
1,37000.0,5.0,9
1,38000.0,4.0,9
1,39000.0,6.0,9
1,40000.0,6.0,9
1,41000.0,4.0,9
1,42000.0,6.0,9
1,43000.0,6.0,9
1,44000.0,6.0,9
1,45000.0,6.0,9
1,46000.0,5.0,9
1,47000.0,5.0,9
1,48000.0,5.0,9
1,49000.0,5.0,9
1,50000.0,5.0,9
2,1000.0,4.0,9
2,2000.0,5.0,9
2,3000.0,7.0,9
2,4000.0,5.0,9
2,5000.0,6.0,9
2,6000.0,5.0,9
2,7000.0,5.0,9
2,8000.0,5.0,9
2,9000.0,5.0,9
2,10000.0,4.0,9
2,11000.0,5.0,9
2,12000.0,5.0,9
2,13000.0,5.0,9
2,14000.0,5.0,9
2,15000.0,5.0,9
2,16000.0,5.0,9
2,17000.0,5.0,9
2,18000.0,4.0,9
2,19000.0,4.0,9
2,20000.0,5.0,9
2,21000.0,4.0,9
2,22000.0,4.0,9
2,23000.0,4.0,9
2,24000.0,4.0,9
