rep,host,t,TotalClusterMsgSent
0,0,1000.0,4.0
0,0,2000.0,8.0
0,0,3000.0,17.0
0,0,4000.0,22.0
0,0,5000.0,27.0
0,0,6000.0,37.0
0,0,7000.0,42.0
0,0,8000.0,47.0
0,0,9000.0,57.0
0,0,10000.0,62.0
0,0,11000.0,68.0
0,0,12000.0,80.0
0,0,13000.0,86.0
0,0,14000.0,92.0
0,0,15000.0,102.0
0,0,16000.0,107.0
0,0,17000.0,115.0
0,0,18000.0,119.0
0,0,19000.0,123.0
0,0,20000.0,127.0
0,0,21000.0,135.0
0,0,22000.0,139.0
0,0,23000.0,143.0
0,0,24000.0,149.0
0,0,25000.0,152.0
0,0,26000.0,155.0
0,0,27000.0,157.0
0,0,28000.0,159.0
0,0,29000.0,161.0
0,0,30000.0,165.0
0,0,31000.0,167.0
0,0,32000.0,169.0
0,0,33000.0,173.0
0,0,34000.0,175.0
0,0,35000.0,177.0
0,0,36000.0,179.0
0,0,37000.0,181.0
0,0,38000.0,183.0
0,0,39000.0,187.0
0,0,40000.0,189.0
0,0,41000.0,191.0
0,0,42000.0,195.0
0,0,43000.0,197.0
0,0,44000.0,199.0
0,0,45000.0,203.0
0,0,46000.0,205.0
0,0,47000.0,207.0
0,0,48000.0,211.0
0,0,49000.0,213.0
0,0,50000.0,215.0
0,1,1000.0,3.0
0,1,2000.0,7.0
0,1,3000.0,15.0
0,1,4000.0,19.0
0,1,5000.0,23.0
0,1,6000.0,31.0
0,1,7000.0,35.0
0,1,8000.0,39.0
0,1,9000.0,47.0
0,1,10000.0,51.0
0,1,11000.0,55.0
0,1,12000.0,63.0
0,1,13000.0,67.0
0,1,14000.0,71.0
0,1,15000.0,80.0
0,1,16000.0,83.0
0,1,17000.0,89.0
0,1,18000.0,95.0
0,1,19000.0,98.0
0,1,20000.0,101.0
0,1,21000.0,110.0
0,1,22000.0,113.0
0,1,23000.0,115.0
0,1,24000.0,119.0
0,1,25000.0,121.0
0,1,26000.0,123.0
0,1,27000.0,125.0
0,1,28000.0,127.0
0,1,29000.0,129.0
0,1,30000.0,131.0
0,1,31000.0,133.0
0,1,32000.0,135.0
0,1,33000.0,137.0
0,1,34000.0,140.0
0,1,35000.0,143.0
0,1,36000.0,149.0
0,1,37000.0,152.0
0,1,38000.0,155.0
0,1,39000.0,161.0
0,1,40000.0,164.0
0,1,41000.0,167.0
0,1,42000.0,172.0
0,1,43000.0,174.0
0,1,44000.0,175.0
0,1,45000.0,177.0
0,1,46000.0,178.0
0,1,47000.0,179.0
0,1,48000.0,180.0
0,1,49000.0,181.0
0,1,50000.0,182.0
0,2,1000.0,2.0
0,2,2000.0,3.0
0,2,3000.0,4.0
0,2,4000.0,6.0
0,2,5000.0,7.0
0,2,6000.0,9.0
0,2,7000.0,10.0
0,2,8000.0,11.0
0,2,9000.0,12.0
0,2,10000.0,13.0
0,2,11000.0,16.0
0,2,12000.0,19.0
0,2,13000.0,25.0
0,2,14000.0,28.0
0,2,15000.0,31.0
0,2,16000.0,37.0
0,2,17000.0,40.0
0,2,18000.0,42.0
0,2,19000.0,46.0
0,2,20000.0,48.0
0,2,21000.0,50.0
0,2,22000.0,52.0
0,2,23000.0,54.0
0,2,24000.0,56.0
0,2,25000.0,58.0
0,2,26000.0,60.0
0,2,27000.0,62.0
0,2,28000.0,64.0
0,2,29000.0,66.0
0,2,30000.0,68.0
0,2,31000.0,72.0
0,2,32000.0,74.0
0,2,33000.0,76.0
0,2,34000.0,80.0
0,2,35000.0,82.0
0,2,36000.0,84.0
0,2,37000.0,86.0
0,2,38000.0,88.0
0,2,39000.0,90.0
0,2,40000.0,95.0
0,2,41000.0,98.0
0,2,42000.0,101.0
0,2,43000.0,107.0
0,2,44000.0,110.0
0,2,45000.0,113.0
0,2,46000.0,121.0
0,2,47000.0,125.0
0,2,48000.0,129.0
0,2,49000.0,137.0
0,2,50000.0,141.0
0,4,1000.0,2.0
0,4,2000.0,3.0
0,4,3000.0,4.0
0,4,4000.0,6.0
0,4,5000.0,7.0
0,4,6000.0,8.0
0,4,7000.0,11.0
0,4,8000.0,13.0
0,4,9000.0,15.0
0,4,10000.0,19.0
0,4,11000.0,21.0
0,4,12000.0,23.0
0,4,13000.0,27.0
0,4,14000.0,29.0
0,4,15000.0,31.0
0,4,16000.0,35.0
0,4,17000.0,36.0
0,4,18000.0,37.0
0,4,19000.0,39.0
0,4,20000.0,41.0
0,4,21000.0,42.0
0,4,22000.0,43.0
0,4,23000.0,44.0
0,4,24000.0,45.0
0,4,25000.0,46.0
0,4,26000.0,47.0
0,4,27000.0,48.0
0,4,28000.0,49.0
0,4,29000.0,50.0
0,4,30000.0,51.0
0,4,31000.0,52.0
0,4,32000.0,54.0
0,4,33000.0,55.0
0,4,34000.0,56.0
0,4,35000.0,58.0
0,4,36000.0,59.0
0,4,37000.0,60.0
0,4,38000.0,62.0
0,4,39000.0,63.0
0,4,40000.0,64.0
0,4,41000.0,65.0
0,4,42000.0,66.0
0,4,43000.0,67.0
0,4,44000.0,68.0
0,4,45000.0,69.0
0,4,46000.0,71.0
0,4,47000.0,75.0
0,4,48000.0,77.0
0,4,49000.0,79.0
0,4,50000.0,83.0
0,5,1000.0,3.0
0,5,2000.0,8.0
0,5,3000.0,10.0
0,5,4000.0,12.0
0,5,5000.0,14.0
0,5,6000.0,16.0
0,5,7000.0,18.0
0,5,8000.0,20.0
0,5,9000.0,22.0
0,5,10000.0,24.0
0,5,11000.0,30.0
0,5,12000.0,33.0
0,5,13000.0,36.0
0,5,14000.0,39.0
0,5,15000.0,47.0
0,5,16000.0,55.0
0,5,17000.0,71.0
0,5,18000.0,75.0
0,5,19000.0,83.0
0,5,20000.0,91.0
0,5,21000.0,107.0
0,5,22000.0,111.0
0,5,23000.0,117.0
0,5,24000.0,123.0
0,5,25000.0,129.0
0,5,26000.0,134.0
0,5,27000.0,136.0
0,5,28000.0,140.0
0,5,29000.0,144.0
0,5,30000.0,146.0
0,5,31000.0,150.0
0,5,32000.0,152.0
0,5,33000.0,153.0
0,5,34000.0,155.0
0,5,35000.0,156.0
0,5,36000.0,157.0
0,5,37000.0,159.0
0,5,38000.0,160.0
0,5,39000.0,161.0
0,5,40000.0,163.0
0,5,41000.0,164.0
0,5,42000.0,165.0
0,5,43000.0,167.0
0,5,44000.0,168.0
0,5,45000.0,169.0
0,5,46000.0,171.0
0,5,47000.0,172.0
0,5,48000.0,173.0
0,5,49000.0,175.0
0,5,50000.0,176.0
0,6,1000.0,3.0
0,6,2000.0,5.0
0,6,3000.0,11.0
0,6,4000.0,13.0
0,6,5000.0,15.0
0,6,6000.0,19.0
0,6,7000.0,21.0
0,6,8000.0,23.0
0,6,9000.0,25.0
0,6,10000.0,27.0
0,6,11000.0,30.0
0,6,12000.0,33.0
0,6,13000.0,36.0
0,6,14000.0,43.0
0,6,15000.0,59.0
0,6,16000.0,67.0
0,6,17000.0,71.0
0,6,18000.0,75.0
0,6,19000.0,83.0
0,6,20000.0,87.0
0,6,21000.0,91.0
0,6,22000.0,95.0
0,6,23000.0,99.0
0,6,24000.0,102.0
0,6,25000.0,108.0
0,6,26000.0,111.0
0,6,27000.0,114.0
0,6,28000.0,120.0
0,6,29000.0,123.0
0,6,30000.0,126.0
0,6,31000.0,132.0
0,6,32000.0,135.0
0,6,33000.0,138.0
0,6,34000.0,144.0
0,6,35000.0,147.0
0,6,36000.0,150.0
0,6,37000.0,156.0
0,6,38000.0,159.0
0,6,39000.0,162.0
0,6,40000.0,168.0
0,6,41000.0,171.0
0,6,42000.0,174.0
0,6,43000.0,179.0
0,6,44000.0,181.0
0,6,45000.0,183.0
0,6,46000.0,187.0
0,6,47000.0,189.0
0,6,48000.0,191.0
0,6,49000.0,195.0
0,6,50000.0,197.0
0,7,1000.0,0.0
0,7,2000.0,0.0
0,7,3000.0,0.0
0,7,4000.0,0.0
0,7,5000.0,0.0
0,7,6000.0,0.0
0,7,7000.0,0.0
0,7,8000.0,0.0
0,7,9000.0,0.0
