rep,host,t,Ec
0,0,1000.0,1.0
0,0,2000.0,0.0
0,0,3000.0,0.11540285784437
0,0,4000.0,0.24400325518975
0,0,5000.0,0.23607962845298
0,0,6000.0,0.0
0,0,7000.0,0.19856370244184
0,0,8000.0,0.29347003086152
0,0,9000.0,0.10574111229093
0,0,10000.0,0.15643904998353
0,0,11000.0,0.14831253841936
0,0,12000.0,0.27272063702686
0,0,13000.0,0.066278632333802
0,0,14000.0,0.19106437310172
0,0,15000.0,0.1644037830453
0,0,16000.0,0.14088792695436
0,0,17000.0,0.22318274013296
0,0,18000.0,0.21518980337003
0,0,19000.0,0.14422887041174
0,0,20000.0,0.19733981864929
0,0,21000.0,0.18297370232928
0,0,22000.0,0.061839546579429
0,0,23000.0,0.24987187603579
0,0,24000.0,0.2495332916937
0,0,25000.0,0.19074477627297
0,0,26000.0,0.1714693995365
0,0,27000.0,0.096224380745817
0,0,28000.0,0.29309142268306
0,0,29000.0,0.3100046399778
0,0,30000.0,0.26618631445791
0,0,31000.0,0.18228584787394
0,0,32000.0,0.26209751105254
0,0,33000.0,0.22721337097027
0,0,34000.0,0.30300952715313
0,0,35000.0,0.26713370849613
0,0,36000.0,0.270520185332
0,0,37000.0,0.2955627067911
0,0,38000.0,0.29292658249454
0,0,39000.0,0.23608035494849
0,0,40000.0,0.29781772057176
0,0,41000.0,0.24460467023349
0,0,42000.0,0.31052328113024
0,0,43000.0,0.18615629550404
0,0,44000.0,0.31196100875775
0,0,45000.0,0.25921610455547
0,0,46000.0,0.29022584084329
0,0,47000.0,0.31500329927944
0,0,48000.0,0.19934746676048
0,0,49000.0,0.17792483584334
0,0,50000.0,0.3114546196982
0,1,1000.0,1.0
0,1,2000.0,0.0
0,1,3000.0,0.0
0,1,4000.0,0.18320681782848
0,1,5000.0,0.2172797447381
0,1,6000.0,0.0
0,1,7000.0,0.22245170572652
0,1,8000.0,0.26817726488291
0,1,9000.0,0.16821873767451
0,1,10000.0,0.22099097827452
0,1,11000.0,0.23236024643867
0,1,12000.0,0.24916833923228
0,1,13000.0,0.16729276891303
0,1,14000.0,0.23677610261295
0,1,15000.0,0.1802183751372
0,1,16000.0,0.17333574927846
0,1,17000.0,0.24058124545691
0,1,18000.0,0.2497960266014
