rep,t,mean_Ec,n_hosts_used
0,1000.0,1.0,9
0,2000.0,0.0,9
0,3000.0,0.12053275355770578,9
0,4000.0,0.16502329400490046,9
0,5000.0,0.17355588459386379,9
0,6000.0,0.053660034866711656,9
0,7000.0,0.13306039491807134,9
0,8000.0,0.19149990515083268,9
0,9000.0,0.09518107630595989,9
0,10000.0,0.11099227287535234,9
0,11000.0,0.12330840735589911,9
0,12000.0,0.17298087279991378,9
0,13000.0,0.11279995885936311,9
0,14000.0,0.1296081850873979,9
0,15000.0,0.07564538009716561,9
0,16000.0,0.12098426394169366,9
0,17000.0,0.1514743074742489,9
0,18000.0,0.17313351988899153,9
0,19000.0,0.1424718167806829,9
0,20000.0,0.1323818004096119,9
0,21000.0,0.1366141824380239,9
0,22000.0,0.1321098872746271,9
0,23000.0,0.16067508882672907,9
0,24000.0,0.1683170234885448,9
0,25000.0,0.16177331143113902,9
0,26000.0,0.16021083222622445,9
0,27000.0,0.07179512473806254,9
0,28000.0,0.20385656058635457,9
0,29000.0,0.21674686964408332,9
0,30000.0,0.20250562976344622,9
0,31000.0,0.12612364931597167,9
0,32000.0,0.12578061133390278,9
0,33000.0,0.2027625125517051,9
0,34000.0,0.24331291311811665,9
0,35000.0,0.1653067003108291,9
0,36000.0,0.1698622920874521,9
0,37000.0,0.2312873868357378,9
0,38000.0,0.18601947407874334,9
0,39000.0,0.20020003306100376,9
0,40000.0,0.2178498990188,9
0,41000.0,0.17748193016627467,9
0,42000.0,0.22703424557062998,9
0,43000.0,0.150087784791482,9
0,44000.0,0.24849346666237004,9
0,45000.0,0.17065577702077445,9
0,46000.0,0.2323849092757422,9
0,47000.0,0.21430368878612369,9
0,48000.0,0.14672113974787399,9
0,49000.0,0.1556525111748438,9
0,50000.0,0.25925009783634223,9
1,1000.0,1.0,9
1,2000.0,0.0,9
1,3000.0,0.037184384203375415,9
1,4000.0,0.055268516896712104,9
1,5000.0,0.067583301089045,9
1,6000.0,0.015086856826863468,9
1,7000.0,0.049219230151620864,9
1,8000.0,0.08476829352502155,9
1,9000.0,0.04964675941259333,9
1,10000.0,0.07357172592429034,9
1,11000.0,0.07917214493957993,9
1,12000.0,0.08278560616959801,9
1,13000.0,0.06828825931281358,9
1,14000.0,0.05010200591639433,9
1,15000.0,0.08808527591016924,9
1,16000.0,0.086997612539316,9
1,17000.0,0.095224221356769,9
1,18000.0,0.06440914316528251,9
1,19000.0,0.05827418221373605,9
1,20000.0,0.09475125329933567,9
1,21000.0,0.07858960913660426,9
1,22000.0,0.07314848402389332,9
1,23000.0,0.04051322295353033,9
1,24000.0,0.074116676667137,9
1,25000.0,0.14845718012968334,9
1,26000.0,0.08078458692919945,9
1,27000.0,0.1211243513429951,9
1,28000.0,0.1281530097477761,9
1,29000.0,0.1354123597681551,9
1,30000.0,0.09374224196222422,9
1,31000.0,0.14385003222472367,9
1,32000.0,0.19949586903906555,9
1,33000.0,0.14522621225823468,9
1,34000.0,0.17007744660920124,9
1,35000.0,0.13064127059606556,9
1,36000.0,0.17452249599318045,9
1,37000.0,0.18654207015108554,9
1,38000.0,0.09219169250571745,9
1,39000.0,0.1440896938390361,9
1,40000.0,0.1566172468395419,9
1,41000.0,0.17873607024996865,9
1,42000.0,0.15775925989330444,9
1,43000.0,0.13022071177117278,9
1,44000.0,0.1861304492354789,9
1,45000.0,0.14024363749221433,9
1,46000.0,0.20623234248186778,9
1,47000.0,0.16774518621756013,9
1,48000.0,0.10907928194971256,9
1,49000.0,0.17015558352781565,9
1,50000.0,0.22435518147138886,9
2,1000.0,1.0,9
2,2000.0,0.0,9
2,3000.0,0.08380486805790834,9
2,4000.0,0.09477754795838043,9
2,5000.0,0.06141088964860983,9
2,6000.0,0.03204613674469445,9
2,7000.0,0.11120991808656441,9
2,8000.0,0.10450383962845067,9
2,9000.0,0.04942832363759459,9
2,10000.0,0.15906612517763855,9
2,11000.0,0.09656005338150489,9
2,12000.0,0.1793715521493861,9
2,13000.0,0.17006987949045443,9
2,14000.0,0.0412315152580528,9
2,15000.0,0.17873316580782345,9
2,16000.0,0.12749392830019401,9
2,17000.0,0.15836328803186422,9
2,18000.0,0.06398572556092091,9
2,19000.0,0.15475266289455855,9
2,20000.0,0.158853698090792,9
2,21000.0,0.058639737118545546,9
2,22000.0,0.10702539838304855,9
2,23000.0,0.14679939878102166,9
2,24000.0,0.14800689092532865,9
2,25000.0,0.10602650756103693,9
2,26000.0,0.07103252134041911,9
2,27000.0,0.1600756122873,9
2,28000.0,0.11836994699065467,9
2,29000.0,0.12956463265342055,9
2,30000.0,0.12994552074559113,9
2,31000.0,0.09866749677938556,9
2,32000.0,0.14896259327396766,9
2,33000.0,0.10824520365473866,9
2,34000.0,0.10385544196863611,9
2,35000.0,0.10258187297271433,9
2,36000.0,0.14672710767411298,9
2,37000.0,0.13531930703218656,9
2,38000.0,0.106768025193004,9
2,39000.0,0.1303265877106981,9
2,40000.0,0.1278456837345171,9
2,41000.0,0.08696760500548523,9
2,42000.0,0.11917817314098622,9
2,43000.0,0.07961137754206177,9
2,44000.0,0.14864927777762066,9
2,45000.0,0.10313638932218644,9
2,46000.0,0.08323309741200247,9
2,47000.0,0.12581248945583934,9
2,48000.0,0.13530358074658855,9
2,49000.0,0.10007761617733855,9
2,50000.0,0.11414305339539123,9
3,1000.0,1.0,9
3,2000.0,0.0,9
3,3000.0,0.038371690613467666,9
3,4000.0,0.06499003940687123,9
3,5000.0,0.06219245075078512,9
3,6000.0,0.04474650596995322,9
3,7000.0,0.0374766176982803,9
3,8000.0,0.06305746611529633,9
3,9000.0,0.040681353394304245,9
3,10000.0,0.053332737848377,9
3,11000.0,0.044980404519065154,9
3,12000.0,0.053639090386892886,9
3,13000.0,0.05844703488937711,9
3,14000.0,0.04758408319611222,9
3,15000.0,0.039349930506251664,9
3,16000.0,0.06500064565025145,9
3,17000.0,0.057980868888838216,9
