rep,t,mean_TotalClusterMsgSent,n_hosts_used
0,1000.0,4.0,9
0,2000.0,11.0,9
0,3000.0,17.0,9
0,4000.0,22.0,9
0,5000.0,27.0,9
0,6000.0,37.0,9
0,7000.0,42.0,9
0,8000.0,47.0,9
0,9000.0,57.0,9
0,10000.0,62.0,9
0,11000.0,68.0,9
0,12000.0,80.0,9
0,13000.0,86.0,9
0,14000.0,92.0,9
0,15000.0,102.0,9
0,16000.0,107.0,9
0,17000.0,115.0,9
0,18000.0,119.0,9
0,19000.0,123.0,9
0,20000.0,127.0,9
0,21000.0,135.0,9
0,22000.0,139.0,9
0,23000.0,143.0,9
0,24000.0,149.0,9
0,25000.0,152.0,9
0,26000.0,155.0,9
0,27000.0,157.0,9
0,28000.0,159.0,9
0,29000.0,161.0,9
0,30000.0,165.0,9
0,31000.0,167.0,9
0,32000.0,169.0,9
0,33000.0,173.0,9
0,34000.0,175.0,9
0,35000.0,177.0,9
0,36000.0,179.0,9
0,37000.0,181.0,9
0,38000.0,183.0,9
0,39000.0,187.0,9
0,40000.0,189.0,9
0,41000.0,191.0,9
0,42000.0,195.0,9
0,43000.0,197.0,9
0,44000.0,199.0,9
0,45000.0,203.0,9
0,46000.0,207.0,9
0,47000.0,209.0,9
0,48000.0,213.0,9
0,49000.0,217.0,9
0,50000.0,219.0,9
1,1000.0,8.0,9
1,2000.0,16.0,9
1,3000.0,20.0,9
1,4000.0,28.0,9
1,5000.0,32.0,9
1,6000.0,35.0,9
1,7000.0,41.0,9
1,8000.0,44.0,9
1,9000.0,47.0,9
1,10000.0,53.0,9
1,11000.0,56.0,9
1,12000.0,59.0,9
1,13000.0,65.0,9
1,14000.0,68.0,9
1,15000.0,70.0,9
1,16000.0,74.0,9
1,17000.0,76.0,9
1,18000.0,78.0,9
1,19000.0,82.0,9
1,20000.0,84.0,9
1,21000.0,86.0,9
1,22000.0,90.0,9
1,23000.0,92.0,9
1,24000.0,94.0,9
1,25000.0,98.0,9
1,26000.0,100.0,9
1,27000.0,102.0,9
1,28000.0,106.0,9
1,29000.0,108.0,9
1,30000.0,110.0,9
1,31000.0,114.0,9
1,32000.0,116.0,9
1,33000.0,118.0,9
1,34000.0,122.0,9
1,35000.0,124.0,9
1,36000.0,126.0,9
1,37000.0,130.0,9
1,38000.0,132.0,9
1,39000.0,136.0,9
1,40000.0,144.0,9
1,41000.0,164.0,9
1,42000.0,169.0,9
1,43000.0,174.0,9
1,44000.0,182.0,9
1,45000.0,186.0,9
1,46000.0,190.0,9
1,47000.0,198.0,9
1,48000.0,202.0,9
1,49000.0,206.0,9
1,50000.0,214.0,9
2,1000.0,4.0,9
2,2000.0,11.0,9
2,3000.0,14.0,9
2,4000.0,17.0,9
2,5000.0,23.0,9
2,6000.0,26.0,9
2,7000.0,29.0,9
2,8000.0,35.0,9
2,9000.0,38.0,9
2,10000.0,41.0,9
2,11000.0,47.0,9
2,12000.0,50.0,9
2,13000.0,53.0,9
2,14000.0,61.0,9
2,15000.0,65.0,9
2,16000.0,69.0,9
2,17000.0,77.0,9
2,18000.0,81.0,9
2,19000.0,86.0,9
2,20000.0,96.0,9
2,21000.0,101.0,9
2,22000.0,106.0,9
2,23000.0,116.0,9
2,24000.0,121.0,9
