t,mean,sd_across_runs,n_runs_used,ci95_low,ci95_high
1000.0,0.0,0.0,5,0.0,0.0
2000.0,0.6916666666666667,0.04750730937913073,5,0.6326785509590719,0.7506547823742614
3000.0,0.7,0.06180165405913051,5,0.623263111125334,0.776736888874666
4000.0,0.7,0.06180165405913051,5,0.623263111125334,0.776736888874666
5000.0,0.4,0.1200405024240661,5,0.2509500298137452,0.5490499701862548
6000.0,0.7333333333333334,0.12004050242406612,5,0.5842833631470785,0.8823833035195883
7000.0,0.8083333333333333,0.10865337342004416,5,0.6734223512742745,0.9432443153923922
8000.0,0.5583333333333333,0.0864018389721988,5,0.45105128050295495,0.6656153861637117
9000.0,0.5333333333333334,0.06846531968814577,5,0.4483224107510513,0.6183442559156156
10000.0,0.6833333333333333,0.1045825033167594,5,0.5534770041228871,0.8131896625437796
11000.0,0.775,0.06319062870042957,5,0.696538471318815,0.8534615286811851
12000.0,0.6333333333333333,0.061801654059130545,5,0.5565964444586673,0.7100702222079993
13000.0,0.6333333333333333,0.034860834438919824,5,0.5900478902631846,0.676618776403482
14000.0,0.625,0.1141088661469096,5,0.4833151290295298,0.7666848709704702
15000.0,0.6333333333333334,0.054326686710022075,5,0.565877842303804,0.7007888243628628
16000.0,0.65,0.06319062870042959,5,0.571538471318815,0.7284615286811851
17000.0,0.6583333333333333,0.04564354645876383,5,0.6016593849451453,0.7150072817215214
18000.0,0.6833333333333333,0.06319062870042957,5,0.6048718046521483,0.7617948620145184
19000.0,0.6666666666666666,0.08838834764831845,5,0.5569180375310311,0.7764152958023022
20000.0,0.6833333333333333,0.11636866703140784,5,0.5388425489614727,0.827824117705194
21000.0,0.6333333333333333,0.09501461875826152,5,0.5153571019181438,0.7513095647485228
22000.0,0.625,0.09316949906249122,5,0.509314787283425,0.740685212716575
23000.0,0.65,0.04750730937913073,5,0.5910118842924053,0.7089881157075948
24000.0,0.6833333333333333,0.13693063937629155,5,0.513311488168769,0.8533551784978977
25000.0,0.6416666666666666,0.0631906287004296,5,0.5632051379854816,0.7201281953478517
26000.0,0.6583333333333333,0.1542229626943479,5,0.466840232859439,0.8498264338072277
27000.0,0.6916666666666667,0.0864018389721988,5,0.5843846138362883,0.798948719497045
28000.0,0.7,0.14848774734337888,5,0.5156281099493494,0.8843718900506505
29000.0,0.7,0.08014743359029725,5,0.6004838171625007,0.7995161828374993
30000.0,0.725,0.14312970031098057,5,0.547281004050161,0.902718995949839
31000.0,0.7666666666666667,0.09592387027684449,5,0.6475614503755406,0.8857718829577929
32000.0,0.6833333333333333,0.0912870929175277,5,0.5699854365569572,0.7966812301097095
33000.0,0.65,0.11257713405088586,5,0.5102170256280557,0.7897829743719443
34000.0,0.65,0.06972166887783965,5,0.5634291138597025,0.7365708861402975
35000.0,0.6583333333333333,0.0950146187582615,5,0.5403571019181438,0.7763095647485229
36000.0,0.6583333333333334,0.0903311807861617,5,0.5461723582359206,0.7704943084307463
37000.0,0.6333333333333333,0.11931517552730292,5,0.48518397544171815,0.7814826912249484
38000.0,0.6,0.10865337342004411,5,0.46508901794094115,0.7349109820590588
39000.0,0.5916666666666667,0.018633899812498234,5,0.5685296241233517,0.6148037092099816
40000.0,0.65,0.06319062870042959,5,0.571538471318815,0.7284615286811851
41000.0,0.6916666666666667,0.13043729868748774,5,0.5297073688634617,0.8536259644698716
42000.0,0.6666666666666667,0.07795119555779044,5,0.569877473525617,0.7634558598077165
43000.0,0.6666666666666667,0.05892556509887897,5,0.5935009139095764,0.7398324194237571
44000.0,0.6,0.06319062870042959,5,0.5215384713188149,0.678461528681185
45000.0,0.6166666666666667,0.06180165405913056,5,0.5399297777920006,0.6934035555413328
46000.0,0.55,0.06846531968814576,5,0.46498907741771794,0.6350109225822822
47000.0,0.575,0.08014743359029727,5,0.4754838171625006,0.6745161828374994
48000.0,0.6083333333333333,0.08640183897219883,5,0.5010512805029549,0.7156153861637117
49000.0,0.6333333333333333,0.136295226948301,5,0.4641004569046161,0.8025662097620505
50000.0,0.6666666666666666,0.12499999999999999,5,0.5114586668911958,0.8218746664421375
