rep,t,mean_rlReward,n_hosts_used
0,5000.0,0.11295314715554945,24
0,6000.0,0.022013498748348428,24
0,7000.0,-0.00576574994455975,24
0,8000.0,-0.031333720385069624,24
0,9000.0,-0.0671119418081505,24
0,10000.0,-0.06902236209026526,24
0,11000.0,-0.00500745260772117,24
0,12000.0,0.11342251909705342,24
0,13000.0,0.11233956906313387,24
0,14000.0,0.15427504951125656,24
0,15000.0,0.10347486662810758,24
0,16000.0,0.04052624090258609,24
0,17000.0,0.12273451534952462,24
0,18000.0,0.06483025903430574,24
0,19000.0,0.09220121318720587,24
0,20000.0,0.1582109197875614,24
0,21000.0,0.09982490030867408,24
0,22000.0,0.1670714512434536,24
0,23000.0,0.18837703898550964,24
0,24000.0,0.205440073094845,24
0,25000.0,0.23221061551177755,24
0,26000.0,0.25272864273789003,24
0,27000.0,0.2211372817429004,24
0,28000.0,0.22779414527878336,24
0,29000.0,0.18779590557108242,24
0,30000.0,0.12914494690059994,24
0,31000.0,0.1299234878088026,24
0,32000.0,0.16343232364041638,24
0,33000.0,0.14639028782329896,24
0,34000.0,0.2074618578459643,24
0,35000.0,0.23800276575696191,24
0,36000.0,0.19021851500823714,24
0,37000.0,0.1988689825066184,24
0,38000.0,0.19034064345997456,24
0,39000.0,0.1421942607662785,24
0,40000.0,0.22528942780385572,24
0,41000.0,0.2125033116649949,24
0,42000.0,0.2015873683683794,24
0,43000.0,0.12587876568811646,24
0,44000.0,0.16988786925098542,24
0,45000.0,0.14564885640737008,24
0,46000.0,0.12743119121676372,24
0,47000.0,0.13767432060279705,24
0,48000.0,0.08854185410882935,24
0,49000.0,0.0549511368796825,24
0,50000.0,0.008138725843345468,24
1,5000.0,0.12486757448747132,24
1,6000.0,0.024348407760396002,24
1,7000.0,-0.015362457724396645,24
1,8000.0,-0.046931066728042876,24
1,9000.0,-0.13406013254069774,24
1,10000.0,-0.1819091966577202,24
1,11000.0,-0.1440162139681204,24
1,12000.0,0.09426452533557171,24
1,13000.0,0.15390593636974945,24
1,14000.0,0.1871747202687245,24
1,15000.0,0.1758828068778119,24
1,16000.0,0.1961953837761646,24
1,17000.0,0.14387699048029867,24
1,18000.0,0.12183764748639814,24
1,19000.0,0.10388576649026988,24
1,20000.0,0.11175364233266079,24
1,21000.0,0.06618025868717205,24
1,22000.0,0.1838423194050005,24
1,23000.0,0.16503275645241286,24
1,24000.0,0.21191543021481765,24
1,25000.0,0.1958268935221187,24
1,26000.0,0.186034742025509,24
1,27000.0,0.192494791941806,24
1,28000.0,0.18510796791032336,24
1,29000.0,0.1944110718819888,24
1,30000.0,0.23427844456300492,24
1,31000.0,0.052755144485567944,24
1,32000.0,0.19134716770288043,24
1,33000.0,0.2109109406530694,24
1,34000.0,0.16122980809477036,24
1,35000.0,0.196536035268743,24
1,36000.0,0.20193805892090524,24
1,37000.0,0.20954146300235518,24
1,38000.0,0.21564602788959766,24
1,39000.0,0.2072745442799758,24
1,40000.0,0.23224371377151853,24
1,41000.0,0.25162271963813776,24
1,42000.0,0.329920732480145,24
1,43000.0,0.2243034620997454,24
1,44000.0,0.21286793699610584,24
1,45000.0,0.2098967358614984,24
1,46000.0,0.2342988837032948,24
1,47000.0,0.20810869029869342,24
1,48000.0,0.21675727368281775,24
1,49000.0,0.06053080629837426,24
1,50000.0,0.09986845237654879,24
2,5000.0,-0.06719259256508536,24
2,6000.0,-0.2077375766254804,24
2,7000.0,-0.22147387007818628,24
2,8000.0,-0.13169029622645012,24
2,9000.0,-0.14138996124894151,24
2,10000.0,-0.16321952055171576,24
2,11000.0,-0.1559048249590122,24
2,12000.0,0.1422362281492865,24
2,13000.0,0.1824119277901823,24
2,14000.0,0.1335241164534187,24
2,15000.0,0.1286689804288402,24
2,16000.0,0.0846574213359883,24
2,17000.0,0.04087792262652024,24
2,18000.0,0.006567142636302713,24
2,19000.0,-0.10497102544040303,24
2,20000.0,-0.06453637486770492,24
2,21000.0,-0.15285473569462507,24
2,22000.0,0.2649014539935527,24
2,23000.0,0.24860638128611245,24
2,24000.0,0.21340319920134143,24
2,25000.0,0.18583725064629217,24
2,26000.0,0.17232439886031492,24
2,27000.0,0.15280429560883416,24
2,28000.0,0.09021982309338293,24
2,29000.0,0.03289556111912733,24
2,30000.0,0.030213896305138408,24
2,31000.0,-0.022541923460181256,24
2,32000.0,0.21439577094924642,24
2,33000.0,0.2393456886681833,24
2,34000.0,0.1942465123980536,24
2,35000.0,0.21690337116244895,24
2,36000.0,0.2341699193808536,24
2,37000.0,0.21923004933293547,24
2,38000.0,0.20012859865584876,24
2,39000.0,0.19151980270593003,24
2,40000.0,0.19247030171146665,24
2,41000.0,0.18856638018001495,24
2,42000.0,0.36044551109774603,24
2,43000.0,0.252902111337217,24
2,44000.0,0.31170916376736374,24
2,45000.0,0.2418207983531057,24
2,46000.0,0.22946488504636417,24
2,47000.0,0.23064704702719943,24
2,48000.0,0.22116124832681952,24
2,49000.0,0.17505906764327636,24
2,50000.0,0.1689283209251757,24
3,5000.0,0.1322580625341895,24
3,6000.0,0.025523324276042116,24
3,7000.0,-0.04196570521545892,24
3,8000.0,-0.07437031483739878,24
3,9000.0,-0.006532092632741161,24
3,10000.0,-0.02033616917566049,24
3,11000.0,-0.046843144056412045,24
3,12000.0,0.21940873910431594,24
3,13000.0,0.14261159098215478,24
3,14000.0,0.11852312421278048,24
3,15000.0,0.13579681975368205,24
3,16000.0,0.22735411185964935,24
3,17000.0,0.23173281941706517,24
3,18000.0,0.2083794322424589,24
3,19000.0,0.22876906321896562,24
3,20000.0,0.2321833397102663,24
3,21000.0,0.10884859537876107,24
3,22000.0,0.09756835682343427,24
3,23000.0,0.13440063413877387,24
3,24000.0,0.12195596535957554,24
3,25000.0,0.20594593399770575,24
3,26000.0,0.012542672591611547,24
3,27000.0,-0.03509238928492238,24
3,28000.0,-0.028190177396420917,24
3,29000.0,-0.005124132755137206,24
3,30000.0,-0.10294232770667426,24
3,31000.0,-0.12075087774320163,24
3,32000.0,0.21143230656811537,24
3,33000.0,0.2299315324841765,24
3,34000.0,0.21195437066999623,24
3,35000.0,0.22316786899558771,24
3,36000.0,0.23098613947021815,24
3,37000.0,0.2941585329145457,24
3,38000.0,0.300004679523454,24
3,39000.0,0.27578512771999475,24
3,40000.0,0.15732694959527052,24
3,41000.0,0.22119618396737026,24
3,42000.0,0.33606847447915217,24
3,43000.0,0.24689261390796333,24
3,44000.0,0.2537152372102974,24
3,45000.0,0.22908663328160006,24
3,46000.0,0.21182200508733648,24
3,47000.0,0.18436119293194883,24
3,48000.0,0.13164759971979584,24
3,49000.0,0.12440271041136737,24
3,50000.0,0.14225855793316958,24
4,5000.0,0.15041785780239345,24
4,6000.0,-0.031192610514487577,24
4,7000.0,-0.061667449696136044,24
4,8000.0,-0.07967934372656531,24
4,9000.0,-0.06279322107731038,24
4,10000.0,0.01360281721135729,24
4,11000.0,-0.03818016127864304,24
4,12000.0,0.19256513711665638,24
4,13000.0,0.16265717698260712,24
4,14000.0,0.1519000225271647,24
4,15000.0,0.10230854049298499,24
4,16000.0,0.16010434904903928,24
4,17000.0,0.157759176328325,24
4,18000.0,0.16044034536258092,24
4,19000.0,0.09046972449888513,24
4,20000.0,0.13351347447482262,24
4,21000.0,0.13919952802564842,24
4,22000.0,0.1935681998150134,24
4,23000.0,0.1714065763670719,24
4,24000.0,0.09756367183563808,24
4,25000.0,0.12218882775517496,24
4,26000.0,0.14438477355217194,24
4,27000.0,0.12647699676261528,24
4,28000.0,0.0968301711505735,24
4,29000.0,0.09278005275357208,24
4,30000.0,0.20874273667340293,24
4,31000.0,0.11474931492871733,24
4,32000.0,0.2330369416292154,24
4,33000.0,0.15353137410553225,24
4,34000.0,0.10248021004344847,24
4,35000.0,0.16580352447824892,24
4,36000.0,0.16987792057386042,24
4,37000.0,0.17467856737317913,24
4,38000.0,0.10186052056135901,24
4,39000.0,0.12276429268961096,24
4,40000.0,0.10061823320713509,24
4,41000.0,0.04549570143906626,24
4,42000.0,0.26543941868539245,24
4,43000.0,0.2378846861219264,24
4,44000.0,0.08802168770455475,24
4,45000.0,-0.016540815867766456,24
4,46000.0,-0.04348275752964472,24
4,47000.0,0.004889102155822496,24
4,48000.0,0.003135758909542504,24
4,49000.0,-0.03667055457609675,24
4,50000.0,-0.008747202548927087,24
