t,mean,sd_across_runs,n_runs_used,ci95_low,ci95_high
1000.0,0.0,0.0,5,0.0,0.0
2000.0,0.26666666666666666,0.09592387027684447,5,0.14756145037554053,0.3857718829577928
3000.0,0.3416666666666667,0.08014743359029727,5,0.24215048382916732,0.44118284950416603
4000.0,0.3416666666666667,0.08014743359029727,5,0.24215048382916732,0.44118284950416603
5000.0,0.25833333333333336,0.11562030771259675,5,0.1147717597853607,0.401894906881306
6000.0,0.30833333333333335,0.14006446928309677,5,0.1344203243969948,0.4822463422696719
7000.0,0.3333333333333333,0.14129854131510974,5,0.1578880215836541,0.5087786450830125
8000.0,0.2333333333333333,0.10458250331675945,5,0.1034770041228871,0.3631896625437795
9000.0,0.275,0.047507309379130745,5,0.21601188429240525,0.3339881157075948
10000.0,0.39166666666666666,0.06972166887783965,5,0.30509578052636915,0.4782375528069642
11000.0,0.425,0.0950146187582615,5,0.3070237685848104,0.5429762314151896
12000.0,0.35833333333333334,0.1519548544067539,5,0.16965646126417208,0.5470102054024946
13000.0,0.33333333333333337,0.14129854131510974,5,0.15788802158365414,0.5087786450830126
14000.0,0.3416666666666667,0.11180339887498947,5,0.20284441140677678,0.48048892192655657
15000.0,0.35,0.05590169943749473,5,0.28058887237005503,0.4194111276299449
16000.0,0.3416666666666667,0.12977009585331195,5,0.18053581060215734,0.5027975227311761
17000.0,0.33333333333333337,0.07795119555779044,5,0.2365441401922836,0.43012252647438315
18000.0,0.31666666666666665,0.04750730937913076,5,0.2576785509590719,0.3756547823742614
19000.0,0.3666666666666667,0.07453559924999298,5,0.27411849649340675,0.45921483683992664
20000.0,0.35833333333333334,0.09592387027684447,5,0.2392281170422072,0.4774385496244595
21000.0,0.3416666666666667,0.09947780321927768,5,0.2181486597888908,0.46518467354444254
22000.0,0.3166666666666667,0.08640183897219883,5,0.2093846138362883,0.4239487194970451
23000.0,0.3916666666666667,0.15756392000990865,5,0.19602521977450507,0.5873081135588284
24000.0,0.4583333333333333,0.16925080009658247,5,0.2481807081862243,0.6684859584804423
25000.0,0.3916666666666667,0.15195485440675394,5,0.2029897945975054,0.580343538735828
26000.0,0.375,0.1062295731998497,5,0.24309856341319494,0.5069014365868051
27000.0,0.3333333333333333,0.16666666666666669,5,0.12638933363270555,0.5402773330339611
28000.0,0.4083333333333334,0.12977009585331198,5,0.24720247726882402,0.5694641893978427
29000.0,0.3416666666666667,0.1394433377556793,5,0.16852489438607168,0.5148084389472617
30000.0,0.35833333333333334,0.03726779962499649,5,0.3120592482467034,0.4046074184199633
31000.0,0.33333333333333337,0.05892556509887897,5,0.260167580576243,0.40649908609042373
32000.0,0.325,0.04564354645876384,5,0.26832605161181194,0.3816739483881881
33000.0,0.29166666666666663,0.08333333333333333,5,0.18819466681635277,0.3951386665169805
34000.0,0.2833333333333333,0.09033118078616166,5,0.17117235823592059,0.39549430843074607
35000.0,0.325,0.10785149254620652,5,0.1910846845528335,0.4589153154471665
36000.0,0.325,0.15422296269434788,5,0.1335068995261057,0.5164931004738943
37000.0,0.325,0.09033118078616165,5,0.2128390249025873,0.4371609750974127
38000.0,0.2833333333333333,0.10785149254620655,5,0.1494180178861668,0.41724864878049983
39000.0,0.325,0.13629522694830104,5,0.1557671235712828,0.4942328764287172
40000.0,0.325,0.16244657241348273,5,0.12329593940257738,0.5267040605974227
41000.0,0.325,0.15422296269434788,5,0.1335068995261057,0.5164931004738943
42000.0,0.30833333333333335,0.14006446928309674,5,0.1344203243969948,0.4822463422696719
43000.0,0.24166666666666664,0.08014743359029727,5,0.14215048382916728,0.341182849504166
44000.0,0.25833333333333336,0.09947780321927768,5,0.1348153264555575,0.3818513402111092
45000.0,0.25833333333333336,0.10785149254620655,5,0.12441801788616683,0.3922486487804999
46000.0,0.3166666666666667,0.10865337342004414,5,0.18175568460760785,0.4515776487257256
47000.0,0.325,0.10785149254620652,5,0.1910846845528335,0.4589153154471665
48000.0,0.275,0.08122328620674137,5,0.1741479697012887,0.37585203029871134
49000.0,0.275,0.03726779962499649,5,0.22872591491337005,0.32127408508662997
50000.0,0.25833333333333336,0.08014743359029729,5,0.15881715049583398,0.3578495161708327
