rep,t,mean_delay_sec,n_hosts_used
0,5000.0,0.08190691609116667,6
0,6000.0,0.04788136125933334,6
0,7000.0,0.15349719854125,8
0,8000.0,0.14807540422350002,10
0,9000.0,0.8323737408783636,11
0,10000.0,0.8976058144015385,13
0,11000.0,1.50826669373775,16
0,12000.0,1.2545099047411539,13
0,13000.0,1.5707483853675999,15
0,14000.0,0.8401380304375384,13
0,15000.0,0.7276748817898,15
0,16000.0,0.036836635040714286,14
0,17000.0,0.043401043348933334,15
0,18000.0,0.05401934468542857,14
0,19000.0,0.051879495183785714,14
0,20000.0,0.05892564538739999,10
0,21000.0,0.043720958473749995,12
0,22000.0,0.04514290006264286,14
0,23000.0,0.06892688588853332,15
0,24000.0,0.08320286962542857,14
0,25000.0,0.7637686513916667,9
0,26000.0,0.55962922458725,12
0,27000.0,0.507749800026077,13
0,28000.0,0.04484784532866667,12
0,29000.0,0.27822685748866666,12
0,30000.0,0.3347945927607,10
0,31000.0,0.45061820567246674,15
0,32000.0,0.25068289631786667,15
0,33000.0,0.2458359115982,15
0,34000.0,0.0470571710315,12
0,35000.0,0.06165737262916667,12
0,36000.0,0.0787098332034,15
0,37000.0,0.11062182667927778,18
0,38000.0,0.11637498725226665,15
0,39000.0,0.095990411308,15
0,40000.0,0.02953863825246154,13
0,41000.0,0.026811008326357143,14
0,42000.0,0.023156763546500002,10
0,43000.0,0.04779201365316666,12
0,44000.0,0.05231455828884615,13
0,45000.0,0.12474580619306666,15
0,46000.0,0.12011311210292307,13
0,47000.0,0.13773198027127273,11
0,48000.0,0.029940875283076925,13
0,49000.0,0.03150390676727272,11
0,50000.0,0.2414006346207143,14
1,5000.0,0.9941529427825,4
1,6000.0,0.4601315468464286,7
1,7000.0,0.30703534055736365,11
1,8000.0,1.0835634358716364,11
1,9000.0,1.49731993308725,8
1,10000.0,2.2257877668218002,10
1,11000.0,1.539665738737077,13
1,12000.0,1.3339372354768,15
1,13000.0,0.905997072739923,13
1,14000.0,0.21389742093008332,12
1,15000.0,0.24096547609263635,11
1,16000.0,0.0571329800642,10
1,17000.0,0.07364069843522222,9
1,18000.0,1.6013794124872143,14
1,19000.0,1.4360723348728888,18
1,20000.0,1.7094557296081334,15
1,21000.0,0.5214280988078461,13
1,22000.0,0.3519209703660909,11
1,23000.0,0.27825022766385,20
1,24000.0,0.14952877246344445,18
1,25000.0,0.13989207398266668,15
1,26000.0,0.04896218502823077,13
1,27000.0,0.03248319249718182,11
1,28000.0,0.31573183859813336,15
1,29000.0,0.4208455039438182,11
1,30000.0,0.298168935014353,17
1,31000.0,0.052653658346428565,14
1,32000.0,0.22138710707317646,17
1,33000.0,0.3288489360778,10
1,34000.0,0.27708611356324997,12
1,35000.0,0.0289110728047,10
1,36000.0,0.03130501449221428,14
