run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-2-20251226-16:07:13-130496,vector,AdhocNetwork1.host[10].rl,rlReward,,,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50","0.33333333333333 0 0.13103129459397 0.13865915203975 -0.60787807371497 -0.58886429845875 -0.57369904811575 -0.58930737438729 -0.32645511488026 -0.47962748652143 -0.57667595160414 0.20323488494942 0.11712646253365 -0.10136371901047 0.2546708558295 0.26679907618768 0.18343726994793 0.2523318092497 0.27704364453626 0.28255194468103 0.19954255768022 0.22415285658335 0.26340396057809 0.24188822517994 0.28063494283076 0.27085945026103 0.23137317869879 0.29958951981124 0.23475334304233 0.27955761599503 0.27620048545278 0.16142094280009 0.29555267363578 0.28277323678179 0.20021314921546 0.27876694096592 0.2434642441595 0.26509050570925 0.2521593772925 0.26833839452443 0.27843364325122 0.36445249271364 0.25314502437875 0.24269660105939 0.11437701941032 0.27553856209759 0.19168399769572 0.23217553869943 0.29906491746626 0.27485975651152"
General-2-20251226-16:07:13-130496,vector,AdhocNetwork1.host[11].app[1],e2eDelayPeriodicSec,,,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50","NaN NaN NaN NaN 0.075643803206 0.075643803206 0.075643803206 NaN 0.00342066625 0.00342066625 0.00342066625 NaN NaN 0.005113424839 0.005113424839 0.005113424839 NaN 0.00244066625 0.00244066625 0.00244066625 NaN 0.003436999482 0.003436999482 0.003436999482 NaN NaN 0.00369666625 0.00369666625 0.00369666625 NaN NaN 0.00248066625 0.00248066625 0.00248066625 NaN 0.06255777391 0.06255777391 0.06255777391 0.00240066625 0.00240066625 0.00240066625 0.006515740711 0.006515740711 0.006515740711 NaN NaN 0.003756999482 0.003756999482 0.003756999482 0.006282639237"
General-2-20251226-16:07:13-130496,vector,AdhocNetwork1.host[11].rl,rlReward,,,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50","0.33333333333333 0 0.10032680525563 0.3999282001794 -0.16542218671931 0.050412892017326 0.053869895598892 0.22813636759252 0.087550441142674 0.051813707725235 0.047671774604126 0.041907182589153 0.097735074602392 0.077804574832537 0.071366996935135 0.087360622855582 0.31523847649467 0.34935278267136 0.38237629189765 0.36723114786602 0.32763022633664 0.34201299284784 0.35495994621421 0.38027741922937 0.36856669361375 0.32829541102305 0.33715469777082 0.39100749581449 0.3685865523999 0.3723621353573 0.35618633131021 0.32001361186 0.38156307247359 0.36858796893126 0.35091469054891 0.35070372581647 0.34524061576805 0.33832769284003 0.35700996190856 0.37831618822989 0.36166439874897 0.3 0.37029973840133 0.38358162169749 0.38651348210043 0.33029618683667 0.036495830017083 0.37855961182527 0.3570246090575 0.36270712882858"
General-2-20251226-16:07:13-130496,vector,AdhocNetwork1.host[12].app[1],e2eDelayPeriodicSec,,,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50","NaN 0.049069697355 0.049069697355 0.049069697355 NaN 0.009641097701 0.009641097701 0.009641097701 0.002797762523 0.002797762523 0.002797762523 NaN 0.002578091228 0.002578091228 0.002578091228 NaN 0.002578368686 0.002578368686 0.002578368686 0.002798676479 0.002798676479 0.002798676479 NaN 0.00351599734 0.00351599734 0.00351599734 0.004201673204 0.004201673204 0.004201673204 NaN 0.007736516102 0.007736516102 0.007736516102 NaN NaN 0.002720179942 0.002720179942 0.002720179942 0.002640510796 0.002640510796 0.002640510796 NaN NaN NaN NaN NaN 0.005314892846 0.005314892846 0.005314892846 0.005575102055"
General-2-20251226-16:07:13-130496,vector,AdhocNetwork1.host[12].rl,rlReward,,,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50","0.33333333333333 0 0.078790686356195 0.093744747305009 0.061271126518473 0.014451376018031 0.039307451955959 0.077677777673294 -0.62156677304433 -0.5870495988453 -0.6077222113814 0.31650626266086 0.37397911331302 0.33152200550246 0.36060152535556 0.36290016615861 0.31878993594263 0.35772118113847 0.36799704874247 0.37602349489757 0.33183401673493 0.31798149350197 0.36678683689014 0.3531432332021 0.37391225422467 0.34108233943329 0.33079477657681 0.36822576605812 0.35959456719899 0.36388512071545 0.36300383489027 0.30728030262779 0.36570825242001 0.37146280251034 0.3606794830825 0.33992443479138 0.035175902805238 0.35937489028634 0.3546808357375 0.35767465514097 0.35573032995337 0.31661420555155 0.35257768752299 0.35867713995171 0.35965526541574 0.34988615017368 0.31629941177749 0.35638318093516 0.35637940703277 0.37301653582299"
General-2-20251226-16:07:13-130496,vector,AdhocNetwork1.host[13].app[1],e2eDelayPeriodicSec,,,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50","NaN 0.092440365499 0.092440365499 0.092440365499 0.004984251819 0.004984251819 0.004984251819 NaN NaN 0.004992696211 0.004992696211 0.004992696211 NaN 0.005464853462 0.005464853462 0.005464853462 NaN NaN 0.006269309174 0.006269309174 0.006269309174 NaN 0.006174996711 0.006174996711 0.006174996711 0.005217163154 0.005217163154 0.005217163154 NaN 0.0050508045 0.0050508045 0.0050508045 NaN NaN 0.005164052948 0.005164052948 0.005164052948 NaN 0.005690610473 0.005690610473 0.005690610473 0.005843063101 0.005843063101 0.005843063101 NaN NaN 0.004209720768 0.004209720768 0.004209720768 0.004410411602"
General-2-20251226-16:07:13-130496,vector,AdhocNetwork1.host[13].rl,rlReward,,,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50","0.33333333333333 0 0.12062657493072 0.13832630693628 0.065666616956826 -0.61322419569364 -0.58234686252937 -0.53677097951646 -0.61076075424693 -0.33387875309055 -0.48602396968614 0.074068588725469 0.12870242419698 0.20875448639766 0.08804530581493 -0.048765364677459 0.22679918572832 0.089997201924258 0.24558271872747 0.30325960494411 0.20574354780099 0.21360553501232 0.22430982043693 0.26948028521924 0.28284935259526 0.18865934948875 0.20430379718508 0.28422444004918 0.28990988934721 0.3751132011129 0.22217134404887 0.21935428233216 0.12032730557841 0.2598008029724 0.36694848940192 0.2425366253403 0.23195923699816 0.23692067434929 0.20330431068555 0.28406499245158 0.28015239125304 0.12959863483845 0.20809683963887 0.29524895745174 0.2589679096442 0.2508807674614 0.16890722852206 0.25780917740333 0.273122064227 0.24582651558435"
General-2-20251226-16:07:13-130496,vector,AdhocNetwork1.host[14].app[1],e2eDelayPeriodicSec,,,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50","NaN 0.044528402645 0.044528402645 0.044528402645 NaN NaN 0.00821892801 0.00821892801 0.00821892801 0.002680452474 0.002680452474 0.002680452474 NaN 0.002640821819 0.002640821819 0.002640821819 0.005769219204 0.005769219204 0.005769219204 NaN 0.00516078761 0.00516078761 0.00516078761 NaN 0.00659476593 0.00659476593 0.00659476593 NaN 0.005550116684 0.005550116684 0.005550116684 NaN NaN 0.005769536578 0.005769536578 0.005769536578 NaN 0.004977036244 0.004977036244 0.004977036244 0.005714630786 0.005714630786 0.005714630786 NaN 0.006297008875 0.006297008875 0.006297008875 0.00559614778 0.00559614778 0.00559614778"
General-2-20251226-16:07:13-130496,vector,AdhocNetwork1.host[14].rl,rlReward,,,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50","0.33333333333333 0 0.089813069645842 0.10552174669784 0.08244680198521 0.061672770469469 -0.63355830592518 -0.58090847708143 -0.58415961797555 -0.61910684381709 -0.47221041240809 -0.14968498717554 0.09636234344114 -0.10130139612589 0.063245089964598 0.090518199099455 -0.1418596832093 0.19564658834056 0.098962355027981 -0.092949100731685 0.35419871134477 0.054263170073362 0.19458806131357 -0.1334887563267 0.24381793840671 0.33608669458135 0.0520296095891 0.10376614980921 0.23974399139847 0.20726476576025 0.22907153204913 0.14401623289668 0.22102264244709 0.23191558697232 0.23386766733306 0.1984240835201 0.16023185750683 0.22043479913495 0.16009742760312 0.24697815744949 0.22489265980892 0.12229979682281 0.23547451413332 0.22867031855748 0.21952522562286 0.18171513603078 0.15703227943597 0.22060767615338 0.23389153377315 0.24080102448103"
General-2-20251226-16:07:13-130496,vector,AdhocNetwork1.host[15].app[1],e2eDelayPeriodicSec,,,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50","NaN 0.029598966983 0.029598966983 0.029598966983 NaN NaN 0.00586021167 0.00586021167 0.00586021167 NaN 0.006958226547 0.006958226547 0.006958226547 NaN 0.005254452616 0.005254452616 0.005254452616 NaN NaN 0.00490949585 0.00490949585 0.00490949585 NaN 0.008019931857 0.008019931857 0.008019931857 NaN NaN 0.017858510517 0.017858510517 0.017858510517 0.0033405584 0.0033405584 0.0033405584 NaN 0.005389632229 0.005389632229 0.005389632229 NaN 0.004696649203 0.004696649203 0.004696649203 NaN 0.002099390603 0.002099390603 0.002099390603 NaN 0.002958977693 0.002958977693 0.002958977693"
