rep,t,mean_delay_sec,n_hosts_used
0,5000.0,0.0234732215368,10
0,6000.0,0.017427360263666664,15
0,7000.0,0.0167533783911875,16
0,8000.0,0.3394946196032222,9
0,9000.0,0.2771296209440909,11
0,10000.0,0.23450590279069228,13
0,11000.0,0.0033618049700714285,14
0,12000.0,0.0039169057641,10
0,13000.0,0.003905460363230769,13
0,14000.0,0.0051395537465882355,17
0,15000.0,0.0051515772376875,16
0,16000.0,0.005758756969615384,13
0,17000.0,0.004498959040555556,9
0,18000.0,0.0038266606317058824,17
0,19000.0,0.00393557063217647,17
0,20000.0,0.0036234224776875,16
0,21000.0,0.003886905968625,8
0,22000.0,0.003555354392285714,14
0,23000.0,0.19128966366906247,16
0,24000.0,0.18052322974123527,17
0,25000.0,0.21771406640864285,14
0,26000.0,0.0047185635729375,16
0,27000.0,0.00488884214825,16
0,28000.0,0.006661956279636364,11
0,29000.0,0.003814504683375,8
0,30000.0,0.003060511824111111,9
0,31000.0,0.0092803563046,15
0,32000.0,0.010996039306666665,12
0,33000.0,0.009833739946538463,13
0,34000.0,0.002558286551875,8
0,35000.0,0.003327816356583333,12
0,36000.0,0.0044243985825833335,12
0,37000.0,0.00415697058295,20
0,38000.0,0.003911093143647059,17
0,39000.0,0.0036097435897333332,15
0,40000.0,0.0038997474647777777,9
0,41000.0,0.004224660556833334,12
0,42000.0,0.0038977210180714287,14
0,43000.0,0.0032147653234615384,13
0,44000.0,0.004837393555142857,14
0,45000.0,0.005284273741833333,12
0,46000.0,0.0047615321009375,16
0,47000.0,0.01219324384846154,13
0,48000.0,0.013293791475083333,12
0,49000.0,0.020740472629124998,8
0,50000.0,0.005271323456375,8
1,5000.0,0.010223076648555556,9
1,6000.0,0.010943588549384617,13
1,7000.0,0.010943588549384617,13
1,8000.0,0.34322568492322225,9
1,9000.0,0.2562487159325833,12
1,10000.0,0.22005719809142857,14
1,11000.0,0.010502080363625,16
1,12000.0,0.012347240147416666,12
1,13000.0,0.0108583344736,15
1,14000.0,0.004931133355666666,12
1,15000.0,0.004810431982,13
1,16000.0,0.005131803588,12
1,17000.0,0.004553393021090909,11
1,18000.0,0.0045754048618666665,15
1,19000.0,0.004568602495125,16
1,20000.0,0.005094415720066667,15
1,21000.0,0.005194376183222223,9
1,22000.0,0.0045081744331,10
1,23000.0,0.006778456280333333,18
1,24000.0,0.0066109199120000005,19
1,25000.0,0.0071345764911176475,17
1,26000.0,0.004561273903357143,14
1,27000.0,0.005132779579352941,17
1,28000.0,0.0051335710328749996,16
1,29000.0,0.005811062358666667,15
1,30000.0,0.004888107777375,16
1,31000.0,0.0048272548941666665,18
1,32000.0,0.004086813491466667,15
1,33000.0,0.004153831917857143,14
1,34000.0,0.004526344768571429,14
1,35000.0,0.5041278593592777,18
1,36000.0,0.5354206245865294,17
1,37000.0,0.5355852912603529,17
1,38000.0,0.0067977274039411765,17
1,39000.0,0.0051034936624374996,16
1,40000.0,0.004561539501066666,15
1,41000.0,0.005408885294692308,13
1,42000.0,0.005396738098923077,13
1,43000.0,0.0051962832930000005,17
1,44000.0,0.0044593484100625,16
1,45000.0,0.004531584694733333,15
1,46000.0,0.0065615039625,14
1,47000.0,0.008093738956117646,17
1,48000.0,0.0083276618369375,16
1,49000.0,0.006846808319375,16
1,50000.0,0.21868514316549997,14
2,5000.0,0.26210364521258334,12
2,6000.0,0.1976325833974375,16
2,7000.0,0.1976325833974375,16
2,8000.0,0.38092191177675,8
2,9000.0,0.25549499972825,12
2,10000.0,0.18144165667005882,17
2,11000.0,0.016652186874625,16
2,12000.0,0.022752933270545454,11
2,13000.0,0.02129480833046154,13
2,14000.0,0.17298498235833334,18
2,15000.0,0.16364624262973684,19
2,16000.0,0.19257930911937501,16
2,17000.0,0.003958488143785714,14
2,18000.0,0.00423499329975,16
2,19000.0,0.00405138341975,16
2,20000.0,0.004316296401666667,12
2,21000.0,0.004441899486545455,11
2,22000.0,0.004446576004375,16
2,23000.0,0.006336064038550001,20
