rep,t,mean_rlReward,n_hosts_used
0,5000.0,0.010562109611936587,24
0,6000.0,-0.08277624180317933,24
0,7000.0,-0.09198571755927117,24
0,8000.0,-0.034543468300511214,24
0,9000.0,-0.021484516287948285,24
0,10000.0,-0.032571679050421416,24
0,11000.0,-0.03404254390652288,24
0,12000.0,0.07967356241700708,24
0,13000.0,0.08741234104745275,24
0,14000.0,0.00019319081949079517,24
0,15000.0,-0.040285546817520536,24
0,16000.0,-0.10926192543544662,24
0,17000.0,-0.14983140557626495,24
0,18000.0,-0.1210256220170543,24
0,19000.0,-0.151121541659621,24
0,20000.0,-0.15869863687584937,24
0,21000.0,-0.14886043073191543,24
0,22000.0,0.1638249079406297,24
0,23000.0,0.1901660981033476,24
0,24000.0,0.1964081281407609,24
0,25000.0,0.18716859172980718,24
0,26000.0,0.21102114111297154,24
0,27000.0,0.17229477744153185,24
0,28000.0,0.22464484328010023,24
0,29000.0,0.24929163434616763,24
0,30000.0,0.2211332101834346,24
0,31000.0,0.2693890722374369,24
0,32000.0,0.2123726030621,24
0,33000.0,0.22455643752451734,24
0,34000.0,0.2502156571684105,24
0,35000.0,0.24236278427463573,24
0,36000.0,0.2695288272732183,24
0,37000.0,0.2149073348180712,24
0,38000.0,0.24476020090986128,24
0,39000.0,0.2808321691751296,24
0,40000.0,0.2651707595567886,24
0,41000.0,0.18205629317669617,24
0,42000.0,0.2725567684541737,24
0,43000.0,0.2895994657993083,24
0,44000.0,0.294666309667405,24
0,45000.0,0.26612958164408257,24
0,46000.0,0.2849639628007233,24
0,47000.0,0.24739849225556199,24
0,48000.0,0.282886584546672,24
0,49000.0,0.30816696306344754,24
0,50000.0,0.27313449649077076,24
1,5000.0,-0.154834363861107,24
1,6000.0,-0.29115142275740014,24
1,7000.0,-0.40116642370149935,24
1,8000.0,-0.42194664298817647,24
1,9000.0,-0.3945487005525712,24
1,10000.0,-0.4089662343443397,24
1,11000.0,-0.4033551617422284,24
1,12000.0,0.11763330929000142,24
1,13000.0,0.12503001906339475,24
1,14000.0,0.18261958324466554,24
1,15000.0,0.16382210432080282,24
1,16000.0,0.16413707805808353,24
1,17000.0,0.1307744772301452,24
1,18000.0,0.19469227156077593,24
1,19000.0,0.21567878664910267,24
1,20000.0,0.2049489493325908,24
1,21000.0,0.22606475158267966,24
1,22000.0,0.19493308256927055,24
1,23000.0,0.27758207555720293,24
1,24000.0,0.26283799090799703,24
1,25000.0,0.2497670265622233,24
1,26000.0,0.2729046056106187,24
1,27000.0,0.1903212307904358,24
1,28000.0,0.24922018754220862,24
1,29000.0,0.26665669811434073,24
1,30000.0,0.25113650036766483,24
1,31000.0,0.2604753012389541,24
1,32000.0,0.2202612646030573,24
1,33000.0,0.2497259263570262,24
1,34000.0,0.26039681361840733,24
1,35000.0,0.22762481120338615,24
1,36000.0,0.24994939398911575,24
1,37000.0,0.20107865841025127,24
1,38000.0,0.2675556433643198,24
1,39000.0,0.2521957619544783,24
1,40000.0,0.22241433428907775,24
1,41000.0,0.23272191507726403,24
1,42000.0,0.21231867097214654,24
1,43000.0,0.26580985617364583,24
1,44000.0,0.25747994952586417,24
1,45000.0,0.26176943343115167,24
1,46000.0,0.2626241074265131,24
1,47000.0,0.21073073663863162,24
1,48000.0,0.2658722606413125,24
1,49000.0,0.2947030638177471,24
1,50000.0,0.26846030508119806,24
2,5000.0,-0.10747258234570346,24
2,6000.0,-0.17882969747043911,24
2,7000.0,-0.21041217150294833,24
2,8000.0,-0.2740334496096491,24
2,9000.0,-0.23527247716768204,24
2,10000.0,-0.26014285141076887,24
2,11000.0,-0.25689078459956144,24
2,12000.0,0.09268745294191842,24
2,13000.0,0.11980673789139895,24
2,14000.0,0.10806717507181633,24
2,15000.0,0.13808440059329155,24
2,16000.0,0.12498573607541917,24
2,17000.0,0.07407375326355499,24
2,18000.0,0.10022125183102887,24
2,19000.0,0.147924716696616,24
2,20000.0,0.12794130613593413,24
2,21000.0,0.10628886205641613,24
2,22000.0,0.19909820501508488,24
2,23000.0,0.21613886998821197,24
2,24000.0,0.23363525059767024,24
2,25000.0,0.25349673326027783,24
2,26000.0,0.2135223365334281,24
2,27000.0,0.22727994738760973,24
2,28000.0,0.2614473239913208,24
2,29000.0,0.2342037753567466,24
2,30000.0,0.2798481620241054,24
2,31000.0,0.2495013529079919,24
2,32000.0,0.21722347271006362,24
2,33000.0,0.26802534235020314,24
2,34000.0,0.2631619864549893,24
2,35000.0,0.28325466081959066,24
2,36000.0,0.27773939023023114,24
2,37000.0,0.19232515881885096,24
2,38000.0,0.23787539914456787,24
2,39000.0,0.20880344882344795,24
2,40000.0,0.2303544152803244,24
2,41000.0,0.12886148231165706,24
2,42000.0,0.1656990965014223,24
2,43000.0,0.16550755452285518,24
2,44000.0,0.17920199906301323,24
2,45000.0,0.08019307731570453,24
2,46000.0,0.07962137061810291,24
2,47000.0,0.03848370839721841,24
2,48000.0,0.08567188776136103,24
2,49000.0,0.09998807551024709,24
2,50000.0,0.12351942932883535,24
3,5000.0,0.013658902012149164,24
3,6000.0,-0.04236138433602821,24
3,7000.0,-0.1156826720999828,24
3,8000.0,-0.11760725224221853,24
3,9000.0,-0.12209246028778982,24
3,10000.0,-0.15828515722110748,24
3,11000.0,-0.21911153337107478,24
3,12000.0,0.10698312447075453,24
3,13000.0,0.15587066040967187,24
3,14000.0,0.10622622010581674,24
3,15000.0,0.1367079439511923,24
3,16000.0,0.18822591089941532,24
3,17000.0,0.10248182616537509,24
3,18000.0,0.10031367222191605,24
3,19000.0,0.07608142493312875,24
3,20000.0,0.08409077141537358,24
3,21000.0,0.09406684688405303,24
3,22000.0,0.13690728594941418,24
3,23000.0,0.14785077447725375,24
3,24000.0,0.1727910728375658,24
3,25000.0,0.17978281001455618,24
3,26000.0,0.19976012494022,24
3,27000.0,0.15691771766125345,24
3,28000.0,0.2090030175752808,24
3,29000.0,0.21888532250120704,24
3,30000.0,0.18602383986860796,24
3,31000.0,0.21401785242983196,24
3,32000.0,0.15578155177766578,24
3,33000.0,0.24035842128831034,24
3,34000.0,0.21409128960557736,24
3,35000.0,0.21240598554215148,24
3,36000.0,0.21368071178321876,24
3,37000.0,0.1661964899204765,24
3,38000.0,0.2390300062847828,24
3,39000.0,0.1973247240716447,24
3,40000.0,0.24882693087483362,24
3,41000.0,0.20663054062593542,24
3,42000.0,0.15413457577876738,24
3,43000.0,0.22988958953076258,24
3,44000.0,0.2345884781050039,24
3,45000.0,0.22293400068277483,24
3,46000.0,0.2207306494299074,24
3,47000.0,0.1696790086947821,24
3,48000.0,0.20378236304781142,24
3,49000.0,0.2013598353947562,24
3,50000.0,0.22230643151565566,24
4,5000.0,-0.07033601722699283,24
4,6000.0,-0.18282733169751578,24
