rep,host,t,delay_sec
1,18,47000.0,0.003376789626
1,18,48000.0,0.003376789626
1,18,49000.0,
1,18,50000.0,
1,19,5000.0,
1,19,6000.0,0.012032073296
1,19,7000.0,0.012032073296
1,19,8000.0,0.012032073296
1,19,9000.0,
1,19,10000.0,0.003457763733
1,19,11000.0,0.003457763733
1,19,12000.0,0.003457763733
1,19,13000.0,
1,19,14000.0,
1,19,15000.0,0.002157466867
1,19,16000.0,0.002157466867
1,19,17000.0,0.002157466867
1,19,18000.0,
1,19,19000.0,0.003437274289
1,19,20000.0,0.003437274289
1,19,21000.0,0.003437274289
1,19,22000.0,
1,19,23000.0,
1,19,24000.0,0.00299709817
1,19,25000.0,0.00299709817
1,19,26000.0,0.00299709817
1,19,27000.0,
1,19,28000.0,
1,19,29000.0,0.002877011676
1,19,30000.0,0.002877011676
1,19,31000.0,0.002877011676
1,19,32000.0,0.002557006049
1,19,33000.0,0.002557006049
1,19,34000.0,0.002557006049
1,19,35000.0,
1,19,36000.0,0.003289059153
1,19,37000.0,0.003289059153
1,19,38000.0,0.003289059153
1,19,39000.0,0.002637147901
1,19,40000.0,0.002637147901
1,19,41000.0,0.002637147901
1,19,42000.0,
1,19,43000.0,
1,19,44000.0,0.002337347677
1,19,45000.0,0.002337347677
1,19,46000.0,0.002337347677
1,19,47000.0,
1,19,48000.0,0.002517540728
1,19,49000.0,0.002517540728
1,19,50000.0,0.002517540728
1,20,5000.0,
1,20,6000.0,
1,20,7000.0,0.004429550045
1,20,8000.0,0.004429550045
1,20,9000.0,0.004429550045
1,20,10000.0,
1,20,11000.0,0.004225739718
1,20,12000.0,0.004225739718
1,20,13000.0,0.004225739718
1,20,14000.0,
1,20,15000.0,0.005238208264
1,20,16000.0,0.005238208264
1,20,17000.0,0.005238208264
1,20,18000.0,0.004383610772
1,20,19000.0,0.004383610772
1,20,20000.0,0.004383610772
1,20,21000.0,
1,20,22000.0,
1,20,23000.0,0.005030432112
1,20,24000.0,0.005030432112
1,20,25000.0,0.005030432112
1,20,26000.0,0.006050916698
1,20,27000.0,0.006050916698
1,20,28000.0,0.006050916698
1,20,29000.0,
1,20,30000.0,0.004634728465
1,20,31000.0,0.004634728465
1,20,32000.0,0.004634728465
1,20,33000.0,
1,20,34000.0,0.005153768956
1,20,35000.0,0.005153768956
1,20,36000.0,0.005153768956
1,20,37000.0,
1,20,38000.0,0.002280090475
1,20,39000.0,0.002280090475
1,20,40000.0,0.002280090475
1,20,41000.0,
1,20,42000.0,
1,20,43000.0,0.002239668615
1,20,44000.0,0.002239668615
1,20,45000.0,0.002239668615
1,20,46000.0,0.003079334755
1,20,47000.0,0.003079334755
1,20,48000.0,0.003079334755
1,20,49000.0,0.002539029178
1,20,50000.0,0.002539029178
1,21,5000.0,0.095260195366
1,21,6000.0,0.095260195366
1,21,7000.0,0.095260195366
1,21,8000.0,0.004972398157
1,21,9000.0,0.004972398157
1,21,10000.0,0.004972398157
1,21,11000.0,0.004973017144
1,21,12000.0,0.004973017144
1,21,13000.0,0.004973017144
1,21,14000.0,0.004772782698
1,21,15000.0,0.004772782698
1,21,16000.0,0.004772782698
1,21,17000.0,
1,21,18000.0,
1,21,19000.0,
1,21,20000.0,
1,21,21000.0,0.007076897605
1,21,22000.0,0.007076897605
1,21,23000.0,0.007076897605
1,21,24000.0,
1,21,25000.0,0.008578903151
1,21,26000.0,0.008578903151
1,21,27000.0,0.008578903151
1,21,28000.0,
1,21,29000.0,0.005006788273
1,21,30000.0,0.005006788273
1,21,31000.0,0.005006788273
1,21,32000.0,
1,21,33000.0,
1,21,34000.0,0.00471399336
1,21,35000.0,0.00471399336
1,21,36000.0,0.00471399336
1,21,37000.0,
1,21,38000.0,0.005494146626
1,21,39000.0,0.005494146626
1,21,40000.0,0.005494146626
1,21,41000.0,
1,21,42000.0,0.004847481567
1,21,43000.0,0.004847481567
1,21,44000.0,0.004847481567
1,21,45000.0,
1,21,46000.0,
1,21,47000.0,
1,21,48000.0,
1,21,49000.0,0.005559583943
1,21,50000.0,0.005559583943
1,22,5000.0,0.090003033667
1,22,6000.0,0.090003033667
1,22,7000.0,0.090003033667
1,22,8000.0,0.004772354398
1,22,9000.0,0.004772354398
1,22,10000.0,0.004772354398
1,22,11000.0,
1,22,12000.0,0.005205493656
1,22,13000.0,0.005205493656
1,22,14000.0,0.005205493656
1,22,15000.0,
1,22,16000.0,
1,22,17000.0,0.004471944999
1,22,18000.0,0.004471944999
1,22,19000.0,0.004471944999
1,22,20000.0,0.009824992911
1,22,21000.0,0.009824992911
1,22,22000.0,0.009824992911
1,22,23000.0,
1,22,24000.0,0.004851941515
1,22,25000.0,0.004851941515
1,22,26000.0,0.004851941515
1,22,27000.0,
1,22,28000.0,0.004858223555
1,22,29000.0,0.004858223555
1,22,30000.0,0.004858223555
1,22,31000.0,
1,22,32000.0,0.00628856152
1,22,33000.0,0.00628856152
1,22,34000.0,0.00628856152
1,22,35000.0,0.004458362044
1,22,36000.0,0.004458362044
1,22,37000.0,0.004458362044
1,22,38000.0,0.005950315653
1,22,39000.0,0.005950315653
1,22,40000.0,0.005950315653
1,22,41000.0,
1,22,42000.0,0.004485460947
1,22,43000.0,0.004485460947
1,22,44000.0,0.004485460947
1,22,45000.0,
1,22,46000.0,
1,22,47000.0,0.005401672998
1,22,48000.0,0.005401672998
1,22,49000.0,0.005401672998
1,22,50000.0,
1,23,5000.0,0.002840515057
1,23,6000.0,0.002840515057
1,23,7000.0,0.002840515057
1,23,8000.0,
1,23,9000.0,
1,23,10000.0,
1,23,11000.0,
1,23,12000.0,0.009183010039
1,23,13000.0,0.009183010039
1,23,14000.0,0.009183010039
1,23,15000.0,
1,23,16000.0,
1,23,17000.0,0.005457400595
1,23,18000.0,0.005457400595
1,23,19000.0,0.005457400595
1,23,20000.0,
1,23,21000.0,0.008683850459
1,23,22000.0,0.008683850459
1,23,23000.0,0.008683850459
1,23,24000.0,
1,23,25000.0,0.004638210013
1,23,26000.0,0.004638210013
1,23,27000.0,0.004638210013
1,23,28000.0,
1,23,29000.0,0.004037048307
1,23,30000.0,0.004037048307
1,23,31000.0,0.004037048307
1,23,32000.0,
1,23,33000.0,
1,23,34000.0,
1,23,35000.0,
1,23,36000.0,0.00619380209
1,23,37000.0,0.00619380209
1,23,38000.0,0.00619380209
1,23,39000.0,
1,23,40000.0,
1,23,41000.0,0.004291434013
1,23,42000.0,0.004291434013
