rep,host,t,rlReward
0,0,5000.0,0.080233191546484
0,0,6000.0,0.094402277660909
0,0,7000.0,0.075978278836936
0,0,8000.0,0.095865493428338
0,0,9000.0,0.097303433805931
0,0,10000.0,0.088934479316461
0,0,11000.0,0.086639199844806
0,0,12000.0,0.097915039744554
0,0,13000.0,0.1061473370383
0,0,14000.0,0.099907583436097
0,0,15000.0,0.1054658276345
0,0,16000.0,0.08604160969713
0,0,17000.0,0.1045602493637
0,0,18000.0,0.090080200482017
0,0,19000.0,0.10262120242749
0,0,20000.0,0.085462861320141
0,0,21000.0,0.096425934382649
0,0,22000.0,0.37707847058699
0,0,23000.0,0.10074365023211
0,0,24000.0,0.097878256986513
0,0,25000.0,0.076839143381259
0,0,26000.0,0.36953863441984
0,0,27000.0,0.3652834711298
0,0,28000.0,-0.097070887735034
0,0,29000.0,0.39112419345363
0,0,30000.0,0.38823056079328
0,0,31000.0,0.10341932566047
0,0,32000.0,0.074678385290408
0,0,33000.0,0.099598007358236
0,0,34000.0,0.082647187226484
0,0,35000.0,-0.58451684328596
0,0,36000.0,-0.5817799369262
0,0,37000.0,-0.56772828962304
0,0,38000.0,-0.56771423858818
0,0,39000.0,-0.5660102430175
0,0,40000.0,-0.57115982117092
0,0,41000.0,-0.61095202602964
0,0,42000.0,0.21088731732471
0,0,43000.0,0.2391685591975
0,0,44000.0,0.099436996021463
0,0,45000.0,0.18996222652843
0,0,46000.0,0.20330384866495
0,0,47000.0,0.61535574705494
0,0,48000.0,0.2444338751772
0,0,49000.0,0.17824420739171
0,0,50000.0,0.20284080188189
0,1,5000.0,0.077846740552991
0,1,6000.0,-0.63423244845852
0,1,7000.0,-0.60214207565202
0,1,8000.0,-0.59708459304029
0,1,9000.0,-0.64288708934737
0,1,10000.0,-0.42073002545091
0,1,11000.0,-0.51051695573523
0,1,12000.0,0.056788780295175
0,1,13000.0,0.36218303341558
0,1,14000.0,0.061224723444807
0,1,15000.0,0.072947432717056
0,1,16000.0,0.21879447336361
0,1,17000.0,-0.13950280390505
0,1,18000.0,0.061989967395959
0,1,19000.0,0.22845233747057
0,1,20000.0,0.37367976090505
0,1,21000.0,0.36834376335825
0,1,22000.0,0.34312864660825
0,1,23000.0,0.37595794312655
0,1,24000.0,0.3634065259417
