rep,t,mean_rlReward,n_hosts_used
0,5000.0,0.043445545926647046,24
0,6000.0,-0.08379469199390162,24
0,7000.0,-0.01890677413089212,24
0,8000.0,-0.03974039836711595,24
0,9000.0,0.02133392632327367,24
0,10000.0,-0.02567434680324433,24
0,11000.0,-0.09417059270383961,24
0,12000.0,0.14029334835599566,24
0,13000.0,0.18815935434823627,24
0,14000.0,0.11111477784761059,24
0,15000.0,0.10696954809764762,24
0,16000.0,0.12863921595605562,24
0,17000.0,0.07965073820760868,24
0,18000.0,0.06889335522629371,24
0,19000.0,0.1376004449026925,24
0,20000.0,-0.07013826932827293,24
0,21000.0,-0.08729940692033426,24
0,22000.0,0.0984089846236585,24
0,23000.0,0.10151247780091271,24
0,24000.0,0.05072577908029167,24
0,25000.0,0.03485075896972008,24
0,26000.0,-0.07585659100246245,24
0,27000.0,-0.12148961402423171,24
0,28000.0,-0.019517966476946296,24
0,29000.0,-0.007698631885243709,24
0,30000.0,-0.014081222810935374,24
0,31000.0,-0.04551834431538084,24
0,32000.0,0.24027245985778237,24
0,33000.0,0.2624363868181857,24
0,34000.0,0.2980898643114284,24
0,35000.0,0.30928740747248334,24
0,36000.0,0.29953239712605806,24
0,37000.0,0.22954046617239757,24
0,38000.0,0.20861606863858784,24
0,39000.0,0.2981493276126633,24
0,40000.0,0.3308303587272477,24
0,41000.0,0.2948479061122713,24
0,42000.0,0.2479571618904096,24
0,43000.0,0.31089738394995686,24
0,44000.0,0.2598389618911991,24
0,45000.0,0.2537284646761028,24
0,46000.0,0.2964082979569925,24
0,47000.0,0.1599003825608922,24
0,48000.0,0.11183103050914829,24
0,49000.0,0.18258250241501958,24
0,50000.0,0.1429157127081679,24
1,5000.0,-0.1066241857157104,24
1,6000.0,-0.28910776282017886,24
1,7000.0,-0.3600223350422455,24
1,8000.0,-0.3611624725642573,24
1,9000.0,-0.31174013537339557,24
1,10000.0,-0.3640257420270751,24
1,11000.0,-0.42355733744430957,24
1,12000.0,0.03719691774831688,24
1,13000.0,-0.04042904503873245,24
1,14000.0,-0.10026983248741905,24
1,15000.0,-0.05671046783979832,24
1,16000.0,-0.1239578061299762,24
1,17000.0,-0.1564065366340431,24
1,18000.0,-0.11080596934772675,24
1,19000.0,-0.17076339082849998,24
1,20000.0,-0.23277354514121365,24
1,21000.0,-0.15425462676419707,24
1,22000.0,0.18922953826376387,24
1,23000.0,0.23150278861123288,24
1,24000.0,0.20010771813170805,24
1,25000.0,0.22492670300749182,24
1,26000.0,0.30381257386830585,24
1,27000.0,0.20798962511989572,24
1,28000.0,0.10691393247162517,24
1,29000.0,0.20650574671749466,24
1,30000.0,0.2508314691001742,24
1,31000.0,0.08977313709616312,24
1,32000.0,0.1589258936064561,24
1,33000.0,0.1317625896050736,24
1,34000.0,0.16991446462505289,24
1,35000.0,0.11003640024666517,24
1,36000.0,0.10119057109717366,24
1,37000.0,0.10298334465078046,24
1,38000.0,0.024002628312173424,24
1,39000.0,-0.0017725938742204235,24
1,40000.0,-0.13388404779433458,24
1,41000.0,-0.17102711255481792,24
1,42000.0,0.18799402670396623,24
1,43000.0,0.1935876134710892,24
1,44000.0,0.1392965506174779,24
1,45000.0,0.123290391515545,24
1,46000.0,0.008014055477647915,24
1,47000.0,-0.0035363739627849943,24
1,48000.0,0.06001193796403986,24
1,49000.0,0.011253852947524746,24
1,50000.0,-0.023876329634243337,24
2,5000.0,-0.12414418285066613,24
2,6000.0,-0.21768394317096254,24
2,7000.0,-0.2215171130993335,24
2,8000.0,-0.1891877143747919,24
2,9000.0,-0.286618153485721,24
2,10000.0,-0.18954364132313387,24
